sw3351B-ms98-a-0001,0.740000,1.092875,yes,B,b,u-2-1
sw3351B-ms98-a-0003,3.316125,3.766125,yes,B,ny,u-4-1
sw3351B-ms98-a-0003,3.766125,3.836125,i,B,sd^e,u-4-2
sw3351B-ms98-a-0003,3.836125,3.936125,have,I,sd^e,u-4-2
sw3351B-ms98-a-0003,3.936125,4.006125,a,I,sd^e,u-4-2
sw3351B-ms98-a-0003,4.006125,4.286125,dog,I,sd^e,u-4-2
sw3351B-ms98-a-0003,4.286125,4.416125,and,I,sd^e,u-4-2
sw3351B-ms98-a-0003,4.416125,4.706125,cat,I,sd^e,u-4-2
sw3351B-ms98-a-0003,4.706125,4.969500,now,I,sd^e,u-4-2
sw3351B-ms98-a-0004,6.768125,7.238125,Tibby,B,sd,u-6-1
sw3351B-ms98-a-0004,7.238125,7.518125,and,I,sd,u-6-1
sw3351B-ms98-a-0004,7.518125,7.958125,Liberty,I,sd,u-6-1
sw3351B-ms98-a-0006,10.316500,10.716500,Tibby,B,sd,u-8-1
sw3351B-ms98-a-0006,10.716500,10.846500,is,I,sd,u-8-1
sw3351B-ms98-a-0006,10.846500,10.926500,the,I,sd,u-8-1
sw3351B-ms98-a-0006,10.926500,11.416500,dog,I,sd,u-8-1
sw3351B-ms98-a-0006,11.416500,11.546500,and,B,sd,u-8-2
sw3351B-ms98-a-0006,11.546500,11.886500,Liberty,I,sd,u-8-2
sw3351B-ms98-a-0006,11.886500,11.986500,is,I,sd,u-8-2
sw3351B-ms98-a-0006,11.986500,12.066500,the,I,sd,u-8-2
sw3351B-ms98-a-0006,12.066500,12.645000,cat,I,sd,u-8-2
sw3351B-ms98-a-0008,24.814625,25.394750,[laughter-oh],O,,
sw3351B-ms98-a-0008,26.232625,26.571000,ours,B,sd,u-12-1
sw3351B-ms98-a-0008,26.571000,26.651000,are,I,sd,u-12-1
sw3351B-ms98-a-0008,26.651000,26.911000,pretty,I,sd,u-12-1
sw3351B-ms98-a-0008,26.911000,27.497625,calm,I,sd,u-12-1
sw3351B-ms98-a-0010,30.444125,30.873125,um-hum,B,b,u-14-1
sw3351B-ms98-a-0012,33.236875,33.775875,yeah,B,b,u-16-1
sw3351B-ms98-a-0012,33.775875,34.019375,our,B,sd,u-16-2
sw3351B-ms98-a-0012,34.019375,34.339375,cat,I,sd,u-16-2
sw3351B-ms98-a-0012,34.339375,34.439375,we,I,sd,u-16-2
sw3351B-ms98-a-0012,34.439375,34.669375,got,I,sd,u-16-2
sw3351B-ms98-a-0012,34.669375,34.839375,from,I,sd,u-16-2
sw3351B-ms98-a-0012,34.839375,34.899375,the,I,sd,u-16-2
sw3351B-ms98-a-0012,34.899375,35.269375,pound,I,sd,u-16-2
sw3351B-ms98-a-0012,35.269375,35.329375,the,I,sd,u-16-2
sw3351B-ms98-a-0012,35.329375,35.539375,day,I,sd,u-16-2
sw3351B-ms98-a-0012,35.539375,35.905125,bef[ore]-,I,sd,u-16-2
sw3351B-ms98-a-0012,35.905125,36.149375,the,I,sd,u-16-2
sw3351B-ms98-a-0012,36.149375,36.589375,night,I,sd,u-16-2
sw3351B-ms98-a-0012,36.589375,36.759375,she,I,sd,u-16-2
sw3351B-ms98-a-0012,36.759375,36.899375,was,I,sd,u-16-2
sw3351B-ms98-a-0012,36.899375,37.119375,going,I,sd,u-16-2
sw3351B-ms98-a-0012,37.119375,37.189375,to,I,sd,u-16-2
sw3351B-ms98-a-0012,37.189375,37.309375,be,I,sd,u-16-2
sw3351B-ms98-a-0012,37.309375,37.559375,put,I,sd,u-16-2
sw3351B-ms98-a-0012,37.559375,37.739375,to,I,sd,u-16-2
sw3351B-ms98-a-0012,37.739375,38.149375,sleep,I,sd,u-16-2
sw3351B-ms98-a-0012,38.149375,38.269375,so,B,sd,u-16-3
sw3351B-ms98-a-0012,38.269375,38.489375,that's,B,+,u-18-1
sw3351B-ms98-a-0012,38.489375,38.579375,why,I,+,u-18-1
sw3351B-ms98-a-0012,38.579375,38.729375,we,I,+,u-18-1
sw3351B-ms98-a-0012,38.729375,38.969375,call,I,+,u-18-1
sw3351B-ms98-a-0012,38.969375,39.039375,her,I,+,u-18-1
sw3351B-ms98-a-0012,39.039375,39.706375,Liberty,I,+,u-18-1
sw3351B-ms98-a-0014,45.294500,45.384500,do,B,qy,u-20-1
sw3351B-ms98-a-0014,45.384500,45.444500,you,I,qy,u-20-1
sw3351B-ms98-a-0014,45.444500,45.584500,wanna,I,qy,u-20-1
sw3351B-ms98-a-0014,45.584500,45.754500,hear,I,qy,u-20-1
sw3351B-ms98-a-0014,45.754500,45.974500,about,I,qy,u-20-1
sw3351B-ms98-a-0014,45.974500,46.084500,my,I,qy,u-20-1
sw3351B-ms98-a-0014,46.084500,46.384500,other,I,qy,u-20-1
sw3351B-ms98-a-0014,46.384500,46.754500,animals,I,qy,u-20-1
sw3351B-ms98-a-0014,46.754500,46.934500,i've,I,qy,u-20-1
sw3351B-ms98-a-0014,46.934500,47.650875,had,I,qy,u-20-1
sw3351B-ms98-a-0014,47.903250,48.084500,i've,B,sd,u-22-1
sw3351B-ms98-a-0014,48.084500,48.254500,had,I,sd,u-22-1
sw3351B-ms98-a-0014,48.254500,48.364500,a,I,sd,u-22-1
sw3351B-ms98-a-0014,48.364500,49.156875,skunk,I,sd,u-22-1
sw3351B-ms98-a-0015,50.180000,50.389000,i've,B,sd,u-24-1
sw3351B-ms98-a-0015,50.389000,50.559000,had,I,sd,u-24-1
sw3351B-ms98-a-0015,50.559000,50.609000,a,I,sd,u-24-1
sw3351B-ms98-a-0015,50.609000,51.039000,Burmese,I,sd,u-24-1
sw3351B-ms98-a-0015,51.039000,51.923875,python,I,sd,u-24-1
sw3351B-ms98-a-0016,52.875375,53.025375,i've,B,sd,u-24-2
sw3351B-ms98-a-0016,53.025375,53.279875,had,I,sd,u-24-2
sw3351B-ms98-a-0016,53.279875,53.721250,rats,I,sd,u-24-2
sw3351B-ms98-a-0016,54.233500,54.425375,i've,B,sd,u-24-3
sw3351B-ms98-a-0016,54.425375,54.755375,had,I,sd,u-24-3
sw3351B-ms98-a-0016,54.755375,55.277750,mice,I,sd,u-24-3
sw3351B-ms98-a-0018,57.263250,58.096000,uh,B,^h,u-26-1
sw3351B-ms98-a-0018,58.510250,58.781500,let's,I,^h,u-26-1
sw3351B-ms98-a-0018,58.781500,59.251500,see,I,^h,u-26-1
sw3351B-ms98-a-0018,59.571750,59.841500,had,B,sd,u-26-2
sw3351B-ms98-a-0018,59.841500,60.631500,gerbils,I,sd,u-26-2
sw3351B-ms98-a-0019,61.964875,62.024875,i,B,sd,u-26-3
sw3351B-ms98-a-0019,62.024875,62.174875,have,I,sd,u-26-3
sw3351B-ms98-a-0019,62.174875,62.301250,a,I,sd,u-26-3
sw3351B-ms98-a-0019,62.549875,62.734875,i,I,sd,u-26-3
sw3351B-ms98-a-0019,62.734875,63.254875,had,I,sd,u-26-3
sw3351B-ms98-a-0019,63.254875,63.284875,a,I,sd,u-26-3
sw3351B-ms98-a-0019,63.284875,63.694875,son,I,sd,u-26-3
sw3351B-ms98-a-0019,63.694875,63.884875,he's,I,sd,u-26-3
sw3351B-ms98-a-0019,64.104875,64.354875,now,I,sd,u-26-3
sw3351B-ms98-a-0019,64.354875,64.674875,gone,I,sd,u-26-3
sw3351B-ms98-a-0019,64.674875,64.844875,from,I,sd,u-26-3
sw3351B-ms98-a-0019,64.844875,64.924875,the,I,sd,u-26-3
sw3351B-ms98-a-0019,64.924875,65.390750,home,I,sd,u-26-3
sw3351B-ms98-a-0019,65.880375,65.964875,that,I,sd,u-26-3
sw3351B-ms98-a-0019,65.964875,66.094875,was,I,sd,u-26-3
sw3351B-ms98-a-0019,66.094875,66.154875,a,I,sd,u-26-3
sw3351B-ms98-a-0019,66.154875,66.370500,p[et]-,I,sd,u-26-3
sw3351B-ms98-a-0019,66.370500,66.834875,animal,I,sd,u-26-3
sw3351B-ms98-a-0019,66.834875,67.335250,lover,I,sd,u-26-3
sw3351B-ms98-a-0020,68.591125,68.721125,so,B,sd,u-28-1
sw3351B-ms98-a-0020,68.721125,68.831125,at,I,sd,u-28-1
sw3351B-ms98-a-0020,68.831125,69.081125,one,I,sd,u-28-1
sw3351B-ms98-a-0020,69.081125,69.351125,point,I,sd,u-28-1
sw3351B-ms98-a-0020,69.351125,69.441125,i,I,sd,u-28-1
sw3351B-ms98-a-0020,69.441125,69.631125,had,I,sd,u-28-1
sw3351B-ms98-a-0020,69.631125,69.801125,a,I,sd,u-28-1
sw3351B-ms98-a-0020,69.801125,70.361125,snake,I,sd,u-28-1
sw3351B-ms98-a-0021,71.175375,71.954875,skunk,I,sd,u-28-1
sw3351B-ms98-a-0021,71.954875,72.325375,dog,I,sd,u-28-1
sw3351B-ms98-a-0021,72.325375,72.435375,and,I,sd,u-28-1
sw3351B-ms98-a-0021,72.435375,72.805375,cat,I,sd,u-28-1
sw3351B-ms98-a-0021,72.805375,73.075375,running,I,sd,u-28-1
sw3351B-ms98-a-0021,73.075375,73.355375,loose,I,sd,u-28-1
sw3351B-ms98-a-0021,73.355375,73.455375,in,I,sd,u-28-1
sw3351B-ms98-a-0021,73.455375,73.525375,the,I,sd,u-28-1
sw3351B-ms98-a-0021,73.525375,74.124875,house,I,sd,u-28-1
sw3351B-ms98-a-0023,76.053250,77.016625,[laughter],O,,
sw3351B-ms98-a-0025,83.192500,83.662250,yes,B,ny,u-32-1
sw3351B-ms98-a-0026,84.695875,84.815875,it,B,sd^e,u-34-1
sw3351B-ms98-a-0026,84.815875,84.965875,was,I,sd^e,u-34-1
sw3351B-ms98-a-0026,84.965875,85.225875,litter,I,sd^e,u-34-1
sw3351B-ms98-a-0026,85.225875,85.942375,trained,I,sd^e,u-34-1
sw3351B-ms98-a-0026,86.172125,86.395875,and,B,sd,u-36-1
sw3351B-ms98-a-0026,86.395875,86.505875,we,I,sd,u-36-1
sw3351B-ms98-a-0026,86.505875,86.655875,had,I,sd,u-36-1
sw3351B-ms98-a-0026,86.655875,86.725875,it,I,sd,u-36-1
sw3351B-ms98-a-0026,86.725875,87.496500,perfumed,I,sd,u-36-1
sw3351B-ms98-a-0026,88.366500,89.042875,and,B,sd,u-38-1
sw3351B-ms98-a-0026,89.042875,89.745875,um,I,sd,u-38-1
sw3351B-ms98-a-0027,91.022250,91.202250,it,I,sd,u-38-1
sw3351B-ms98-a-0027,91.202250,91.472250,was,I,sd,u-38-1
sw3351B-ms98-a-0027,91.472250,91.762250,very,I,sd,u-38-1
sw3351B-ms98-a-0027,91.762250,92.503625,aggressive,I,sd,u-38-1
sw3351B-ms98-a-0027,92.951875,93.192875,but,B,sd,u-40-1
sw3351B-ms98-a-0027,93.192875,93.602250,all,I,sd,u-40-1
sw3351B-ms98-a-0027,93.602250,93.863000,th[e]-,I,sd,u-40-1
sw3351B-ms98-a-0027,93.863000,94.182250,all,I,sd,u-40-1
sw3351B-ms98-a-0027,94.182250,94.402250,three,I,sd,u-40-1
sw3351B-ms98-a-0027,94.402250,94.482250,of,I,sd,u-40-1
sw3351B-ms98-a-0027,94.482250,94.642250,them,I,sd,u-40-1
sw3351B-ms98-a-0027,94.642250,94.872250,dog,I,sd,u-40-1
sw3351B-ms98-a-0027,94.872250,95.192250,cat,I,sd,u-40-1
sw3351B-ms98-a-0027,95.192250,95.482250,and,I,sd,u-40-1
sw3351B-ms98-a-0028,96.725000,97.125000,skunk,I,sd,u-40-1
sw3351B-ms98-a-0028,97.125000,97.285000,used,I,sd,u-40-1
sw3351B-ms98-a-0028,97.285000,97.395000,to,I,sd,u-40-1
sw3351B-ms98-a-0028,97.395000,97.765000,chase,I,sd,u-40-1
sw3351B-ms98-a-0028,97.765000,97.935000,each,I,sd,u-40-1
sw3351B-ms98-a-0028,97.935000,98.185000,other,I,sd,u-40-1
sw3351B-ms98-a-0028,98.185000,98.315000,all,I,sd,u-40-1
sw3351B-ms98-a-0028,98.315000,98.505000,through,I,sd,u-40-1
sw3351B-ms98-a-0028,98.505000,98.585000,the,I,sd,u-40-1
sw3351B-ms98-a-0028,98.585000,99.272500,house,I,sd,u-40-1
sw3351B-ms98-a-0029,100.752000,101.041125,and,B,sd,u-42-1
sw3351B-ms98-a-0029,101.041125,101.131125,the,I,sd,u-42-1
sw3351B-ms98-a-0029,101.131125,101.401125,only,I,sd,u-42-1
sw3351B-ms98-a-0029,101.401125,101.641125,thing,I,sd,u-42-1
sw3351B-ms98-a-0029,101.641125,101.751125,we,I,sd,u-42-1
sw3351B-ms98-a-0029,101.751125,101.951125,have,I,sd,u-42-1
sw3351B-ms98-a-0029,101.951125,102.061125,with,I,sd,u-42-1
sw3351B-ms98-a-0029,102.061125,102.121125,the,I,sd,u-42-1
sw3351B-ms98-a-0029,102.121125,102.471125,skunk,I,sd,u-42-1
sw3351B-ms98-a-0029,102.471125,102.571125,he,I,sd,u-42-1
sw3351B-ms98-a-0029,102.571125,102.791125,was,I,sd,u-42-1
sw3351B-ms98-a-0029,102.791125,103.201125,very,I,sd,u-42-1
sw3351B-ms98-a-0029,103.201125,103.491125,very,I,sd,u-42-1
sw3351B-ms98-a-0029,103.491125,104.011125,protective,I,sd,u-42-1
sw3351B-ms98-a-0029,104.011125,104.161125,of,I,sd,u-42-1
sw3351B-ms98-a-0029,104.161125,104.371125,his,I,sd,u-42-1
