sw3367A-ms98-a-0003,1.534500,1.764500,what,B,br,u-1-1
sw3367A-ms98-a-0003,1.764500,1.884500,you,B,qy^t,u-1-2
sw3367A-ms98-a-0003,1.884500,2.039875,want,I,qy^t,u-1-2
sw3367A-ms98-a-0003,2.039875,2.133750,to,I,qy^t,u-1-2
sw3367A-ms98-a-0003,2.133750,2.494500,start,I,qy^t,u-1-2
sw3367A-ms98-a-0005,10.351125,10.762125,right,B,b,u-3-1
sw3367A-ms98-a-0005,10.762125,10.882125,y[eah]-,O,,
sw3367A-ms98-a-0005,10.882125,11.232125,right,B,sd^t,u-3-2
sw3367A-ms98-a-0005,11.232125,11.569250,yeah,B,%,u-3-3
sw3367A-ms98-a-0005,11.569250,11.950500,i-,O,,
sw3367A-ms98-a-0005,11.950500,12.161375,i,B,sv,u-3-4
sw3367A-ms98-a-0005,12.161375,12.402125,suppose,I,sv,u-3-4
sw3367A-ms98-a-0005,12.402125,12.452125,i,I,sv,u-3-4
sw3367A-ms98-a-0005,12.452125,12.672125,should,I,sv,u-3-4
sw3367A-ms98-a-0005,12.672125,12.762125,of,O,,
sw3367A-ms98-a-0007,20.156750,20.613625,uh-huh,B,b,u-5-1
sw3367A-ms98-a-0008,21.682875,22.075125,uh,B,^h,u-5-2
sw3367A-ms98-a-0009,22.978875,23.228875,yeah,I,^h,u-5-2
sw3367A-ms98-a-0009,23.228875,23.748625,i-,O,,
sw3367A-ms98-a-0009,23.918125,24.193000,i-,O,,
sw3367A-ms98-a-0009,24.193000,24.608875,i,B,sd,u-5-3
sw3367A-ms98-a-0009,24.608875,24.890500,uh,I,sd,u-5-3
sw3367A-ms98-a-0009,25.598625,25.713000,i,I,sd,u-5-3
sw3367A-ms98-a-0009,25.713000,25.868875,guess,I,sd,u-5-3
sw3367A-ms98-a-0009,25.868875,26.018875,i-,I,sd,u-5-3
sw3367A-ms98-a-0009,26.018875,26.216375,i,I,sd,u-5-3
sw3367A-ms98-a-0009,26.216375,26.360875,hate,I,sd,u-5-3
