sw3399B-ms98-a-0003,16.467750,16.757750,hm,B,%,u-2-1
sw3399B-ms98-a-0005,25.826625,25.926625,yeah,O,,
sw3399B-ms98-a-0005,25.926625,25.996625,i,B,aa,u-4-2
sw3399B-ms98-a-0005,25.996625,26.406625,agree,I,aa,u-4-2
sw3399B-ms98-a-0007,45.760250,46.030250,um-hum,B,b,u-6-1
sw3399B-ms98-a-0009,56.168750,56.658750,right,B,b,u-8-1
sw3399B-ms98-a-0011,64.384750,65.084750,right,B,aa,u-12-1
sw3399B-ms98-a-0011,65.144750,65.444750,um-hum,B,aa,u-12-2
sw3399B-ms98-a-0012,66.036250,66.126250,i,O,,
sw3399B-ms98-a-0012,66.126250,66.286250,guess,O,,
sw3399B-ms98-a-0012,66.286250,66.716250,depending,B,sv,u-12-3
sw3399B-ms98-a-0012,66.716250,66.806250,on,I,sv,u-12-3
sw3399B-ms98-a-0012,66.806250,66.906250,where,I,sv,u-12-3
sw3399B-ms98-a-0012,66.906250,67.026250,you,I,sv,u-12-3
sw3399B-ms98-a-0012,67.066250,67.276250,live,I,sv,u-12-3
sw3399B-ms98-a-0012,67.276250,67.396250,though,I,sv,u-12-3
sw3399B-ms98-a-0012,67.566250,67.756250,too,I,sv,u-12-3
sw3399B-ms98-a-0014,83.940250,84.430250,yeah,B,aa,u-14-1
sw3399B-ms98-a-0016,86.692125,86.892125,true,B,sv,u-14-2
sw3399B-ms98-a-0016,86.892125,86.992125,uh,O,,
sw3399B-ms98-a-0016,86.992125,87.262125,ten,B,sd,u-14-3
sw3399B-ms98-a-0016,87.262125,87.532125,years,I,sd,u-14-3
sw3399B-ms98-a-0016,87.532125,87.742125,ago,I,sd,u-14-3
sw3399B-ms98-a-0016,87.742125,87.772125,i,I,sd,u-14-3
sw3399B-ms98-a-0016,87.772125,88.132125,was,I,sd,u-14-3
sw3399B-ms98-a-0016,88.132125,89.592125,eleven,I,sd,u-14-3
sw3399B-ms98-a-0016,89.622125,89.702125,[laughter-so],O,,
sw3399B-ms98-a-0016,89.702125,89.972125,um,O,,
sw3399B-ms98-a-0016,90.342125,90.372125,i,B,sd,u-14-4
sw3399B-ms98-a-0016,90.372125,90.802125,remember,I,sd,u-14-4
sw3399B-ms98-a-0016,90.842125,91.012125,though,I,sd,u-14-4
sw3399B-ms98-a-0016,91.012125,91.192125,like,I,sd,u-14-4
sw3399B-ms98-a-0017,91.731750,92.111750,buying,I,sd,u-14-4
sw3399B-ms98-a-0017,92.111750,92.541750,candy,I,sd,u-14-4
sw3399B-ms98-a-0017,92.541750,92.671750,and,I,sd,u-14-4
sw3399B-ms98-a-0017,92.681750,92.981750,stuff,I,sd,u-14-4
sw3399B-ms98-a-0017,92.981750,93.171750,that,I,sd,u-14-4
sw3399B-ms98-a-0017,93.171750,93.441750,was,I,sd,u-14-4
sw3399B-ms98-a-0017,93.501750,93.531750,a,I,sd,u-14-4
sw3399B-ms98-a-0017,93.681750,94.011750,lot,I,sd,u-14-4
sw3399B-ms98-a-0017,94.591750,94.761750,less,I,sd,u-14-4
sw3399B-ms98-a-0017,94.851750,95.441750,expensive,I,sd,u-14-4
sw3399B-ms98-a-0017,95.441750,95.641750,than,I,sd,u-14-4
sw3399B-ms98-a-0017,95.641750,95.781750,it,I,sd,u-14-4
sw3399B-ms98-a-0017,95.781750,95.921750,is,I,sd,u-14-4
sw3399B-ms98-a-0017,95.981750,96.301750,now,I,sd,u-14-4
sw3399B-ms98-a-0017,96.771750,97.051750,and,B,+,u-16-1
sw3399B-ms98-a-0017,97.241750,97.471750,gas,I,+,u-16-1
sw3399B-ms98-a-0017,97.471750,97.561750,and,B,sd,u-16-2
sw3399B-ms98-a-0017,97.561750,97.671750,i,I,sd,u-16-2
sw3399B-ms98-a-0017,97.671750,97.831750,used,I,sd,u-16-2
sw3399B-ms98-a-0017,97.831750,97.891750,to,I,sd,u-16-2
sw3399B-ms98-a-0017,97.891750,98.041750,hear,I,sd,u-16-2
sw3399B-ms98-a-0017,98.041750,98.411750,stories,I,sd,u-16-2
sw3399B-ms98-a-0017,98.431750,98.571750,from,I,sd,u-16-2
sw3399B-ms98-a-0017,98.571750,98.681750,my,I,sd,u-16-2
sw3399B-ms98-a-0017,98.771750,99.171750,Grandpa,I,sd,u-16-2
sw3399B-ms98-a-0017,99.171750,99.591750,and,B,sd,u-16-3
sw3399B-ms98-a-0018,100.300750,100.480750,you,I,sd,u-16-3
sw3399B-ms98-a-0018,100.480750,100.590750,know,I,sd,u-16-3
sw3399B-ms98-a-0018,100.590750,100.700750,he,I,sd,u-16-3
sw3399B-ms98-a-0018,100.700750,100.870750,could,I,sd,u-16-3
sw3399B-ms98-a-0018,100.870750,101.100750,see,I,sd,u-16-3
sw3399B-ms98-a-0018,101.100750,101.140750,a,I,sd,u-16-3
sw3399B-ms98-a-0018,101.140750,101.460750,movie,I,sd,u-16-3
sw3399B-ms98-a-0018,101.460750,101.590750,for,I,sd,u-16-3
sw3399B-ms98-a-0018,101.590750,101.770750,like,I,sd,u-16-3
sw3399B-ms98-a-0018,101.770750,101.840750,a,I,sd,u-16-3
sw3399B-ms98-a-0018,101.840750,102.250750,nickel,I,sd,u-16-3
sw3399B-ms98-a-0018,102.250750,102.460750,and,I,sd,u-16-3
sw3399B-ms98-a-0018,102.460750,102.710750,things,I,sd,u-16-3
sw3399B-ms98-a-0018,102.750750,102.910750,like,I,sd,u-16-3
