sw3439A-ms98-a-0002,0.860250,1.214000,Laurie,B,qy,u-1-1
sw3439A-ms98-a-0002,1.669500,2.369500,okay,B,o,u-3-1
sw3439A-ms98-a-0003,3.282500,3.416500,i'm,B,sd^t,u-3-2
sw3439A-ms98-a-0003,3.416500,3.637750,supposed,I,sd^t,u-3-2
sw3439A-ms98-a-0003,3.637750,3.707750,to,I,sd^t,u-3-2
sw3439A-ms98-a-0003,3.707750,4.037750,ask,I,sd^t,u-3-2
sw3439A-ms98-a-0003,4.037750,4.386750,you,I,sd^t,u-3-2
sw3439A-ms98-a-0003,4.545000,4.677750,how,I,sd^t,u-3-2
sw3439A-ms98-a-0003,4.677750,4.767750,do,I,sd^t,u-3-2
sw3439A-ms98-a-0003,4.767750,4.847750,you,I,sd^t,u-3-2
sw3439A-ms98-a-0003,4.847750,5.117750,make,I,sd^t,u-3-2
sw3439A-ms98-a-0003,5.117750,5.427750,use,I,sd^t,u-3-2
sw3439A-ms98-a-0003,5.427750,5.517750,of,I,sd^t,u-3-2
sw3439A-ms98-a-0003,5.517750,5.637750,your,I,sd^t,u-3-2
sw3439A-ms98-a-0003,5.637750,5.967750,credit,I,sd^t,u-3-2
sw3439A-ms98-a-0003,5.967750,6.407750,cards,I,sd^t,u-3-2
sw3439A-ms98-a-0003,6.407750,6.897750,and,B,sd^t,u-3-3
sw3439A-ms98-a-0003,6.897750,6.977750,i'm,I,sd^t,u-3-3
sw3439A-ms98-a-0003,6.977750,7.197750,supposed,I,sd^t,u-3-3
sw3439A-ms98-a-0003,7.197750,7.257750,to,I,sd^t,u-3-3
sw3439A-ms98-a-0003,7.257750,7.617750,compare,I,sd^t,u-3-3
sw3439A-ms98-a-0003,7.617750,7.817750,those,I,sd^t,u-3-3
sw3439A-ms98-a-0003,7.817750,7.927750,with,I,sd^t,u-3-3
sw3439A-ms98-a-0003,7.927750,8.253250,my,I,sd^t,u-3-3
sw3439A-ms98-a-0003,8.400500,8.567750,my,I,sd^t,u-3-3
sw3439A-ms98-a-0003,8.567750,8.913625,habits,I,sd^t,u-3-3
sw3439A-ms98-a-0005,11.283000,11.857625,yes,B,ny,u-5-1
sw3439A-ms98-a-0007,17.694375,18.195375,right,B,b,u-7-1
sw3439A-ms98-a-0009,22.031875,22.168625,no,B,nn,u-9-1
sw3439A-ms98-a-0009,22.168625,22.258625,i,B,sd^e,u-9-2
sw3439A-ms98-a-0009,22.258625,22.422625,do,I,sd^e,u-9-2
sw3439A-ms98-a-0009,22.422625,22.741875,not,I,sd^e,u-9-2
sw3439A-ms98-a-0011,26.411000,26.834875,uh-huh,B,b,u-11-1
sw3439A-ms98-a-0013,29.890500,30.046750,oh,B,b,u-13-1
sw3439A-ms98-a-0013,30.046750,30.630000,okay,I,b,u-13-1
sw3439A-ms98-a-0015,34.938625,35.480125,sure,B,b,u-15-1
sw3439A-ms98-a-0016,36.347875,36.473625,well,B,%,u-15-2
sw3439A-ms98-a-0016,36.473625,36.973500,myself,I,%,u-15-2
sw3439A-ms98-a-0016,36.973500,37.023500,i,I,%,u-15-2
sw3439A-ms98-a-0016,37.023500,37.373500,always,I,%,u-15-2
sw3439A-ms98-a-0016,37.373500,37.559875,tr[y]-,O,,
sw3439A-ms98-a-0016,37.559875,37.740625,i'm,B,sd,u-15-3
sw3439A-ms98-a-0016,37.740625,37.873500,i'm,I,sd,u-15-3
sw3439A-ms98-a-0016,37.873500,37.923500,a,I,sd,u-15-3
sw3439A-ms98-a-0016,37.923500,38.373500,traveling,I,sd,u-15-3
sw3439A-ms98-a-0016,38.373500,38.866375,person,I,sd,u-15-3
sw3439A-ms98-a-0017,39.506125,39.942875,and,B,sd,u-17-1
sw3439A-ms98-a-0017,40.185875,40.329000,i'm,I,sd,u-17-1
sw3439A-ms98-a-0017,40.329000,40.450250,out,I,sd,u-17-1
sw3439A-ms98-a-0017,40.450250,40.510250,of,I,sd,u-17-1
sw3439A-ms98-a-0017,40.510250,40.810250,town,I,sd,u-17-1
sw3439A-ms98-a-0017,40.810250,41.070250,quite,I,sd,u-17-1
sw3439A-ms98-a-0017,41.070250,41.120250,a,I,sd,u-17-1
sw3439A-ms98-a-0017,41.120250,41.400250,bit,I,sd,u-17-1
sw3439A-ms98-a-0017,41.400250,41.570250,so,B,sd,u-17-2
sw3439A-ms98-a-0017,41.570250,41.640250,i,I,sd,u-17-2
sw3439A-ms98-a-0017,41.640250,41.850250,use,I,sd,u-17-2
