sw3449B-ms98-a-0002,0.421875,0.836625,yes,B,o,u-1-1
sw3449B-ms98-a-0004,5.903000,6.526375,[laughter],O,,
sw3449B-ms98-a-0006,8.269750,8.733250,yes,B,b,u-5-1
sw3449B-ms98-a-0007,9.906875,10.073125,yes,B,ny,u-7-1
sw3449B-ms98-a-0007,10.073125,10.163125,i,B,sd^e,u-7-2
sw3449B-ms98-a-0007,10.163125,10.462500,am,I,sd^e,u-7-2
sw3449B-ms98-a-0009,17.271125,17.615500,well,B,sd,u-9-1
sw3449B-ms98-a-0009,17.748875,18.024125,i'm,I,sd,u-9-1
sw3449B-ms98-a-0009,18.024125,18.174125,i'm,I,sd,u-9-1
sw3449B-ms98-a-0009,18.174125,18.414125,happy,I,sd,u-9-1
sw3449B-ms98-a-0009,18.414125,18.544125,we,I,sd,u-9-1
sw3449B-ms98-a-0009,18.544125,18.684125,got,I,sd,u-9-1
sw3449B-ms98-a-0009,18.684125,19.001000,through,I,sd,u-9-1
sw3449B-ms98-a-0011,22.889000,23.175500,well,B,sd,u-11-1
sw3449B-ms98-a-0011,23.175500,23.345000,i'm,I,sd,u-11-1
sw3449B-ms98-a-0011,23.345000,23.855500,i'm,I,sd,u-11-1
sw3449B-ms98-a-0011,24.435625,24.956000,especially,I,sd,u-11-1
sw3449B-ms98-a-0011,24.956000,25.306000,interested,I,sd,u-11-1
sw3449B-ms98-a-0011,25.306000,25.416000,with,I,sd,u-11-1
sw3449B-ms98-a-0011,25.416000,25.596000,what,I,sd,u-11-1
sw3449B-ms98-a-0011,25.596000,25.766000,what's,I,sd,u-11-1
sw3449B-ms98-a-0011,25.766000,26.006000,happening,I,sd,u-11-1
sw3449B-ms98-a-0011,26.006000,26.066000,in,I,sd,u-11-1
sw3449B-ms98-a-0011,26.066000,26.126000,the,I,sd,u-11-1
sw3449B-ms98-a-0011,26.126000,26.446000,Soviet,I,sd,u-11-1
sw3449B-ms98-a-0011,26.446000,26.945625,Union,I,sd,u-11-1
sw3449B-ms98-a-0011,27.442875,27.908750,uh,I,sd,u-11-1
sw3449B-ms98-a-0011,27.908750,28.258125,the,B,sv,u-11-2
sw3449B-ms98-a-0011,28.557125,28.749250,the,I,sv,u-11-2
sw3449B-ms98-a-0011,28.749250,29.196000,move,I,sv,u-11-2
sw3449B-ms98-a-0011,29.196000,29.765375,to,I,sv,u-11-2
sw3449B-ms98-a-0011,29.765375,30.337125,um,I,sv,u-11-2
sw3449B-ms98-a-0012,32.019750,32.280875,uh,O,,
sw3449B-ms98-a-0012,32.280875,32.470875,the,B,+,u-13-1
sw3449B-ms98-a-0012,32.470875,32.570875,the,I,+,u-13-1
sw3449B-ms98-a-0012,32.570875,32.840875,the,I,+,u-13-1
sw3449B-ms98-a-0012,32.840875,33.060875,the,I,+,u-13-1
sw3449B-ms98-a-0012,33.060875,34.120875,Ukraine's,I,+,u-13-1
sw3449B-ms98-a-0012,34.120875,34.450875,vote,I,+,u-13-1
sw3449B-ms98-a-0012,34.450875,34.740875,to,I,+,u-13-1
sw3449B-ms98-a-0012,34.740875,35.029375,uh,I,+,u-13-1
sw3449B-ms98-a-0012,35.492625,35.790875,basically,I,+,u-13-1
sw3449B-ms98-a-0012,35.790875,35.880875,to,I,+,u-13-1
sw3449B-ms98-a-0012,35.880875,36.370875,secede,I,+,u-13-1
sw3449B-ms98-a-0012,36.370875,36.470875,and,I,+,u-13-1
sw3449B-ms98-a-0012,36.470875,36.630875,set,I,+,u-13-1
sw3449B-ms98-a-0012,36.630875,36.990875,itself,I,+,u-13-1
sw3449B-ms98-a-0012,36.990875,37.155125,up,I,+,u-13-1
sw3449B-ms98-a-0012,37.155125,37.978875,independently,I,+,u-13-1
sw3449B-ms98-a-0013,38.993000,39.383000,uh,B,+,u-15-1
sw3449B-ms98-a-0013,39.383000,39.759625,is,I,+,u-15-1
sw3449B-ms98-a-0013,40.015750,40.233000,quite,I,+,u-15-1
sw3449B-ms98-a-0013,40.233000,40.283000,a,I,+,u-15-1
sw3449B-ms98-a-0013,40.283000,41.033000,remarkable,I,+,u-15-1
sw3449B-ms98-a-0014,41.953750,42.469625,accomplishment,O,,
sw3449B-ms98-a-0014,42.469625,42.511750,is,B,qy,u-15-2
sw3449B-ms98-a-0014,42.511750,42.607750,that,I,qy,u-15-2
sw3449B-ms98-a-0014,42.607750,42.730250,is,I,qy,u-15-2
sw3449B-ms98-a-0014,42.730250,42.999375,that,I,qy,u-15-2
sw3449B-ms98-a-0014,43.251750,43.783750,reported,I,qy,u-15-2
sw3449B-ms98-a-0014,43.783750,43.843750,in,I,qy,u-15-2
sw3449B-ms98-a-0014,43.843750,43.903750,the,I,qy,u-15-2
sw3449B-ms98-a-0014,43.903750,44.233750,Texas,I,qy,u-15-2
sw3449B-ms98-a-0014,44.233750,44.697750,papers,I,qy,u-15-2
sw3449B-ms98-a-0016,56.182125,56.638250,um,B,%,u-17-1
sw3449B-ms98-a-0016,56.638250,56.843250,as,I,%,u-17-1
sw3449B-ms98-a-0016,56.843250,56.973250,an,I,%,u-17-1
sw3449B-ms98-a-0016,56.973250,57.423250,area,I,%,u-17-1
sw3449B-ms98-a-0016,57.423250,57.603250,it's,I,%,u-17-1
sw3449B-ms98-a-0016,57.603250,57.827750,not,I,%,u-17-1
sw3449B-ms98-a-0018,61.495625,61.785500,i,B,sd,u-19-1
sw3449B-ms98-a-0018,61.785500,61.973125,i'm,I,sd,u-19-1
sw3449B-ms98-a-0018,61.973125,62.243125,afraid,I,sd,u-19-1
sw3449B-ms98-a-0018,62.243125,62.333125,i,I,sd,u-19-1
sw3449B-ms98-a-0018,62.333125,62.553125,don't,I,sd,u-19-1
sw3449B-ms98-a-0018,62.553125,63.031500,have,I,sd,u-19-1
sw3449B-ms98-a-0018,63.031500,63.159625,the,I,sd,u-19-1
sw3449B-ms98-a-0018,63.159625,63.643125,statistics,I,sd,u-19-1
sw3449B-ms98-a-0018,63.643125,63.733125,in,I,sd,u-19-1
sw3449B-ms98-a-0018,63.733125,63.923125,front,I,sd,u-19-1
sw3449B-ms98-a-0018,63.923125,64.013125,of,I,sd,u-19-1
sw3449B-ms98-a-0018,64.013125,64.212875,me,I,sd,u-19-1
sw3449B-ms98-a-0018,64.687375,64.773125,it,O,,
sw3449B-ms98-a-0018,64.773125,65.020000,said,O,,
sw3449B-ms98-a-0019,66.914375,67.026125,it's,B,sv,u-21-1
sw3449B-ms98-a-0019,67.026125,67.176125,not,I,sv,u-21-1
sw3449B-ms98-a-0019,67.176125,67.216125,a,I,sv,u-21-1
sw3449B-ms98-a-0019,67.216125,67.536125,tiny,I,sv,u-21-1
sw3449B-ms98-a-0019,67.536125,67.961125,area,I,sv,u-21-1
sw3449B-ms98-a-0019,68.277625,68.954125,um,I,sv,u-21-1
sw3449B-ms98-a-0020,69.932125,70.040625,if,B,sd,u-21-2
sw3449B-ms98-a-0020,70.040625,70.125000,i,I,sd,u-21-2
sw3449B-ms98-a-0020,70.125000,70.232125,was,I,sd,u-21-2
sw3449B-ms98-a-0020,70.232125,70.442125,looking,I,sd,u-21-2
sw3449B-ms98-a-0020,70.442125,70.582125,at,I,sd,u-21-2
sw3449B-ms98-a-0020,70.582125,70.612125,a,I,sd,u-21-2
sw3449B-ms98-a-0020,70.612125,71.052125,US,I,sd,u-21-2
sw3449B-ms98-a-0020,71.052125,71.332125,map,I,sd,u-21-2
sw3449B-ms98-a-0020,71.332125,71.412125,i,I,sd,u-21-2
sw3449B-ms98-a-0020,71.412125,71.522125,would,I,sd,u-21-2
sw3449B-ms98-a-0020,71.522125,71.692125,say,I,sd,u-21-2
sw3449B-ms98-a-0020,71.692125,71.802125,it,I,sd,u-21-2
sw3449B-ms98-a-0020,71.802125,71.932125,was,I,sd,u-21-2
sw3449B-ms98-a-0020,71.932125,72.142125,sort,I,sd,u-21-2
sw3449B-ms98-a-0020,72.142125,72.419125,of,I,sd,u-21-2
