sw3506A-ms98-a-0002,1.575750,1.958375,Angie,B,sd,u-2-1
sw3506A-ms98-a-0003,3.149625,3.654500,okay,B,bd,u-4-1
sw3506A-ms98-a-0005,7.738625,8.035500,hm,B,^h,u-6-1
sw3506A-ms98-a-0005,8.035500,8.271375,let's,I,^h,u-6-1
sw3506A-ms98-a-0005,8.271375,8.649375,see,I,^h,u-6-1
sw3506A-ms98-a-0005,9.116375,9.792375,um,B,sd,u-6-2
sw3506A-ms98-a-0005,10.466625,10.620750,i,I,sd,u-6-2
sw3506A-ms98-a-0005,10.620750,10.825500,like,I,sd,u-6-2
sw3506A-ms98-a-0005,10.825500,11.446250,seafood,I,sd,u-6-2
sw3506A-ms98-a-0006,12.333750,12.919375,um,B,^h,u-6-3
sw3506A-ms98-a-0006,13.265875,13.543750,let's,I,^h,u-6-3
sw3506A-ms98-a-0006,13.543750,13.917750,see,I,^h,u-6-3
sw3506A-ms98-a-0006,13.917750,14.326875,uh,B,sd,u-6-4
sw3506A-ms98-a-0007,15.558250,16.190750,shrimp,I,sd,u-6-4
sw3506A-ms98-a-0007,16.190750,16.740875,steamed,I,sd,u-6-4
sw3506A-ms98-a-0007,16.740875,17.055875,she[llfish]-,I,sd,u-6-4
sw3506A-ms98-a-0007,17.055875,17.317375,uh,I,sd,u-6-4
sw3506A-ms98-a-0007,17.317375,18.168000,shellfish,I,sd,u-6-4
sw3506A-ms98-a-0007,18.367625,18.518875,with,I,sd,u-6-4
sw3506A-ms98-a-0007,18.518875,18.822625,maybe,I,sd,u-6-4
sw3506A-ms98-a-0007,18.822625,19.489125,herbs,I,sd,u-6-4
sw3506A-ms98-a-0008,20.121125,20.644250,um,B,sd,u-6-5
sw3506A-ms98-a-0009,21.915500,22.381500,spicy,I,sd,u-6-5
sw3506A-ms98-a-0009,22.381500,22.861500,lobster,I,sd,u-6-5
sw3506A-ms98-a-0009,22.861500,22.991500,with,I,sd,u-6-5
sw3506A-ms98-a-0009,22.991500,23.241875,[lem[guini]-/linguini],I,sd,u-6-5
sw3506A-ms98-a-0009,23.373750,24.134250,linguini,I,sd,u-6-5
sw3506A-ms98-a-0010,25.586375,26.088125,yeah,B,b,u-8-1
sw3506A-ms98-a-0012,31.987500,32.396250,uh-huh,B,ny,u-10-1
sw3506A-ms98-a-0014,34.756625,35.325125,right,B,na,u-12-1
