sw3533B-ms98-a-0003,2.913125,3.403000,good,B,bk,u-2-1
sw3533B-ms98-a-0005,6.032625,6.492625,yes,B,ny,u-4-1
sw3533B-ms98-a-0007,12.278875,12.428875,we,B,sd,u-6-1
sw3533B-ms98-a-0007,12.428875,12.578875,have,I,sd,u-6-1
sw3533B-ms98-a-0007,12.578875,12.758875,two,I,sd,u-6-1
sw3533B-ms98-a-0007,12.758875,13.298875,children,I,sd,u-6-1
sw3533B-ms98-a-0007,13.298875,13.688875,they're,B,sd,u-6-2
sw3533B-ms98-a-0007,13.688875,13.948875,both,I,sd,u-6-2
sw3533B-ms98-a-0007,13.948875,14.158875,grown,I,sd,u-6-2
sw3533B-ms98-a-0007,14.158875,14.318875,and,I,sd,u-6-2
sw3533B-ms98-a-0007,14.318875,14.808875,married,I,sd,u-6-2
sw3533B-ms98-a-0007,14.808875,15.088875,and,B,%,u-6-3
sw3533B-ms98-a-0007,15.088875,15.280250,with,I,%,u-6-3
sw3533B-ms98-a-0007,15.517625,15.688875,we,I,%,u-6-3
sw3533B-ms98-a-0007,15.688875,16.008875,have,I,%,u-6-3
sw3533B-ms98-a-0007,16.008875,16.258875,uh,I,%,u-6-3
sw3533B-ms98-a-0007,16.378875,16.458875,our,B,sd,u-6-4
sw3533B-ms98-a-0007,16.458875,16.708875,daughter,I,sd,u-6-4
sw3533B-ms98-a-0007,16.708875,17.052375,has,I,sd,u-6-4
sw3533B-ms98-a-0007,17.519375,17.748875,three,I,sd,u-6-4
sw3533B-ms98-a-0007,17.748875,18.304500,sons,I,sd,u-6-4
sw3533B-ms98-a-0007,18.681125,19.056500,so,B,sd,u-6-5
sw3533B-ms98-a-0007,19.320125,19.468875,we,I,sd,u-6-5
sw3533B-ms98-a-0007,19.468875,19.729750,see,I,sd,u-6-5
sw3533B-ms98-a-0007,19.729750,20.147875,them,I,sd,u-6-5
sw3533B-ms98-a-0007,20.147875,20.358875,at,I,sd,u-6-5
sw3533B-ms98-a-0007,20.358875,20.708875,least,I,sd,u-6-5
sw3533B-ms98-a-0007,20.708875,21.008875,once,I,sd,u-6-5
sw3533B-ms98-a-0007,21.008875,21.078875,a,I,sd,u-6-5
sw3533B-ms98-a-0007,21.078875,21.598875,week,I,sd,u-6-5
sw3533B-ms98-a-0007,21.598875,22.058875,and,B,sd,u-6-6
sw3533B-ms98-a-0007,22.058875,22.168875,we,I,sd,u-6-6
sw3533B-ms98-a-0007,22.168875,22.358875,see,I,sd,u-6-6
sw3533B-ms98-a-0007,22.358875,22.478875,our,I,sd,u-6-6
sw3533B-ms98-a-0007,22.478875,22.738875,son,I,sd,u-6-6
sw3533B-ms98-a-0007,22.738875,22.888875,and,I,sd,u-6-6
sw3533B-ms98-a-0007,22.888875,23.158875,his,I,sd,u-6-6
sw3533B-ms98-a-0007,23.158875,23.608875,wife,I,sd,u-6-6
sw3533B-ms98-a-0007,24.148875,24.578875,um,I,sd,u-6-6
sw3533B-ms98-a-0008,25.260625,25.460625,about,I,sd,u-6-6
sw3533B-ms98-a-0008,25.460625,25.740625,every,I,sd,u-6-6
sw3533B-ms98-a-0008,25.740625,25.950625,other,I,sd,u-6-6
sw3533B-ms98-a-0008,25.950625,26.510625,week,I,sd,u-6-6
sw3533B-ms98-a-0008,26.713000,27.055750,and,B,sd,u-6-7
sw3533B-ms98-a-0008,27.055750,27.351875,uh,I,sd,u-6-7
sw3533B-ms98-a-0008,28.114625,28.400625,we,B,+,u-8-1
sw3533B-ms98-a-0008,28.400625,29.101000,babysit,I,+,u-8-1
sw3533B-ms98-a-0008,29.308125,29.480625,quite,I,+,u-8-1
sw3533B-ms98-a-0008,29.480625,29.860625,frequently,I,+,u-8-1
sw3533B-ms98-a-0008,29.860625,30.084500,so,B,sd,u-8-2
sw3533B-ms98-a-0008,30.306750,30.470625,we're,I,sd,u-8-2
sw3533B-ms98-a-0008,30.470625,30.510625,a,I,sd,u-8-2
sw3533B-ms98-a-0008,30.510625,30.800625,fairly,I,sd,u-8-2
sw3533B-ms98-a-0008,30.800625,31.380625,close-knit,I,sd,u-8-2
sw3533B-ms98-a-0008,31.380625,31.965875,family,I,sd,u-8-2
sw3533B-ms98-a-0008,32.165500,32.520625,we're,B,sd,u-8-3
sw3533B-ms98-a-0008,32.740625,33.080625,together,I,sd,u-8-3
sw3533B-ms98-a-0008,33.080625,33.110625,a,I,sd,u-8-3
sw3533B-ms98-a-0008,33.110625,33.350625,lot,I,sd,u-8-3
sw3533B-ms98-a-0008,33.350625,33.470625,on,I,sd,u-8-3
sw3533B-ms98-a-0008,33.470625,33.870625,special,I,sd,u-8-3
sw3533B-ms98-a-0008,33.870625,34.530625,days,I,sd,u-8-3
sw3533B-ms98-a-0008,34.530625,34.900625,and,B,sd,u-8-4
sw3533B-ms98-a-0008,34.900625,35.037000,uh,I,sd,u-8-4
sw3533B-ms98-a-0008,35.504125,35.604000,and,I,sd,u-8-4
sw3533B-ms98-a-0008,35.604000,35.670625,of,I,sd,u-8-4
sw3533B-ms98-a-0008,35.670625,35.890625,course,I,sd,u-8-4
