sw3543A-ms98-a-0003,2.163875,2.501250,yes,B,aa,u-2-1
sw3543A-ms98-a-0005,6.099250,6.368125,Gary,B,sd,u-4-1
sw3543A-ms98-a-0005,6.368125,6.838125,Gilmore,I,sd,u-4-1
sw3543A-ms98-a-0006,8.057750,8.284125,yeah,B,b,u-6-1
sw3543A-ms98-a-0007,9.355625,9.631125,that's,B,aa,u-8-1
sw3543A-ms98-a-0007,9.631125,10.123625,right,I,aa,u-8-1
sw3543A-ms98-a-0007,10.462625,10.721125,and,B,sd,u-8-2
sw3543A-ms98-a-0007,10.721125,10.821125,we,I,sd,u-8-2
sw3543A-ms98-a-0007,10.821125,11.071125,still,I,sd,u-8-2
sw3543A-ms98-a-0007,11.071125,11.211125,have,I,sd,u-8-2
sw3543A-ms98-a-0007,11.211125,11.261125,a,I,sd,u-8-2
sw3543A-ms98-a-0007,11.261125,11.461125,death,I,sd,u-8-2
sw3543A-ms98-a-0007,11.461125,11.836125,penalty,I,sd,u-8-2
sw3543A-ms98-a-0008,12.747500,13.094000,some,B,%,u-10-1
sw3543A-ms98-a-0008,13.299625,13.388375,a,B,sd,u-10-2
sw3543A-ms98-a-0008,13.388375,13.918625,gentleman,I,sd,u-10-2
sw3543A-ms98-a-0008,14.363000,14.813000,uh,I,sd,u-10-2
sw3543A-ms98-a-0009,16.033625,16.163625,that,I,sd,u-10-2
sw3543A-ms98-a-0009,16.163625,16.423625,was,I,sd,u-10-2
sw3543A-ms98-a-0009,16.423625,16.583625,one,I,sd,u-10-2
sw3543A-ms98-a-0009,16.583625,16.673625,of,I,sd,u-10-2
sw3543A-ms98-a-0009,16.673625,16.783625,the,I,sd,u-10-2
sw3543A-ms98-a-0009,16.783625,17.313625,hi-fi,I,sd,u-10-2
sw3543A-ms98-a-0009,17.313625,17.933625,murderers,I,sd,u-10-2
sw3543A-ms98-a-0009,17.933625,18.193625,just,I,sd,u-10-2
sw3543A-ms98-a-0009,18.193625,18.403625,had,I,sd,u-10-2
sw3543A-ms98-a-0009,18.403625,18.842000,his,I,sd,u-10-2
sw3543A-ms98-a-0009,19.474750,19.933625,conviction,I,sd,u-10-2
sw3543A-ms98-a-0009,19.933625,20.705000,overturned,I,sd,u-10-2
sw3543A-ms98-a-0010,21.692750,22.059875,well,I,sd,u-10-2
sw3543A-ms98-a-0010,22.523125,22.882750,appealed,I,sd,u-10-2
sw3543A-ms98-a-0010,22.882750,23.082750,again,I,sd,u-10-2
sw3543A-ms98-a-0010,23.082750,23.182750,i,B,sd,u-10-3
sw3543A-ms98-a-0010,23.182750,23.402750,guess,I,sd,u-10-3
sw3543A-ms98-a-0010,23.402750,23.522750,we,I,sd,u-10-3
sw3543A-ms98-a-0010,23.522750,23.712750,have,I,sd,u-10-3
sw3543A-ms98-a-0010,23.712750,23.782750,the,I,sd,u-10-3
sw3543A-ms98-a-0010,23.782750,24.982750,longest,I,sd,u-10-3
sw3543A-ms98-a-0010,24.982750,25.292750,uh,I,sd,u-10-3
sw3543A-ms98-a-0010,25.292750,25.849250,running,I,sd,u-10-3
sw3543A-ms98-a-0010,26.079000,26.582750,inmates,I,sd,u-10-3
sw3543A-ms98-a-0010,26.582750,26.882750,for,I,sd,u-10-3
sw3543A-ms98-a-0010,26.882750,27.172750,death,I,sd,u-10-3
sw3543A-ms98-a-0010,27.172750,27.454375,row,I,sd,u-10-3
sw3543A-ms98-a-0010,27.695500,27.987625,too,I,sd,u-10-3
sw3543A-ms98-a-0011,29.256500,29.346500,and,B,sd,u-12-1
sw3543A-ms98-a-0011,29.346500,29.456500,then,I,sd,u-12-1
sw3543A-ms98-a-0011,29.456500,29.556500,we,I,sd,u-12-1
sw3543A-ms98-a-0011,29.556500,29.716500,had,I,sd,u-12-1
sw3543A-ms98-a-0011,29.716500,29.996500,another,I,sd,u-12-1
sw3543A-ms98-a-0011,29.996500,30.426000,guy,I,sd,u-12-1
sw3543A-ms98-a-0011,30.426000,30.694500,uh,I,sd,u-12-1
sw3543A-ms98-a-0011,30.803750,31.256500,Ronald,I,sd,u-12-1
sw3543A-ms98-a-0011,31.256500,31.836500,Lafferty,I,sd,u-12-1
sw3543A-ms98-a-0011,31.836500,32.174125,that,I,sd,u-12-1
sw3543A-ms98-a-0011,32.569625,32.836500,thought,I,sd,u-12-1
sw3543A-ms98-a-0011,32.836500,33.116500,God,I,sd,u-12-1
sw3543A-ms98-a-0011,33.116500,33.376500,told,I,sd,u-12-1
sw3543A-ms98-a-0011,33.376500,33.506500,him,I,sd,u-12-1
sw3543A-ms98-a-0011,33.506500,33.746625,to,I,sd,u-12-1
sw3543A-ms98-a-0011,34.085625,34.276500,kill,I,sd,u-12-1
sw3543A-ms98-a-0011,34.276500,34.396500,his,I,sd,u-12-1
sw3543A-ms98-a-0011,34.396500,35.214750,sister-in-law,O,,
sw3543A-ms98-a-0012,35.876500,35.993250,he,B,sd,u-14-1
sw3543A-ms98-a-0012,35.993250,36.203250,just,I,sd,u-14-1
sw3543A-ms98-a-0012,36.203250,36.406875,got,I,sd,u-14-1
sw3543A-ms98-a-0012,36.730750,37.113375,a,I,sd,u-14-1
sw3543A-ms98-a-0012,37.223875,37.332250,a,I,sd,u-14-1
