sw3591A-ms98-a-0001,0.904375,1.144250,well,B,%,u-1-1
sw3591A-ms98-a-0003,6.844000,6.986875,well,B,ny,u-3-1
sw3591A-ms98-a-0003,6.986875,7.286875,yes,I,ny,u-3-1
sw3591A-ms98-a-0003,7.286875,7.504750,i,B,sd^e,u-3-2
sw3591A-ms98-a-0003,7.504750,8.065875,do,I,sd^e,u-3-2
sw3591A-ms98-a-0003,8.261750,8.893500,um,B,sd,u-3-3
sw3591A-ms98-a-0003,8.893500,9.166875,this,I,sd,u-3-3
sw3591A-ms98-a-0003,9.166875,9.296875,is,I,sd,u-3-3
sw3591A-ms98-a-0003,9.296875,9.636875,a,I,sd,u-3-3
sw3591A-ms98-a-0003,9.636875,9.716875,a,I,sd,u-3-3
sw3591A-ms98-a-0003,9.716875,10.136875,question,I,sd,u-3-3
sw3591A-ms98-a-0003,10.136875,10.246875,that,I,sd,u-3-3
sw3591A-ms98-a-0003,10.246875,10.416875,hit,I,sd,u-3-3
sw3591A-ms98-a-0003,10.416875,10.626875,pretty,I,sd,u-3-3
sw3591A-ms98-a-0003,10.626875,10.997875,close,I,sd,u-3-3
sw3591A-ms98-a-0003,10.997875,11.126875,to,I,sd,u-3-3
sw3591A-ms98-a-0003,11.126875,11.586875,home,I,sd,u-3-3
sw3591A-ms98-a-0003,11.586875,11.762125,uh,O,,
sw3591A-ms98-a-0003,12.055875,12.176875,i,B,sd,u-3-4
sw3591A-ms98-a-0003,12.176875,12.326875,had,I,sd,u-3-4
sw3591A-ms98-a-0003,12.326875,12.396875,to,I,sd,u-3-4
sw3591A-ms98-a-0003,12.396875,12.536875,go,I,sd,u-3-4
sw3591A-ms98-a-0003,12.536875,12.716875,through,I,sd,u-3-4
sw3591A-ms98-a-0003,12.716875,12.926875,this,I,sd,u-3-4
sw3591A-ms98-a-0003,12.926875,13.066875,with,I,sd,u-3-4
sw3591A-ms98-a-0003,13.066875,13.196875,my,I,sd,u-3-4
sw3591A-ms98-a-0003,13.196875,13.558750,dad,I,sd,u-3-4
sw3591A-ms98-a-0003,13.558750,13.891750,about,I,sd,u-3-4
sw3591A-ms98-a-0004,14.939750,15.156625,four,I,sd,u-3-4
sw3591A-ms98-a-0004,15.156625,15.606625,years,I,sd,u-3-4
sw3591A-ms98-a-0004,15.606625,16.016625,ago,I,sd,u-3-4
sw3591A-ms98-a-0004,16.016625,16.176625,he,B,sd,u-3-5
sw3591A-ms98-a-0004,16.176625,16.626625,was,I,sd,u-3-5
sw3591A-ms98-a-0004,16.626625,16.786625,his,I,sd,u-3-5
sw3591A-ms98-a-0004,16.786625,17.146625,health,I,sd,u-3-5
sw3591A-ms98-a-0004,17.146625,17.336625,was,I,sd,u-3-5
sw3591A-ms98-a-0004,17.336625,18.089375,failing,I,sd,u-3-5
sw3591A-ms98-a-0005,18.859875,19.543625,and,B,sd,u-5-1
sw3591A-ms98-a-0005,19.543625,19.753625,uh,I,sd,u-5-1
sw3591A-ms98-a-0005,19.753625,19.923625,he,I,sd,u-5-1
sw3591A-ms98-a-0005,19.923625,20.093625,was,I,sd,u-5-1
sw3591A-ms98-a-0005,20.093625,20.643625,adamant,I,sd,u-5-1
sw3591A-ms98-a-0005,20.643625,21.003625,about,I,sd,u-5-1
sw3591A-ms98-a-0005,21.003625,21.253625,two,I,sd,u-5-1
sw3591A-ms98-a-0005,21.253625,21.843625,things,I,sd,u-5-1
sw3591A-ms98-a-0005,21.843625,22.186000,one,B,sd,u-5-2
sw3591A-ms98-a-0005,22.186000,22.408250,was,I,sd,u-5-2
sw3591A-ms98-a-0005,22.408250,22.533625,that,I,sd,u-5-2
sw3591A-ms98-a-0005,22.533625,22.603625,i,I,sd,u-5-2
sw3591A-ms98-a-0005,22.603625,22.913625,take,I,sd,u-5-2
sw3591A-ms98-a-0005,22.913625,23.323625,care,I,sd,u-5-2
sw3591A-ms98-a-0005,23.323625,23.543125,of,I,sd,u-5-2
sw3591A-ms98-a-0005,23.543125,23.753625,my,I,sd,u-5-2
sw3591A-ms98-a-0005,23.753625,24.243625,mother,I,sd,u-5-2
sw3591A-ms98-a-0005,24.243625,24.423625,and,B,sd,u-5-3
sw3591A-ms98-a-0005,24.423625,24.793625,two,I,sd,u-5-3
sw3591A-ms98-a-0005,24.793625,25.095625,that,I,sd,u-5-3
sw3591A-ms98-a-0005,25.095625,25.263625,he,I,sd,u-5-3
sw3591A-ms98-a-0005,25.263625,25.493625,not,I,sd,u-5-3
sw3591A-ms98-a-0005,25.493625,25.613625,be,I,sd,u-5-3
sw3591A-ms98-a-0005,25.613625,25.813625,put,I,sd,u-5-3
sw3591A-ms98-a-0005,25.813625,26.193625,into,I,sd,u-5-3
sw3591A-ms98-a-0005,26.193625,26.277250,a,I,sd,u-5-3
sw3591A-ms98-a-0005,26.277250,26.703875,home,I,sd,u-5-3
sw3591A-ms98-a-0006,27.964000,28.430125,and,B,sd,u-7-1
sw3591A-ms98-a-0006,28.430125,28.560125,we,I,sd,u-7-1
sw3591A-ms98-a-0006,28.560125,28.920125,talked,I,sd,u-7-1
sw3591A-ms98-a-0006,28.920125,29.300125,[vocalized-noise],I,sd,u-7-1
sw3591A-ms98-a-0006,29.300125,29.680125,about,I,sd,u-7-1
sw3591A-ms98-a-0006,29.680125,30.020125,some,I,sd,u-7-1
sw3591A-ms98-a-0006,30.020125,30.610125,length,I,sd,u-7-1
sw3591A-ms98-a-0006,30.610125,30.730125,and,B,sd,u-7-2
sw3591A-ms98-a-0006,30.730125,30.870125,i,I,sd,u-7-2
sw3591A-ms98-a-0006,30.870125,31.450125,respected,I,sd,u-7-2
sw3591A-ms98-a-0006,31.450125,31.660125,his,I,sd,u-7-2
sw3591A-ms98-a-0006,31.660125,32.464750,wishes,I,sd,u-7-2
sw3591A-ms98-a-0006,32.464750,32.810125,he,B,sd,u-7-3
sw3591A-ms98-a-0006,32.810125,33.128875,uh,I,sd,u-7-3
sw3591A-ms98-a-0007,34.993500,35.207375,stayed,I,sd,u-7-3
sw3591A-ms98-a-0007,35.207375,35.297375,at,I,sd,u-7-3
sw3591A-ms98-a-0007,35.297375,35.597375,home,I,sd,u-7-3
sw3591A-ms98-a-0007,35.597375,35.697375,as,I,sd,u-7-3
sw3591A-ms98-a-0007,35.697375,35.917375,long,I,sd,u-7-3
sw3591A-ms98-a-0007,35.917375,35.987375,as,I,sd,u-7-3
sw3591A-ms98-a-0007,35.987375,36.097375,he,I,sd,u-7-3
sw3591A-ms98-a-0007,36.097375,36.507375,could,I,sd,u-7-3
sw3591A-ms98-a-0007,36.507375,36.617375,and,B,sd,u-7-4
sw3591A-ms98-a-0007,36.617375,36.887375,then,I,sd,u-7-4
sw3591A-ms98-a-0007,36.887375,37.117375,uh,I,sd,u-7-4
