sw3651B-ms98-a-0003,3.562125,3.702125,what,B,qw,u-2-1
sw3651B-ms98-a-0003,3.702125,3.872125,kind,B,+,u-4-1
sw3651B-ms98-a-0003,3.872125,3.952125,of,I,+,u-4-1
sw3651B-ms98-a-0003,3.952125,4.422125,woodworking,I,+,u-4-1
sw3651B-ms98-a-0003,4.422125,4.492125,do,I,+,u-4-1
sw3651B-ms98-a-0003,4.492125,4.612125,you,I,+,u-4-1
sw3651B-ms98-a-0003,4.612125,5.015875,do,I,+,u-4-1
sw3651B-ms98-a-0005,13.592750,14.005750,uh-huh,B,b,u-6-1
sw3651B-ms98-a-0007,34.448750,34.868750,uh,B,sd,u-8-1
sw3651B-ms98-a-0007,34.868750,35.088750,w[ell]-,I,sd,u-8-1
sw3651B-ms98-a-0007,35.088750,35.378750,well,I,sd,u-8-1
sw3651B-ms98-a-0007,35.378750,35.668750,i[t]-,I,sd,u-8-1
sw3651B-ms98-a-0007,35.668750,35.808750,yeah,I,sd,u-8-1
sw3651B-ms98-a-0007,35.808750,35.878750,i,I,sd,u-8-1
sw3651B-ms98-a-0007,35.878750,36.048750,like,I,sd,u-8-1
sw3651B-ms98-a-0007,36.048750,36.158750,to,I,sd,u-8-1
sw3651B-ms98-a-0007,36.158750,36.378750,think,I,sd,u-8-1
sw3651B-ms98-a-0007,36.378750,36.508750,of,I,sd,u-8-1
sw3651B-ms98-a-0007,36.508750,36.618750,it,I,sd,u-8-1
sw3651B-ms98-a-0007,36.618750,36.768750,as,I,sd,u-8-1
sw3651B-ms98-a-0007,36.768750,36.848750,a,I,sd,u-8-1
sw3651B-ms98-a-0007,36.848750,37.188750,hobby,I,sd,u-8-1
sw3651B-ms98-a-0007,37.188750,37.324375,but,I,sd,u-8-1
sw3651B-ms98-a-0007,37.324375,37.571125,i,I,sd,u-8-1
sw3651B-ms98-a-0007,37.571125,37.738750,i,I,sd,u-8-1
sw3651B-ms98-a-0007,37.738750,38.038750,guess,I,sd,u-8-1
sw3651B-ms98-a-0007,38.038750,38.599875,also,I,sd,u-8-1
sw3651B-ms98-a-0007,38.599875,38.948750,partly,I,sd,u-8-1
sw3651B-ms98-a-0007,38.948750,39.048750,out,I,sd,u-8-1
sw3651B-ms98-a-0007,39.048750,39.158750,of,I,sd,u-8-1
sw3651B-ms98-a-0007,39.158750,39.758750,necessity,I,sd,u-8-1
sw3651B-ms98-a-0007,39.758750,40.091500,just,I,sd,u-8-1
sw3651B-ms98-a-0007,40.518750,40.938750,repairing,I,sd,u-8-1
sw3651B-ms98-a-0007,40.938750,41.198750,things,I,sd,u-8-1
sw3651B-ms98-a-0007,41.198750,41.418750,around,I,sd,u-8-1
sw3651B-ms98-a-0007,41.418750,41.478750,the,I,sd,u-8-1
sw3651B-ms98-a-0007,41.478750,41.978750,house,I,sd,u-8-1
