sw3659A-ms98-a-0001,0.032500,0.490000,set,B,o,u-1-1
sw3659A-ms98-a-0002,1.830000,1.930000,you,B,qy^g^t,u-3-1
sw3659A-ms98-a-0002,1.930000,2.010000,you,I,qy^g^t,u-3-1
sw3659A-ms98-a-0002,2.010000,2.180000,got,I,qy^g^t,u-3-1
sw3659A-ms98-a-0002,2.180000,2.240000,the,I,qy^g^t,u-3-1
sw3659A-ms98-a-0002,2.240000,2.600000,topic,I,qy^g^t,u-3-1
sw3659A-ms98-a-0002,2.600000,2.907750,right,I,qy^g^t,u-3-1
sw3659A-ms98-a-0002,3.463250,4.087375,okay,B,b,u-5-1
sw3659A-ms98-a-0002,4.549375,4.943125,um,B,qw,u-5-2
sw3659A-ms98-a-0002,4.943125,5.180000,well,I,qw,u-5-2
sw3659A-ms98-a-0002,5.180000,5.380000,where,I,qw,u-5-2
sw3659A-ms98-a-0002,5.380000,5.440000,in,I,qw,u-5-2
sw3659A-ms98-a-0002,5.440000,5.780000,Dallas,I,qw,u-5-2
sw3659A-ms98-a-0002,5.780000,5.920000,are,I,qw,u-5-2
sw3659A-ms98-a-0002,5.920000,6.300000,you,I,qw,u-5-2
sw3659A-ms98-a-0003,7.631500,7.811500,oh,B,bk,u-7-1
sw3659A-ms98-a-0003,7.811500,8.396000,okay,I,bk,u-7-1
sw3659A-ms98-a-0003,8.496875,8.651500,so,B,qy,u-7-2
sw3659A-ms98-a-0003,8.651500,8.781500,you,I,qy,u-7-2
sw3659A-ms98-a-0003,8.781500,8.921500,do,I,qy,u-7-2
sw3659A-ms98-a-0003,8.921500,9.110375,re[cycling]-,I,qy,u-7-2
sw3659A-ms98-a-0003,9.360875,9.491500,do,I,qy,u-7-2
sw3659A-ms98-a-0003,9.491500,10.021500,recycling,I,qy,u-7-2
sw3659A-ms98-a-0003,10.021500,10.370750,there,I,qy,u-7-2
sw3659A-ms98-a-0003,11.063125,11.425750,okay,O,,
sw3659A-ms98-a-0005,16.311500,16.723875,um-hum,B,b,u-9-1
sw3659A-ms98-a-0007,29.185500,29.627250,um-hum,B,b,u-11-1
sw3659A-ms98-a-0007,30.045375,30.276500,are,B,qy,u-13-1
sw3659A-ms98-a-0007,30.276500,30.406500,they,I,qy,u-13-1
sw3659A-ms98-a-0007,30.406500,30.646500,going,I,qy,u-13-1
sw3659A-ms98-a-0007,30.646500,30.826500,to,I,qy,u-13-1
sw3659A-ms98-a-0007,30.826500,31.076500,later,I,qy,u-13-1
sw3659A-ms98-a-0007,31.076500,31.196500,or,O,,
sw3659A-ms98-a-0007,31.196500,31.326500,do,B,qy,u-13-2
sw3659A-ms98-a-0007,31.326500,31.386500,you,I,qy,u-13-2
sw3659A-ms98-a-0007,31.386500,31.506500,know,I,qy,u-13-2
sw3659A-ms98-a-0009,37.721125,38.269125,uh-huh,B,b,u-15-1
sw3659A-ms98-a-0011,41.583000,42.199375,hm,B,%,u-17-1
sw3659A-ms98-a-0011,42.929375,43.202250,well,B,sd,u-19-1
sw3659A-ms98-a-0011,43.202250,43.457750,i'm,I,sd,u-19-1
sw3659A-ms98-a-0011,43.457750,43.712250,i'm,I,sd,u-19-1
sw3659A-ms98-a-0011,43.712250,43.942250,in,I,sd,u-19-1
sw3659A-ms98-a-0011,43.942250,44.312250,Dallas,I,sd,u-19-1
sw3659A-ms98-a-0011,44.312250,44.865500,proper,I,sd,u-19-1
sw3659A-ms98-a-0011,45.048750,45.132250,in,B,+,u-21-1
sw3659A-ms98-a-0011,45.132250,45.192250,the,I,+,u-21-1
sw3659A-ms98-a-0011,45.192250,45.432250,city,I,+,u-21-1
sw3659A-ms98-a-0011,45.432250,45.492250,of,I,+,u-21-1
sw3659A-ms98-a-0011,45.492250,46.019500,Dallas,I,+,u-21-1
sw3659A-ms98-a-0011,46.284875,46.413625,and,B,sd,u-21-2
sw3659A-ms98-a-0011,46.413625,46.552000,i,I,sd,u-21-2
sw3659A-ms98-a-0011,46.552000,46.672250,know,I,sd,u-21-2
sw3659A-ms98-a-0011,46.672250,46.792250,they,I,sd,u-21-2
sw3659A-ms98-a-0011,46.792250,47.022250,do,I,sd,u-21-2
sw3659A-ms98-a-0011,47.022250,47.442750,have,I,sd,u-21-2
sw3659A-ms98-a-0011,47.442750,47.532250,you,I,sd,u-21-2
sw3659A-ms98-a-0011,47.532250,47.712250,know,I,sd,u-21-2
sw3659A-ms98-a-0011,47.712250,47.752250,a,I,sd,u-21-2
sw3659A-ms98-a-0011,47.752250,48.152250,pilot,I,sd,u-21-2
sw3659A-ms98-a-0011,48.152250,48.492250,program,I,sd,u-21-2
sw3659A-ms98-a-0011,48.492250,48.772250,going,I,sd,u-21-2
sw3659A-ms98-a-0011,48.772250,48.932250,on,I,sd,u-21-2
sw3659A-ms98-a-0011,48.932250,49.022250,but,B,sd,u-21-3
sw3659A-ms98-a-0011,49.022250,49.152250,it's,I,sd,u-21-3
sw3659A-ms98-a-0011,49.152250,49.322250,not,I,sd,u-21-3
sw3659A-ms98-a-0011,49.322250,49.725500,here,I,sd,u-21-3
sw3659A-ms98-a-0012,50.388125,50.528625,so,B,sd,u-23-1
sw3659A-ms98-a-0012,50.528625,50.618625,they're,I,sd,u-23-1
sw3659A-ms98-a-0012,50.618625,50.778625,not,I,sd,u-23-1
sw3659A-ms98-a-0012,50.778625,50.998625,picking,I,sd,u-23-1
sw3659A-ms98-a-0012,50.998625,51.118625,up,I,sd,u-23-1
sw3659A-ms98-a-0012,51.118625,51.758625,anything,I,sd,u-23-1
sw3659A-ms98-a-0012,51.758625,52.698625,[laughter],O,,
sw3659A-ms98-a-0012,52.698625,53.087875,so,B,sd,u-25-1
sw3659A-ms98-a-0012,53.087875,53.143375,i,I,sd,u-25-1
sw3659A-ms98-a-0012,53.143375,53.338625,mean,I,sd,u-25-1
sw3659A-ms98-a-0012,53.338625,53.790375,we,I,sd,u-25-1
sw3659A-ms98-a-0012,53.790375,53.938625,we,I,sd,u-25-1
sw3659A-ms98-a-0012,53.938625,54.458625,collect,I,sd,u-25-1
sw3659A-ms98-a-0012,54.458625,54.978625,everything,I,sd,u-25-1
sw3659A-ms98-a-0012,54.978625,55.108625,we've,B,sd,u-25-2
sw3659A-ms98-a-0012,55.108625,55.248625,got,I,sd,u-25-2
sw3659A-ms98-a-0012,55.248625,55.318625,all,I,sd,u-25-2
sw3659A-ms98-a-0012,55.318625,55.488625,these,I,sd,u-25-2
sw3659A-ms98-a-0012,55.488625,56.018625,boxes,I,sd,u-25-2
sw3659A-ms98-a-0012,56.018625,56.108625,in,I,sd,u-25-2
sw3659A-ms98-a-0012,56.108625,56.208625,our,I,sd,u-25-2
sw3659A-ms98-a-0012,56.208625,56.918625,garage,I,sd,u-25-2
sw3659A-ms98-a-0012,56.918625,57.028625,for,I,sd,u-25-2
sw3659A-ms98-a-0012,57.028625,57.108625,you,I,sd,u-25-2
sw3659A-ms98-a-0012,57.108625,57.287125,know,I,sd,u-25-2
sw3659A-ms98-a-0012,57.589875,57.888625,green,I,sd,u-25-2
sw3659A-ms98-a-0012,57.888625,58.298625,glass,I,sd,u-25-2
