sw3663A-ms98-a-0002,1.102500,1.598750,yeah,B,b,u-2-1
sw3663A-ms98-a-0003,2.711750,3.016875,oh,O,,
sw3663A-ms98-a-0005,10.917125,11.287125,yeah,B,ny,u-4-1
sw3663A-ms98-a-0005,11.287125,11.517125,we,B,%,u-4-2
sw3663A-ms98-a-0005,11.517125,11.957125,have,I,%,u-4-2
sw3663A-ms98-a-0005,11.957125,12.432750,um,I,%,u-4-2
sw3663A-ms98-a-0005,12.432750,12.617125,in,I,%,u-4-2
sw3663A-ms98-a-0005,12.617125,13.451625,California,I,%,u-4-2
sw3663A-ms98-a-0005,13.451625,13.617125,i'm,B,sd^e,u-4-3
sw3663A-ms98-a-0005,13.617125,13.737125,in,I,sd^e,u-4-3
sw3663A-ms98-a-0005,13.737125,13.880250,c[entral]-,I,sd^e,u-4-3
sw3663A-ms98-a-0005,13.880250,14.057125,i,I,sd^e,u-4-3
sw3663A-ms98-a-0005,14.057125,14.327125,lived,I,sd^e,u-4-3
sw3663A-ms98-a-0005,14.327125,14.437125,in,I,sd^e,u-4-3
sw3663A-ms98-a-0005,14.437125,14.747125,central,I,sd^e,u-4-3
sw3663A-ms98-a-0005,14.747125,15.317125,California,I,sd^e,u-4-3
sw3663A-ms98-a-0005,15.317125,15.417125,we,B,sd,u-4-4
sw3663A-ms98-a-0005,15.417125,15.597125,have,I,sd,u-4-4
sw3663A-ms98-a-0005,15.597125,16.064375,rain,I,sd,u-4-4
sw3663A-ms98-a-0005,16.064375,16.307125,couple,I,sd,u-4-4
sw3663A-ms98-a-0005,16.307125,16.647125,times,I,sd,u-4-4
sw3663A-ms98-a-0005,16.647125,16.677125,a,I,sd,u-4-4
sw3663A-ms98-a-0005,16.677125,17.122875,year,I,sd,u-4-4
sw3663A-ms98-a-0005,17.717875,18.057125,and,B,sd,u-4-5
sw3663A-ms98-a-0005,18.057125,18.187125,other,I,sd,u-4-5
sw3663A-ms98-a-0005,18.187125,18.367125,than,I,sd,u-4-5
sw3663A-ms98-a-0005,18.367125,18.684375,that,I,sd,u-4-5
sw3663A-ms98-a-0005,19.019625,19.097125,you,I,sd,u-4-5
