sw3666B-ms98-a-0003,2.841375,3.220750,yes,B,fp,u-2-1
sw3666B-ms98-a-0003,3.220750,3.383750,i,B,sd^t,u-2-2
sw3666B-ms98-a-0003,3.383750,3.813750,forgot,I,sd^t,u-2-2
sw3666B-ms98-a-0003,3.813750,3.923750,we,I,sd^t,u-2-2
sw3666B-ms98-a-0003,3.923750,4.063750,had,I,sd^t,u-2-2
sw3666B-ms98-a-0003,4.063750,4.123750,to,I,sd^t,u-2-2
sw3666B-ms98-a-0003,4.123750,4.313750,hit,I,sd^t,u-2-2
sw3666B-ms98-a-0003,4.313750,4.654750,one,I,sd^t,u-2-2
sw3666B-ms98-a-0003,4.654750,5.344000,[laughter],O,,
sw3666B-ms98-a-0003,5.344000,5.533750,[laughter-or],O,,
sw3666B-ms98-a-0003,5.533750,5.733750,[laughter-our],O,,
sw3666B-ms98-a-0003,5.733750,6.043750,[laughter-time],O,,
sw3666B-ms98-a-0003,6.043750,6.203750,will,B,sd^t,u-4-1
sw3666B-ms98-a-0003,6.203750,6.393750,be,I,sd^t,u-4-1
sw3666B-ms98-a-0003,6.393750,6.574250,up,I,sd^t,u-4-1
sw3666B-ms98-a-0005,9.181375,9.392250,well,B,sd,u-6-1
sw3666B-ms98-a-0005,9.392250,9.672250,just,I,sd,u-6-1
sw3666B-ms98-a-0005,9.672250,9.782250,go,I,sd,u-6-1
sw3666B-ms98-a-0005,9.782250,10.072250,ahead,I,sd,u-6-1
sw3666B-ms98-a-0005,10.072250,10.192250,and,I,sd,u-6-1
sw3666B-ms98-a-0005,10.192250,10.852250,talk,I,sd,u-6-1
sw3666B-ms98-a-0005,10.852250,11.102250,that's,B,sd,u-6-2
sw3666B-ms98-a-0005,11.102250,11.375250,all,I,sd,u-6-2
sw3666B-ms98-a-0006,11.648000,12.161750,yeah,B,ny,u-8-1
sw3666B-ms98-a-0007,13.532625,13.700500,i,B,ng,u-10-1
sw3666B-ms98-a-0007,13.700500,13.920500,don't,I,ng,u-10-1
sw3666B-ms98-a-0007,13.920500,14.150500,think,I,ng,u-10-1
sw3666B-ms98-a-0007,14.150500,14.568125,so,I,ng,u-10-1
sw3666B-ms98-a-0007,14.776625,15.337000,huh-uh,O,,
sw3666B-ms98-a-0009,18.438500,18.748500,yes,B,aa,u-14-1
sw3666B-ms98-a-0009,18.748500,18.964125,i'm,B,sd,u-14-2
sw3666B-ms98-a-0009,18.964125,19.148500,i'm,I,sd,u-14-2
sw3666B-ms98-a-0009,19.148500,19.538500,supposed,I,sd,u-14-2
sw3666B-ms98-a-0009,19.538500,19.608500,to,I,sd,u-14-2
sw3666B-ms98-a-0009,19.608500,19.918500,find,I,sd,u-14-2
sw3666B-ms98-a-0009,19.918500,20.068500,out,I,sd,u-14-2
sw3666B-ms98-a-0009,20.068500,20.268500,what,I,sd,u-14-2
sw3666B-ms98-a-0009,20.268500,20.478500,you,I,sd,u-14-2
sw3666B-ms98-a-0009,20.478500,20.838500,do,I,sd,u-14-2
sw3666B-ms98-a-0009,20.978500,21.108500,for,I,sd,u-14-2
sw3666B-ms98-a-0009,21.108500,21.348500,your,I,sd,u-14-2
sw3666B-ms98-a-0009,21.348500,21.688500,lawn,I,sd,u-14-2
sw3666B-ms98-a-0009,21.688500,21.808500,and,B,+,u-16-1
sw3666B-ms98-a-0009,21.808500,22.308500,garden,I,+,u-16-1
sw3666B-ms98-a-0010,22.918125,23.390625,uh-huh,B,ny,u-16-2
sw3666B-ms98-a-0011,24.986125,25.476250,good,B,b,u-18-1
sw3666B-ms98-a-0011,25.758750,26.106125,uh-huh,B,b,u-20-1
sw3666B-ms98-a-0011,26.106125,26.296125,you're,B,sd,u-20-2
sw3666B-ms98-a-0011,26.296125,26.547625,ahead,I,sd,u-20-2
sw3666B-ms98-a-0011,26.547625,26.796125,of,I,sd,u-20-2
sw3666B-ms98-a-0011,26.796125,27.070000,me,I,sd,u-20-2
sw3666B-ms98-a-0012,27.973250,28.203250,that's,B,na,u-22-1
sw3666B-ms98-a-0012,28.203250,28.851750,better,I,na,u-22-1
sw3666B-ms98-a-0014,30.453125,30.628750,oh,B,ba,u-24-1
sw3666B-ms98-a-0014,30.628750,30.951875,that's,I,ba,u-24-1
sw3666B-ms98-a-0014,30.951875,31.301000,really,I,ba,u-24-1
sw3666B-ms98-a-0014,31.301000,31.771000,good,I,ba,u-24-1
sw3666B-ms98-a-0016,33.652625,34.568250,yes,O,,
sw3666B-ms98-a-0017,35.289000,35.492500,i,B,sd,u-28-1
sw3666B-ms98-a-0017,35.492500,35.667000,don't,I,sd,u-28-1
sw3666B-ms98-a-0017,35.667000,35.751750,do,I,sd,u-28-1
sw3666B-ms98-a-0017,35.751750,36.051750,any,I,sd,u-28-1
sw3666B-ms98-a-0017,36.051750,36.141750,of,I,sd,u-28-1
sw3666B-ms98-a-0017,36.141750,36.471750,that,I,sd,u-28-1
sw3666B-ms98-a-0019,38.692250,39.092250,really,B,b,u-30-1
sw3666B-ms98-a-0019,39.092250,39.212250,well,B,sd,u-30-2
sw3666B-ms98-a-0019,39.212250,39.401625,i,I,sd,u-30-2
sw3666B-ms98-a-0019,39.401625,39.832250,call,I,sd,u-30-2
sw3666B-ms98-a-0019,39.832250,40.032250,my,I,sd,u-30-2
sw3666B-ms98-a-0019,40.032250,40.580125,lawn,I,sd,u-30-2
sw3666B-ms98-a-0019,40.696875,41.116375,man,I,sd,u-30-2
sw3666B-ms98-a-0019,41.116375,41.472250,Eric,I,sd,u-30-2
sw3666B-ms98-a-0019,41.802250,42.162250,whatever,I,sd,u-30-2
sw3666B-ms98-a-0019,42.162250,42.342250,his,I,sd,u-30-2
sw3666B-ms98-a-0019,42.342250,42.612250,name,I,sd,u-30-2
sw3666B-ms98-a-0019,42.612250,42.792250,is,I,sd,u-30-2
sw3666B-ms98-a-0019,42.792250,42.822250,i,I,sd,u-30-2
sw3666B-ms98-a-0019,42.822250,43.142250,can't,I,sd,u-30-2
sw3666B-ms98-a-0019,43.142250,43.725125,remember,I,sd,u-30-2
sw3666B-ms98-a-0019,44.455875,44.642250,who's,B,+,u-32-1
sw3666B-ms98-a-0019,44.642250,44.862250,gonna,I,+,u-32-1
sw3666B-ms98-a-0019,44.862250,45.112250,come,I,+,u-32-1
sw3666B-ms98-a-0019,45.112250,45.222250,and,I,+,u-32-1
sw3666B-ms98-a-0019,45.222250,45.462250,build,I,+,u-32-1
sw3666B-ms98-a-0019,45.462250,45.580250,me,I,+,u-32-1
sw3666B-ms98-a-0019,45.580250,45.685625,a,I,+,u-32-1
sw3666B-ms98-a-0019,45.685625,46.142250,fence,I,+,u-32-1
sw3666B-ms98-a-0019,46.142250,46.519625,too,I,+,u-32-1
sw3666B-ms98-a-0020,47.451500,47.739875,well,B,no,u-34-1
sw3666B-ms98-a-0020,47.739875,47.969875,he's,I,no,u-34-1
sw3666B-ms98-a-0020,47.969875,48.149875,gonna,I,no,u-34-1
sw3666B-ms98-a-0020,48.149875,48.249875,give,I,no,u-34-1
sw3666B-ms98-a-0020,48.249875,48.399875,me,I,no,u-34-1
sw3666B-ms98-a-0020,48.399875,48.499875,an,I,no,u-34-1
sw3666B-ms98-a-0020,48.499875,49.089875,estimate,I,no,u-34-1
sw3666B-ms98-a-0020,50.159875,50.509875,and,B,sv,u-36-1
sw3666B-ms98-a-0020,50.509875,50.649875,for,I,sv,u-36-1
sw3666B-ms98-a-0020,50.649875,50.969875,ten,I,sv,u-36-1
sw3666B-ms98-a-0020,50.969875,51.449875,dollars,I,sv,u-36-1
sw3666B-ms98-a-0020,51.449875,51.559875,a,I,sv,u-36-1
sw3666B-ms98-a-0020,51.559875,52.032375,week,I,sv,u-36-1
sw3666B-ms98-a-0020,52.393875,52.528750,i,I,sv,u-36-1
sw3666B-ms98-a-0020,52.528750,52.747250,don't,I,sv,u-36-1
sw3666B-ms98-a-0020,52.747250,52.929875,see,I,sv,u-36-1
sw3666B-ms98-a-0020,52.929875,53.189875,any,I,sv,u-36-1
sw3666B-ms98-a-0020,53.189875,53.559875,reason,I,sv,u-36-1
sw3666B-ms98-a-0020,53.559875,53.689875,for,B,+,u-38-1
sw3666B-ms98-a-0020,53.689875,53.899875,me,I,+,u-38-1
sw3666B-ms98-a-0020,53.899875,53.999875,to,I,+,u-38-1
sw3666B-ms98-a-0020,53.999875,54.169875,be,B,+,u-40-1
sw3666B-ms98-a-0020,54.169875,54.509875,doing,I,+,u-40-1
sw3666B-ms98-a-0020,54.509875,54.639875,it,I,+,u-40-1
sw3666B-ms98-a-0021,55.170875,55.493250,no,B,o@,u-40-2
sw3666B-ms98-a-0021,55.493250,55.753250,for,I,o@,u-40-2
sw3666B-ms98-a-0021,55.753250,55.873250,my,I,o@,u-40-2
sw3666B-ms98-a-0021,55.873250,56.403250,yard,I,o@,u-40-2
sw3666B-ms98-a-0023,58.928250,59.265250,yeah,B,+@,u-42-1
sw3666B-ms98-a-0023,59.265250,59.595250,he,B,sd,u-42-2
sw3666B-ms98-a-0023,59.595250,59.775250,is,I,sd,u-42-2
sw3666B-ms98-a-0024,60.819625,61.039625,yeah,B,b^m,u-44-1
sw3666B-ms98-a-0024,61.039625,61.229625,but,B,sv,u-44-2
sw3666B-ms98-a-0024,61.229625,61.519625,ten,I,sv,u-44-2
sw3666B-ms98-a-0024,61.519625,62.059625,dollars,I,sv,u-44-2
sw3666B-ms98-a-0025,62.975375,63.192250,or,I,sv,u-44-2
sw3666B-ms98-a-0025,63.192250,63.348625,what,I,sv,u-44-2
sw3666B-ms98-a-0025,63.348625,63.585375,i[s]-,I,sv,u-44-2
sw3666B-ms98-a-0025,63.585375,63.695375,what,I,sv,u-44-2
sw3666B-ms98-a-0025,63.695375,63.835375,does,I,sv,u-44-2
sw3666B-ms98-a-0025,63.835375,63.945375,he,I,sv,u-44-2
sw3666B-ms98-a-0025,63.945375,64.365375,charge,I,sv,u-44-2
sw3666B-ms98-a-0025,64.365375,64.645375,not,I,sv,u-44-2
sw3666B-ms98-a-0025,64.645375,64.905375,even,I,sv,u-44-2
sw3666B-ms98-a-0025,64.905375,65.105375,that,I,sv,u-44-2
sw3666B-ms98-a-0025,65.105375,65.287000,what,B,qw,u-44-3
sw3666B-ms98-a-0025,65.403875,65.535375,does,I,qw,u-44-3
sw3666B-ms98-a-0025,65.535375,65.615375,he,I,qw,u-44-3
sw3666B-ms98-a-0025,65.615375,66.080750,charge,I,qw,u-44-3
sw3666B-ms98-a-0025,66.080750,66.314250,me,I,qw,u-44-3
sw3666B-ms98-a-0025,66.705375,66.885375,it's,B,sv,u-46-1
sw3666B-ms98-a-0025,66.885375,67.065375,like,I,sv,u-46-1
sw3666B-ms98-a-0025,67.065375,67.405375,next,I,sv,u-46-1
sw3666B-ms98-a-0025,67.405375,67.505375,to,I,sv,u-46-1
sw3666B-ms98-a-0025,67.505375,67.955375,nothing,I,sv,u-46-1
sw3666B-ms98-a-0025,67.955375,68.135375,[vocalized-noise],O,,
sw3666B-ms98-a-0025,68.135375,68.405375,it's,B,sd,u-46-2
sw3666B-ms98-a-0025,68.405375,68.815375,ten,I,sd,u-46-2
sw3666B-ms98-a-0025,68.815375,69.015375,because,I,sd,u-46-2
sw3666B-ms98-a-0025,69.015375,69.075375,i,I,sd,u-46-2
sw3666B-ms98-a-0025,69.075375,69.465375,it's,B,sd,u-46-3
sw3666B-ms98-a-0025,69.695375,70.125375,forty,I,sd,u-46-3
sw3666B-ms98-a-0025,70.125375,70.175375,a,I,sd,u-46-3
sw3666B-ms98-a-0025,70.175375,70.718000,month,I,sd,u-46-3
sw3666B-ms98-a-0025,70.718000,70.864875,but,B,sd,u-48-1
sw3666B-ms98-a-0025,70.864875,71.035375,if,I,sd,u-48-1
sw3666B-ms98-a-0025,71.035375,71.275375,there's,I,sd,u-48-1
sw3666B-ms98-a-0025,71.275375,71.635375,five,I,sd,u-48-1
sw3666B-ms98-a-0025,71.635375,71.945375,weeks,I,sd,u-48-1
sw3666B-ms98-a-0025,71.945375,72.025375,i,I,sd,u-48-1
sw3666B-ms98-a-0025,72.025375,72.335375,still,I,sd,u-48-1
sw3666B-ms98-a-0025,72.335375,72.555375,pay,I,sd,u-48-1
sw3666B-ms98-a-0025,72.555375,73.005375,forty,I,sd,u-48-1
sw3666B-ms98-a-0027,76.139625,76.278375,well,B,sd,u-50-1
sw3666B-ms98-a-0027,76.278375,76.438375,he,I,sd,u-50-1
sw3666B-ms98-a-0027,76.438375,76.718375,won't,I,sd,u-50-1
sw3666B-ms98-a-0027,76.718375,76.998375,pull,I,sd,u-50-1
sw3666B-ms98-a-0027,76.998375,77.318375,weeds,I,sd,u-50-1
sw3666B-ms98-a-0027,77.318375,77.468375,he,B,sd,u-50-2
sw3666B-ms98-a-0027,77.468375,77.818375,says,I,sd,u-50-2
sw3666B-ms98-a-0027,77.818375,78.018375,he'll,I,sd,u-50-2
sw3666B-ms98-a-0027,78.018375,78.388375,spray,I,sd,u-50-2
sw3666B-ms98-a-0027,78.388375,78.498375,them_1,O,,
sw3666B-ms98-a-0027,78.498375,78.598375,but,B,sd,u-50-3
sw3666B-ms98-a-0027,78.598375,78.688375,he,I,sd,u-50-3
sw3666B-ms98-a-0027,78.688375,78.958375,won't,I,sd,u-50-3
sw3666B-ms98-a-0027,78.958375,79.268375,pull,I,sd,u-50-3
sw3666B-ms98-a-0027,79.268375,79.468375,them,I,sd,u-50-3
sw3666B-ms98-a-0028,80.060500,80.140500,uh,B,sd,u-52-1
sw3666B-ms98-a-0028,80.140500,80.400500,he,I,sd,u-52-1
sw3666B-ms98-a-0028,80.400500,80.690500,won't,I,sd,u-52-1
sw3666B-ms98-a-0028,80.690500,81.000500,cut,I,sd,u-52-1
sw3666B-ms98-a-0028,81.000500,81.190500,them,I,sd,u-52-1
sw3666B-ms98-a-0028,81.190500,81.350500,is,I,sd,u-52-1
sw3666B-ms98-a-0028,81.350500,81.500500,what,I,sd,u-52-1
sw3666B-ms98-a-0028,81.500500,81.610500,he,I,sd,u-52-1
sw3666B-ms98-a-0028,81.610500,81.870500,won't,I,sd,u-52-1
sw3666B-ms98-a-0028,81.870500,82.179125,do,I,sd,u-52-1
sw3666B-ms98-a-0028,82.608500,83.060500,because,B,+,u-54-1
sw3666B-ms98-a-0028,83.060500,83.200500,he,I,+,u-54-1
sw3666B-ms98-a-0028,83.200500,83.450500,said,I,+,u-54-1
sw3666B-ms98-a-0028,83.450500,83.600500,with,I,+,u-54-1
sw3666B-ms98-a-0028,83.600500,83.720500,the,I,+,u-54-1
sw3666B-ms98-a-0028,83.720500,84.382750,rocks,I,+,u-54-1
sw3666B-ms98-a-0028,84.883625,85.010500,that,B,+,u-56-1
sw3666B-ms98-a-0028,85.010500,85.150500,it's,I,+,u-56-1
sw3666B-ms98-a-0028,85.150500,85.350500,too,I,+,u-56-1
sw3666B-ms98-a-0028,85.350500,85.960500,dangerous,I,+,u-56-1
sw3666B-ms98-a-0028,85.960500,86.100500,for,I,+,u-56-1
sw3666B-ms98-a-0028,86.100500,86.300500,him,I,+,u-56-1
sw3666B-ms98-a-0028,86.300500,86.410500,to,I,+,u-56-1
sw3666B-ms98-a-0028,86.410500,86.810500,take,I,+,u-56-1
sw3666B-ms98-a-0028,86.810500,87.075500,the,I,+,u-56-1
sw3666B-ms98-a-0029,87.924750,88.024750,the,I,+,u-56-1
sw3666B-ms98-a-0029,88.024750,88.572375,trimmer,I,+,u-56-1
sw3666B-ms98-a-0029,88.907625,89.194750,over,B,+,u-58-1
sw3666B-ms98-a-0029,89.194750,89.324750,the,I,+,u-58-1
sw3666B-ms98-a-0029,89.324750,89.754750,rocks,I,+,u-58-1
sw3666B-ms98-a-0029,89.754750,89.874750,and,B,sv,u-58-2
sw3666B-ms98-a-0029,89.874750,90.094750,he's,I,sv,u-58-2
sw3666B-ms98-a-0029,90.094750,90.484750,right,I,sv,u-58-2
sw3666B-ms98-a-0029,90.484750,90.764750,that's,B,sv,u-60-1
sw3666B-ms98-a-0029,90.764750,91.131500,true,I,sv,u-60-1
sw3666B-ms98-a-0029,91.873500,92.104750,but,B,sd,u-60-2
sw3666B-ms98-a-0029,92.104750,92.254750,he,I,sd,u-60-2
sw3666B-ms98-a-0029,92.254750,92.514750,just,I,sd,u-60-2
sw3666B-ms98-a-0029,92.514750,92.754750,says,I,sd,u-60-2
sw3666B-ms98-a-0029,92.754750,92.874750,to,I,sd,u-60-2
sw3666B-ms98-a-0029,92.874750,93.104750,keep,I,sd,u-60-2
sw3666B-ms98-a-0029,93.104750,93.664750,spraying,I,sd,u-60-2
sw3666B-ms98-a-0029,93.664750,93.844750,them,I,sd,u-60-2
sw3666B-ms98-a-0029,94.174750,94.524750,so,I,sd,u-60-2
sw3666B-ms98-a-0030,95.416625,95.936625,anyway,B,sd,u-62-1
sw3666B-ms98-a-0030,95.936625,96.306625,Gene,I,sd,u-62-1
sw3666B-ms98-a-0030,96.306625,96.736625,sprayed,I,sd,u-62-1
sw3666B-ms98-a-0030,96.736625,96.886625,them,I,sd,u-62-1
sw3666B-ms98-a-0030,96.886625,97.126625,once,I,sd,u-62-1
sw3666B-ms98-a-0030,97.126625,97.186625,or,I,sd,u-62-1
sw3666B-ms98-a-0030,97.186625,97.606625,twice,I,sd,u-62-1
sw3666B-ms98-a-0030,97.606625,97.950625,for,I,sd,u-62-1
sw3666B-ms98-a-0030,97.950625,98.156625,me,I,sd,u-62-1
sw3666B-ms98-a-0030,98.156625,98.516625,so,B,sv,u-62-2
sw3666B-ms98-a-0031,99.301375,99.481125,that,B,+,u-64-1
sw3666B-ms98-a-0031,99.481125,99.771125,was,I,+,u-64-1
sw3666B-ms98-a-0031,99.771125,100.071125,free,O,,
sw3666B-ms98-a-0033,101.835000,102.252250,no,B,nn,u-66-1
sw3666B-ms98-a-0033,102.403375,102.803000,no,B,nn^m,u-68-1
sw3666B-ms98-a-0033,102.803000,103.105000,there,B,sd,u-68-2
sw3666B-ms98-a-0033,103.105000,103.265000,are,I,sd,u-68-2
sw3666B-ms98-a-0033,103.265000,103.595000,two,I,sd,u-68-2
sw3666B-ms98-a-0033,103.595000,103.795000,out,I,sd,u-68-2
sw3666B-ms98-a-0033,103.795000,104.085000,front,I,sd,u-68-2
sw3666B-ms98-a-0033,104.085000,104.175000,i,B,sd,u-68-3
sw3666B-ms98-a-0033,104.175000,104.435000,thought,I,sd,u-68-3
sw3666B-ms98-a-0033,104.435000,104.615000,i'd,I,sd,u-68-3
sw3666B-ms98-a-0033,104.615000,104.965000,grab,I,sd,u-68-3
sw3666B-ms98-a-0033,104.965000,105.115000,one,I,sd,u-68-3
sw3666B-ms98-a-0033,105.115000,105.195000,of,I,sd,u-68-3
sw3666B-ms98-a-0033,105.195000,105.395000,these,I,sd,u-68-3
sw3666B-ms98-a-0033,105.395000,105.768250,days,I,sd,u-68-3
sw3666B-ms98-a-0033,105.768250,105.935000,but,B,sd,u-68-4
sw3666B-ms98-a-0033,105.935000,105.995000,i,I,sd,u-68-4
sw3666B-ms98-a-0033,105.995000,106.325000,haven't,I,sd,u-68-4
sw3666B-ms98-a-0033,106.325000,106.815000,bothered,I,sd,u-68-4
sw3666B-ms98-a-0033,106.815000,106.945000,as,I,sd,u-68-4
sw3666B-ms98-a-0033,106.945000,107.055000,i,I,sd,u-68-4
sw3666B-ms98-a-0033,107.055000,107.385000,walk,I,sd,u-68-4
sw3666B-ms98-a-0033,107.385000,107.625000,on,I,sd,u-68-4
sw3666B-ms98-a-0033,107.625000,107.999875,by,I,sd,u-68-4
sw3666B-ms98-a-0034,108.664125,108.794125,i,B,sd,u-70-1
sw3666B-ms98-a-0034,108.794125,109.244125,start,I,sd,u-70-1
sw3666B-ms98-a-0034,109.244125,109.334125,to,I,sd,u-70-1
sw3666B-ms98-a-0034,109.334125,109.604125,pull,I,sd,u-70-1
sw3666B-ms98-a-0034,109.604125,109.674125,the,I,sd,u-70-1
sw3666B-ms98-a-0034,109.674125,109.994125,weeds,I,sd,u-70-1
sw3666B-ms98-a-0034,109.994125,110.084125,in,I,sd,u-70-1
sw3666B-ms98-a-0034,110.084125,110.194125,the,I,sd,u-70-1
sw3666B-ms98-a-0034,110.194125,110.644125,rocks,I,sd,u-70-1
sw3666B-ms98-a-0034,110.644125,110.864125,out,I,sd,u-70-1
sw3666B-ms98-a-0034,110.864125,111.224125,front,I,sd,u-70-1
sw3666B-ms98-a-0034,112.094125,112.738000,and,B,sd,u-72-1
sw3666B-ms98-a-0035,113.445000,113.635000,all,I,sd,u-72-1
sw3666B-ms98-a-0035,113.635000,113.755000,of,I,sd,u-72-1
sw3666B-ms98-a-0035,113.755000,113.825000,a,I,sd,u-72-1
sw3666B-ms98-a-0035,113.825000,114.511250,sudden,I,sd,u-72-1
sw3666B-ms98-a-0035,114.511250,114.737250,i,I,sd,u-72-1
sw3666B-ms98-a-0035,114.737250,115.055000,came,I,sd,u-72-1
sw3666B-ms98-a-0035,115.055000,115.485000,cross,I,sd,u-72-1
sw3666B-ms98-a-0035,115.485000,115.785000,this,I,sd,u-72-1
sw3666B-ms98-a-0035,115.785000,115.985000,big,I,sd,u-72-1
sw3666B-ms98-a-0035,115.985000,116.335000,clump,I,sd,u-72-1
sw3666B-ms98-a-0035,116.335000,116.395000,of,I,sd,u-72-1
sw3666B-ms98-a-0035,116.395000,116.745000,weeds,I,sd,u-72-1
sw3666B-ms98-a-0035,116.745000,116.835000,and,B,sd,u-72-2
sw3666B-ms98-a-0035,116.835000,116.925000,there,I,sd,u-72-2
sw3666B-ms98-a-0035,116.925000,117.115000,was,I,sd,u-72-2
sw3666B-ms98-a-0035,117.115000,117.425000,dog,I,sd,u-72-2
sw3666B-ms98-a-0035,117.425000,117.685000,dirt,I,sd,u-72-2
sw3666B-ms98-a-0035,117.685000,117.835000,in,I,sd,u-72-2
sw3666B-ms98-a-0035,117.835000,117.975000,it,I,sd,u-72-2
sw3666B-ms98-a-0036,118.727125,118.843000,and,B,sd,u-74-1
sw3666B-ms98-a-0036,118.843000,119.131250,i,I,sd,u-74-1
sw3666B-ms98-a-0036,119.131250,119.287125,threw,I,sd,u-74-1
sw3666B-ms98-a-0036,119.287125,119.367125,the,I,sd,u-74-1
sw3666B-ms98-a-0036,119.367125,119.827125,gloves,I,sd,u-74-1
sw3666B-ms98-a-0036,119.827125,119.947125,in,I,sd,u-74-1
sw3666B-ms98-a-0036,119.947125,120.027125,the,I,sd,u-74-1
sw3666B-ms98-a-0036,120.027125,120.487125,trash,I,sd,u-74-1
sw3666B-ms98-a-0036,120.487125,120.817125,bag,I,sd,u-74-1
sw3666B-ms98-a-0036,120.817125,120.987125,that,I,sd,u-74-1
sw3666B-ms98-a-0036,120.987125,121.177125,was,I,sd,u-74-1
sw3666B-ms98-a-0036,121.177125,121.417125,out,I,sd,u-74-1
sw3666B-ms98-a-0036,121.417125,121.607125,there,I,sd,u-74-1
