sw3750B-ms98-a-0001,0.020000,0.189875,yeah,B,o,u-1-1
sw3750B-ms98-a-0003,2.748750,2.988750,oh,B,ny,u-3-1
sw3750B-ms98-a-0003,2.988750,3.643375,yeah,I,ny,u-3-1
sw3750B-ms98-a-0003,3.643375,4.018750,i,B,sd,u-5-1
sw3750B-ms98-a-0003,4.018750,4.504125,uh,I,sd,u-5-1
sw3750B-ms98-a-0003,4.809250,5.138750,like,B,+,u-7-1
sw3750B-ms98-a-0003,5.138750,5.358750,like,I,+,u-7-1
sw3750B-ms98-a-0003,5.358750,5.608750,you,I,+,u-7-1
sw3750B-ms98-a-0003,5.608750,5.698750,i,I,+,u-7-1
sw3750B-ms98-a-0003,5.698750,5.988750,haven't,I,+,u-7-1
sw3750B-ms98-a-0003,5.988750,6.178750,done,I,+,u-7-1
sw3750B-ms98-a-0003,6.178750,6.278750,it,I,+,u-7-1
sw3750B-ms98-a-0003,6.278750,6.368750,in,I,+,u-7-1
sw3750B-ms98-a-0003,6.368750,6.618750,quite,I,+,u-7-1
sw3750B-ms98-a-0003,6.618750,6.778750,some,I,+,u-7-1
sw3750B-ms98-a-0003,6.778750,7.328750,time,I,+,u-7-1
sw3750B-ms98-a-0004,7.660000,8.070000,except,B,+,u-9-1
sw3750B-ms98-a-0004,8.070000,8.200000,for,I,+,u-9-1
sw3750B-ms98-a-0004,8.200000,8.410000,what,I,+,u-9-1
sw3750B-ms98-a-0004,8.410000,8.510000,i,I,+,u-9-1
sw3750B-ms98-a-0004,8.510000,8.820000,call,I,+,u-9-1
sw3750B-ms98-a-0004,8.820000,9.140000,living,I,+,u-9-1
sw3750B-ms98-a-0004,9.140000,9.550000,now,I,+,u-9-1
sw3750B-ms98-a-0004,9.550000,10.480000,[laughter],O,,
sw3750B-ms98-a-0004,10.480000,10.720000,which,B,+,u-11-1
sw3750B-ms98-a-0004,10.720000,10.957500,is,I,+,u-11-1
sw3750B-ms98-a-0004,11.281500,11.510000,which,I,+,u-11-1
sw3750B-ms98-a-0004,11.510000,11.640000,is,I,+,u-11-1
sw3750B-ms98-a-0004,11.640000,11.970000,very,I,+,u-11-1
sw3750B-ms98-a-0004,11.970000,12.340000,close,I,+,u-11-1
sw3750B-ms98-a-0004,12.340000,12.460000,to,I,+,u-11-1
sw3750B-ms98-a-0004,12.460000,13.160000,camping,I,+,u-11-1
sw3750B-ms98-a-0004,13.160000,14.070000,[laughter],O,,
sw3750B-ms98-a-0004,14.070000,14.766000,yeah,B,ny,u-13-1
sw3750B-ms98-a-0004,14.766000,14.960000,you,B,sd,u-13-2
sw3750B-ms98-a-0004,14.960000,15.050000,know,I,sd,u-13-2
sw3750B-ms98-a-0004,15.050000,15.210000,i,I,sd,u-13-2
sw3750B-ms98-a-0004,15.210000,15.370000,i,I,sd,u-13-2
sw3750B-ms98-a-0004,15.370000,15.830000,camped,I,sd,u-13-2
sw3750B-ms98-a-0004,15.830000,15.960000,in,I,sd,u-13-2
sw3750B-ms98-a-0004,15.960000,16.020000,the,I,sd,u-13-2
sw3750B-ms98-a-0004,16.020000,16.260000,Boy,I,sd,u-13-2
sw3750B-ms98-a-0004,16.260000,16.990000,Scouts,I,sd,u-13-2
sw3750B-ms98-a-0004,16.990000,17.330000,and,B,sd,u-13-3
sw3750B-ms98-a-0004,17.330000,17.610000,uh,I,sd,u-13-3
sw3750B-ms98-a-0005,18.048375,18.188375,you,I,sd,u-13-3
sw3750B-ms98-a-0005,18.188375,18.308375,know,I,sd,u-13-3
sw3750B-ms98-a-0005,18.308375,18.478375,my,I,sd,u-13-3
sw3750B-ms98-a-0005,18.478375,18.678375,dad,I,sd,u-13-3
sw3750B-ms98-a-0005,18.678375,18.918375,and,I,sd,u-13-3
sw3750B-ms98-a-0005,18.918375,18.978375,i,I,sd,u-13-3
sw3750B-ms98-a-0005,18.978375,19.208375,went,I,sd,u-13-3
sw3750B-ms98-a-0005,19.208375,19.388375,out,I,sd,u-13-3
sw3750B-ms98-a-0005,19.388375,20.108375,sometimes,I,sd,u-13-3
sw3750B-ms98-a-0005,20.108375,20.352125,but,B,sd,u-13-4
sw3750B-ms98-a-0005,21.094125,21.775875,uh,B,+,u-15-1
sw3750B-ms98-a-0005,22.107250,22.828000,even,I,+,u-15-1
sw3750B-ms98-a-0005,22.828000,23.108375,my,I,+,u-15-1
sw3750B-ms98-a-0005,23.108375,23.618375,first,I,+,u-15-1
sw3750B-ms98-a-0005,23.618375,23.848375,uh,I,+,u-15-1
sw3750B-ms98-a-0005,23.848375,24.068375,eight,I,+,u-15-1
sw3750B-ms98-a-0005,24.068375,24.168375,or,I,+,u-15-1
sw3750B-ms98-a-0005,24.168375,24.508375,nine,I,+,u-15-1
sw3750B-ms98-a-0005,24.508375,24.928375,years,I,+,u-15-1
sw3750B-ms98-a-0005,24.928375,25.118375,of,I,+,u-15-1
sw3750B-ms98-a-0005,25.118375,25.703750,working,I,+,u-15-1
sw3750B-ms98-a-0005,26.457125,26.568375,i,I,+,u-15-1
sw3750B-ms98-a-0005,26.568375,27.018375,camped,I,+,u-15-1
sw3750B-ms98-a-0005,27.018375,27.368375,almost,I,+,u-15-1
sw3750B-ms98-a-0005,27.368375,27.538375,all,I,+,u-15-1
sw3750B-ms98-a-0005,27.538375,27.598375,the,I,+,u-15-1
sw3750B-ms98-a-0005,27.598375,27.968375,time,I,+,u-15-1
sw3750B-ms98-a-0005,27.968375,28.118375,because_1,I,+,u-15-1
sw3750B-ms98-a-0005,28.118375,28.188375,i,I,+,u-15-1
sw3750B-ms98-a-0005,28.188375,28.308375,was,I,+,u-15-1
sw3750B-ms98-a-0005,28.308375,28.438375,in,I,+,u-15-1
sw3750B-ms98-a-0005,28.438375,29.177375,construction,I,+,u-15-1
sw3750B-ms98-a-0006,30.125250,30.662875,and,B,sd,u-17-1
sw3750B-ms98-a-0006,30.662875,30.872875,it's,I,sd,u-17-1
sw3750B-ms98-a-0006,30.872875,31.352875,cheaper,I,sd,u-17-1
sw3750B-ms98-a-0006,31.352875,31.702875,to,I,sd,u-17-1
sw3750B-ms98-a-0006,31.702875,31.992875,pitch,I,sd,u-17-1
sw3750B-ms98-a-0006,31.992875,32.082875,a,I,sd,u-17-1
sw3750B-ms98-a-0006,32.082875,32.671750,tent,I,sd,u-17-1
sw3750B-ms98-a-0006,32.878875,33.195000,and,I,sd,u-17-1
sw3750B-ms98-a-0006,33.481250,33.692875,cook,I,sd,u-17-1
sw3750B-ms98-a-0006,33.692875,33.842875,your,I,sd,u-17-1
sw3750B-ms98-a-0006,33.842875,34.232875,meals,I,sd,u-17-1
sw3750B-ms98-a-0006,34.232875,34.422875,out,I,sd,u-17-1
sw3750B-ms98-a-0006,34.422875,34.532875,by,I,sd,u-17-1
sw3750B-ms98-a-0006,34.532875,34.612875,the,I,sd,u-17-1
sw3750B-ms98-a-0006,34.612875,35.042875,fire,I,sd,u-17-1
sw3750B-ms98-a-0006,35.042875,35.162875,than,I,sd,u-17-1
sw3750B-ms98-a-0006,35.162875,35.282875,it,I,sd,u-17-1
