sw3763B-ms98-a-0002,1.246125,1.794625,um-hum,B,ny,u-2-1
sw3763B-ms98-a-0004,6.643000,7.178125,uh,B,qy,u-4-1
sw3763B-ms98-a-0004,7.178125,7.849000,baseball,I,qy,u-4-1
sw3763B-ms98-a-0005,9.256625,9.725500,well,B,sd,u-6-1
sw3763B-ms98-a-0005,10.192500,10.413625,i've,I,sd,u-6-1
sw3763B-ms98-a-0005,10.413625,10.573625,been,I,sd,u-6-1
sw3763B-ms98-a-0005,10.573625,10.823625,kind,I,sd,u-6-1
sw3763B-ms98-a-0005,10.823625,11.042000,of,I,sd,u-6-1
sw3763B-ms98-a-0005,11.042000,11.987375,[vocalized-noise],I,sd,u-6-1
sw3763B-ms98-a-0005,11.987375,12.153625,been,I,sd,u-6-1
sw3763B-ms98-a-0005,12.153625,12.593625,intrigued,I,sd,u-6-1
sw3763B-ms98-a-0005,12.593625,12.743625,with,I,sd,u-6-1
sw3763B-ms98-a-0005,12.743625,12.853625,the,I,sd,u-6-1
sw3763B-ms98-a-0005,12.853625,13.725000,Rangers,I,sd,u-6-1
sw3763B-ms98-a-0006,14.699250,15.357750,uh,I,sd,u-6-1
sw3763B-ms98-a-0008,17.078625,17.640750,more,I,sd,u-6-1
sw3763B-ms98-a-0008,17.640750,18.208875,so,I,sd,u-6-1
sw3763B-ms98-a-0008,18.208875,18.668375,with,I,sd,u-6-1
sw3763B-ms98-a-0008,18.668375,19.350750,uh,I,sd,u-6-1
sw3763B-ms98-a-0009,20.185750,20.762000,uh,I,sd,u-6-1
sw3763B-ms98-a-0009,21.063375,21.185750,their,I,sd,u-6-1
sw3763B-ms98-a-0009,21.185750,21.925750,management,I,sd,u-6-1
sw3763B-ms98-a-0009,21.925750,22.065750,than,I,sd,u-6-1
sw3763B-ms98-a-0009,22.065750,22.445750,anything,I,sd,u-6-1
sw3763B-ms98-a-0009,22.445750,22.815750,else,I,sd,u-6-1
sw3763B-ms98-a-0009,22.815750,23.055750,i'd,O,,
sw3763B-ms98-a-0009,23.515000,23.601625,i,B,sd,u-6-2
sw3763B-ms98-a-0009,23.601625,23.825750,don't,I,sd,u-6-2
sw3763B-ms98-a-0009,23.825750,24.145750,follow,I,sd,u-6-2
sw3763B-ms98-a-0009,24.145750,24.665750,baseball,I,sd,u-6-2
sw3763B-ms98-a-0009,24.665750,25.024000,that,I,sd,u-6-2
sw3763B-ms98-a-0009,25.024000,25.315750,that,I,sd,u-6-2
sw3763B-ms98-a-0009,25.315750,25.907875,closely,I,sd,u-6-2
sw3763B-ms98-a-0010,26.508250,26.893875,but,B,sd,u-6-3
sw3763B-ms98-a-0010,26.893875,27.283875,uh,I,sd,u-6-3
sw3763B-ms98-a-0010,27.283875,27.453875,si[nce]-,I,sd,u-6-3
sw3763B-ms98-a-0010,27.453875,27.583875,you,I,sd,u-6-3
sw3763B-ms98-a-0010,27.583875,27.773875,know,I,sd,u-6-3
sw3763B-ms98-a-0010,27.773875,28.143875,since,I,sd,u-6-3
sw3763B-ms98-a-0010,28.143875,28.312875,i,I,sd,u-6-3
sw3763B-ms98-a-0010,28.312875,28.523875,live,I,sd,u-6-3
sw3763B-ms98-a-0010,28.523875,28.693875,here,I,sd,u-6-3
sw3763B-ms98-a-0010,28.693875,28.823875,so,I,sd,u-6-3
sw3763B-ms98-a-0010,28.823875,29.113875,close,I,sd,u-6-3
sw3763B-ms98-a-0010,29.113875,29.243875,to,I,sd,u-6-3
sw3763B-ms98-a-0010,29.243875,29.803875,Arlington,I,sd,u-6-3
sw3763B-ms98-a-0010,29.803875,30.253500,uh,I,sd,u-6-3
sw3763B-ms98-a-0011,31.264750,31.548500,that's,I,sd,u-6-3
sw3763B-ms98-a-0011,31.548500,31.706000,the,I,sd,u-6-3
sw3763B-ms98-a-0011,31.706000,31.911125,team,I,sd,u-6-3
sw3763B-ms98-a-0011,31.911125,32.081125,that,I,sd,u-6-3
sw3763B-ms98-a-0011,32.081125,32.261125,i've,I,sd,u-6-3
sw3763B-ms98-a-0011,32.261125,32.668250,been,I,sd,u-6-3
sw3763B-ms98-a-0011,32.894250,33.101125,kind,I,sd,u-6-3
sw3763B-ms98-a-0011,33.101125,33.171125,of,I,sd,u-6-3
sw3763B-ms98-a-0011,33.171125,33.791125,following,I,sd,u-6-3
sw3763B-ms98-a-0013,44.372250,44.879375,um-hum,B,b,u-8-1
sw3763B-ms98-a-0014,46.080000,46.465750,right,B,aa,u-10-1
sw3763B-ms98-a-0016,52.631125,53.088250,well,B,sv,u-12-1
sw3763B-ms98-a-0016,53.088250,53.287875,i,I,sv,u-12-1
sw3763B-ms98-a-0016,53.287875,53.687125,think,I,sv,u-12-1
sw3763B-ms98-a-0016,53.687125,54.114875,that,I,sv,u-12-1
sw3763B-ms98-a-0016,54.114875,54.605125,uh,I,sv,u-12-1
sw3763B-ms98-a-0017,56.376500,56.587125,[vocalized-noise],I,sv,u-12-1
sw3763B-ms98-a-0017,56.587125,56.756750,you,I,sv,u-12-1
sw3763B-ms98-a-0017,56.756750,56.946750,know,I,sv,u-12-1
sw3763B-ms98-a-0017,56.946750,57.302500,with,I,sv,u-12-1
sw3763B-ms98-a-0017,57.302500,57.738000,uh,I,sv,u-12-1
sw3763B-ms98-a-0018,58.901125,59.140875,so,I,sv,u-12-1
sw3763B-ms98-a-0018,59.140875,59.350875,much,I,sv,u-12-1
sw3763B-ms98-a-0018,59.350875,60.010875,controversy,I,sv,u-12-1
sw3763B-ms98-a-0018,60.010875,60.440875,over,I,sv,u-12-1
sw3763B-ms98-a-0018,60.440875,60.790875,Ruben,I,sv,u-12-1
sw3763B-ms98-a-0018,60.790875,61.660875,Sierra,I,sv,u-12-1
sw3763B-ms98-a-0018,61.660875,61.930875,not,I,sv,u-12-1
sw3763B-ms98-a-0018,61.930875,62.610875,signing,I,sv,u-12-1
sw3763B-ms98-a-0018,62.610875,62.984875,and,I,sv,u-12-1
sw3763B-ms98-a-0018,63.403000,63.720125,asking,I,sv,u-12-1
sw3763B-ms98-a-0018,63.720125,63.818000,us,I,sv,u-12-1
sw3763B-ms98-a-0018,63.818000,63.920875,for,I,sv,u-12-1
sw3763B-ms98-a-0018,63.920875,64.080875,so,I,sv,u-12-1
sw3763B-ms98-a-0018,64.080875,64.340875,much,I,sv,u-12-1
sw3763B-ms98-a-0018,64.340875,64.770875,money,I,sv,u-12-1
sw3763B-ms98-a-0018,64.770875,65.070875,it's,I,sv,u-12-1
sw3763B-ms98-a-0018,65.070875,65.510875,um,I,sv,u-12-1
sw3763B-ms98-a-0019,66.218750,66.309375,you,I,sv,u-12-1
sw3763B-ms98-a-0019,66.309375,66.509375,know,I,sv,u-12-1
sw3763B-ms98-a-0019,66.509375,66.635125,i,I,sv,u-12-1
sw3763B-ms98-a-0019,66.635125,67.071375,think,I,sv,u-12-1
sw3763B-ms98-a-0020,68.710625,68.944250,i'm,B,sd,u-12-2
sw3763B-ms98-a-0020,68.944250,69.144250,not,I,sd,u-12-2
sw3763B-ms98-a-0020,69.144250,69.324250,real,I,sd,u-12-2
sw3763B-ms98-a-0020,69.324250,69.614250,sure,I,sd,u-12-2
sw3763B-ms98-a-0020,69.614250,69.915875,about,I,sd,u-12-2
sw3763B-ms98-a-0020,69.915875,70.044250,th[at]-,O,,
sw3763B-ms98-a-0020,70.044250,70.204250,do,B,qy,u-12-3
sw3763B-ms98-a-0020,70.204250,70.284250,you,I,qy,u-12-3
sw3763B-ms98-a-0020,70.284250,70.454250,know,I,qy,u-12-3
sw3763B-ms98-a-0020,70.454250,70.754250,anything,I,qy,u-12-3
sw3763B-ms98-a-0020,70.754250,71.244250,about,I,qy,u-12-3
sw3763B-ms98-a-0020,71.244250,71.494250,Ruben,I,qy,u-12-3
sw3763B-ms98-a-0020,71.494250,72.335750,Sierra's,I,qy,u-12-3
sw3763B-ms98-a-0020,72.979750,73.492750,uh,I,qy,u-12-3
sw3763B-ms98-a-0022,77.133125,77.593125,yeah,B,b,u-14-1
sw3763B-ms98-a-0022,77.593125,77.723125,that,B,bf,u-14-2
sw3763B-ms98-a-0022,77.723125,77.813125,he,B,+,u-16-1
sw3763B-ms98-a-0022,77.813125,77.953125,was,I,+,u-16-1
sw3763B-ms98-a-0022,77.953125,78.173125,willing,I,+,u-16-1
sw3763B-ms98-a-0022,78.173125,78.233125,to,I,+,u-16-1
sw3763B-ms98-a-0022,78.233125,78.443125,come,I,+,u-16-1
sw3763B-ms98-a-0022,78.443125,78.683125,down,I,+,u-16-1
sw3763B-ms98-a-0022,78.683125,78.733125,a,I,+,u-16-1
sw3763B-ms98-a-0022,78.733125,79.013125,little,I,+,u-16-1
sw3763B-ms98-a-0022,79.013125,79.423125,bit,I,+,u-16-1
sw3763B-ms98-a-0022,79.423125,79.793125,and,I,+,u-16-1
sw3763B-ms98-a-0022,79.793125,80.204375,uh,B,+@,u-18-1
sw3763B-ms98-a-0022,80.553125,80.733125,if,I,+@,u-18-1
sw3763B-ms98-a-0022,80.733125,80.833125,the,I,+@,u-18-1
sw3763B-ms98-a-0022,80.833125,81.193125,Rangers,I,+@,u-18-1
sw3763B-ms98-a-0022,81.193125,81.343125,will,I,+@,u-18-1
sw3763B-ms98-a-0022,81.343125,81.553125,go,I,+@,u-18-1
sw3763B-ms98-a-0022,81.553125,81.743125,up,I,+@,u-18-1
sw3763B-ms98-a-0022,81.743125,81.793125,a,I,+@,u-18-1
sw3763B-ms98-a-0022,81.793125,82.023125,little,I,+@,u-18-1
sw3763B-ms98-a-0022,82.023125,82.289750,bit,I,+@,u-18-1
sw3763B-ms98-a-0023,83.300375,83.843625,yeah,B,+@,u-20-1
sw3763B-ms98-a-0023,84.141250,84.280375,but,B,sd,u-20-2
sw3763B-ms98-a-0023,84.280375,84.350375,a,I,sd,u-20-2
sw3763B-ms98-a-0023,84.350375,84.590375,little,I,sd,u-20-2
sw3763B-ms98-a-0023,84.590375,84.780375,bit,I,sd,u-20-2
sw3763B-ms98-a-0023,84.780375,84.950375,from,I,sd,u-20-2
sw3763B-ms98-a-0023,84.950375,85.471500,three,I,sd,u-20-2
sw3763B-ms98-a-0023,85.870375,85.959500,you,I,sd,u-20-2
sw3763B-ms98-a-0023,85.959500,86.100375,know,I,sd,u-20-2
sw3763B-ms98-a-0023,86.100375,86.270375,from,I,sd,u-20-2
sw3763B-ms98-a-0023,86.270375,86.590375,thirty,I,sd,u-20-2
sw3763B-ms98-a-0023,86.590375,86.980375,million,I,sd,u-20-2
sw3763B-ms98-a-0023,86.980375,87.570375,dollars,I,sd,u-20-2
sw3763B-ms98-a-0023,87.570375,87.730375,or,I,sd,u-20-2
sw3763B-ms98-a-0023,87.730375,87.990375,thirty,I,sd,u-20-2
sw3763B-ms98-a-0023,87.990375,88.298500,five,I,sd,u-20-2
sw3763B-ms98-a-0023,88.298500,88.525500,mill[ion]-,O,,
sw3763B-ms98-a-0023,89.727000,89.980375,that's,B,sv,u-20-3
sw3763B-ms98-a-0023,89.980375,90.134375,a,I,sv,u-20-3
sw3763B-ms98-a-0023,90.134375,90.370375,lot,I,sv,u-20-3
sw3763B-ms98-a-0023,90.370375,90.440375,of,I,sv,u-20-3
sw3763B-ms98-a-0023,90.440375,90.970375,money,I,sv,u-20-3
sw3763B-ms98-a-0025,98.733125,99.240000,yeah,B,aa,u-22-1
sw3763B-ms98-a-0025,99.465875,99.654625,they,B,sv,u-22-2
sw3763B-ms98-a-0025,99.654625,99.854625,are,I,sv,u-22-2
sw3763B-ms98-a-0027,102.883750,103.523250,um-hum,B,b,u-24-1
sw3763B-ms98-a-0027,103.903625,104.049375,and,B,sv,u-26-1
sw3763B-ms98-a-0027,104.049375,104.237750,i,I,sv,u-26-1
sw3763B-ms98-a-0027,104.237750,104.485875,really,I,sv,u-26-1
sw3763B-ms98-a-0027,104.485875,104.964875,think,I,sv,u-26-1
sw3763B-ms98-a-0027,104.964875,105.202125,i,I,sv,u-26-1
sw3763B-ms98-a-0027,105.202125,105.435875,really,I,sv,u-26-1
sw3763B-ms98-a-0027,105.435875,105.765875,think,I,sv,u-26-1
sw3763B-ms98-a-0027,105.765875,106.095875,that,I,sv,u-26-1
sw3763B-ms98-a-0027,106.095875,106.345875,uh,I,sv,u-26-1
sw3763B-ms98-a-0027,106.345875,106.545875,that,I,sv,u-26-1
sw3763B-ms98-a-0027,106.545875,106.705875,they,I,sv,u-26-1
sw3763B-ms98-a-0027,106.705875,106.865875,ought,I,sv,u-26-1
sw3763B-ms98-a-0027,106.865875,107.046125,to,I,sv,u-26-1
sw3763B-ms98-a-0028,108.222875,108.392875,i'm,B,sv,u-26-2
sw3763B-ms98-a-0028,108.392875,108.582875,not,I,sv,u-26-2
sw3763B-ms98-a-0028,108.582875,108.762875,real,I,sv,u-26-2
sw3763B-ms98-a-0028,108.762875,108.952875,sure,I,sv,u-26-2
sw3763B-ms98-a-0028,108.952875,109.122875,that,I,sv,u-26-2
sw3763B-ms98-a-0028,109.122875,109.272875,they,I,sv,u-26-2
sw3763B-ms98-a-0028,109.272875,109.571500,should,I,sv,u-26-2
sw3763B-ms98-a-0028,109.936875,110.182875,pay,I,sv,u-26-2
sw3763B-ms98-a-0028,110.182875,110.412875,him,I,sv,u-26-2
sw3763B-ms98-a-0028,110.412875,110.582875,that,I,sv,u-26-2
sw3763B-ms98-a-0028,110.582875,110.802875,much,I,sv,u-26-2
sw3763B-ms98-a-0028,110.802875,111.112875,money,I,sv,u-26-2
sw3763B-ms98-a-0028,111.112875,111.202875,i,B,sv,u-26-3
sw3763B-ms98-a-0028,111.202875,111.452875,think,I,sv,u-26-3
sw3763B-ms98-a-0028,111.452875,111.577625,they,I,sv,u-26-3
sw3763B-ms98-a-0028,111.577625,111.965500,should,I,sv,u-26-3
sw3763B-ms98-a-0028,111.965500,112.413000,uh,I,sv,u-26-3
sw3763B-ms98-a-0029,113.623250,114.025375,uh,I,sv,u-26-3
sw3763B-ms98-a-0029,114.025375,114.233250,pay,I,sv,u-26-3
sw3763B-ms98-a-0029,114.233250,114.363250,him,I,sv,u-26-3
sw3763B-ms98-a-0029,114.363250,114.503250,what,I,sv,u-26-3
sw3763B-ms98-a-0029,114.503250,114.653250,his,I,sv,u-26-3
sw3763B-ms98-a-0029,114.653250,115.233250,salary's,I,sv,u-26-3
sw3763B-ms98-a-0029,115.233250,115.373250,going,I,sv,u-26-3
sw3763B-ms98-a-0029,115.373250,115.493250,to,I,sv,u-26-3
sw3763B-ms98-a-0029,115.493250,116.063250,be,I,sv,u-26-3
sw3763B-ms98-a-0030,117.010250,117.310250,uh,I,sv,u-26-3
sw3763B-ms98-a-0030,117.310250,117.500250,and,I,sv,u-26-3
sw3763B-ms98-a-0030,117.500250,117.620250,let,I,sv,u-26-3
sw3763B-ms98-a-0030,117.620250,117.780250,him,I,sv,u-26-3
sw3763B-ms98-a-0030,117.780250,118.050250,because,B,sd,u-26-4
sw3763B-ms98-a-0030,118.050250,118.230250,he's,I,sd,u-26-4
sw3763B-ms98-a-0030,118.230250,118.420250,got,I,sd,u-26-4
sw3763B-ms98-a-0030,118.420250,118.570250,one,I,sd,u-26-4
sw3763B-ms98-a-0030,118.570250,118.760250,more,I,sd,u-26-4
sw3763B-ms98-a-0030,118.760250,118.940250,year,I,sd,u-26-4
sw3763B-ms98-a-0030,118.940250,119.220250,before,I,sd,u-26-4
sw3763B-ms98-a-0030,119.220250,119.280250,he,I,sd,u-26-4
sw3763B-ms98-a-0030,119.280250,119.650250,turns,I,sd,u-26-4
sw3763B-ms98-a-0030,119.650250,120.200250,into,I,sd,u-26-4
sw3763B-ms98-a-0030,120.200250,120.610250,a,I,sd,u-26-4
sw3763B-ms98-a-0030,120.610250,120.670250,a,I,sd,u-26-4
sw3763B-ms98-a-0030,120.670250,120.980250,free,I,sd,u-26-4
sw3763B-ms98-a-0030,120.980250,121.494500,agent,I,sd,u-26-4
sw3763B-ms98-a-0031,122.499500,122.799500,and,B,qh,u-28-1
sw3763B-ms98-a-0031,122.799500,123.199500,then,I,qh,u-28-1
sw3763B-ms98-a-0031,123.199500,123.686000,uh,I,qh,u-28-1
sw3763B-ms98-a-0031,123.844250,124.049500,who,I,qh,u-28-1
sw3763B-ms98-a-0031,124.049500,124.419500,knows,I,qh,u-28-1
sw3763B-ms98-a-0031,124.419500,124.539500,if,B,sv,u-28-2
sw3763B-ms98-a-0031,124.539500,124.669500,he,I,sv,u-28-2
sw3763B-ms98-a-0031,124.669500,125.349500,produces,I,sv,u-28-2
sw3763B-ms98-a-0031,125.349500,125.719500,next,I,sv,u-28-2
sw3763B-ms98-a-0031,125.719500,126.084250,year,I,sv,u-28-2
sw3763B-ms98-a-0031,126.532500,126.682125,they,I,sv,u-28-2
sw3763B-ms98-a-0031,126.682125,126.939500,may,I,sv,u-28-2
sw3763B-ms98-a-0031,126.939500,127.209500,have,I,sv,u-28-2
sw3763B-ms98-a-0031,127.209500,127.429500,to,I,sv,u-28-2
