sw3773B-ms98-a-0003,3.708625,4.168625,homes,B,b^m,u-2-1
sw3773B-ms98-a-0003,4.168625,4.408625,yes,B,ny,u-2-2
sw3773B-ms98-a-0003,4.408625,4.620000,sir,I,ny,u-2-2
sw3773B-ms98-a-0003,4.823375,5.118000,um-hum,B,%,u-2-3
sw3773B-ms98-a-0004,6.494375,6.662625,what,B,qy,u-2-4
sw3773B-ms98-a-0004,6.662625,6.732625,are,I,qy,u-2-4
sw3773B-ms98-a-0004,6.732625,6.912625,are,I,qy,u-2-4
sw3773B-ms98-a-0004,6.912625,7.112625,you,I,qy,u-2-4
sw3773B-ms98-a-0004,7.112625,7.492625,settled,I,qy,u-2-4
sw3773B-ms98-a-0004,7.492625,7.587250,in,I,qy,u-2-4
sw3773B-ms98-a-0004,7.587250,7.771375,a,I,qy,u-2-4
sw3773B-ms98-a-0004,8.181875,8.612625,place,I,qy,u-2-4
sw3773B-ms98-a-0006,20.800500,21.169000,right,B,b,u-4-1
sw3773B-ms98-a-0006,21.645625,22.070500,um-hum,B,b,u-6-1
sw3773B-ms98-a-0008,30.533625,30.987250,okay,B,bk,u-8-1
sw3773B-ms98-a-0009,32.230500,32.387500,well,B,sd,u-10-1
sw3773B-ms98-a-0009,32.387500,32.757500,we,I,sd,u-10-1
sw3773B-ms98-a-0009,32.757500,33.017500,uh,I,sd,u-10-1
sw3773B-ms98-a-0009,33.017500,33.427500,left,I,sd,u-10-1
sw3773B-ms98-a-0009,33.427500,33.807500,here,I,sd,u-10-1
sw3773B-ms98-a-0009,33.807500,34.197500,in,I,sd,u-10-1
sw3773B-ms98-a-0009,34.197500,35.051625,seventy,I,sd,u-10-1
sw3773B-ms98-a-0009,35.734125,36.348250,six,I,sd,u-10-1
sw3773B-ms98-a-0009,36.762625,36.897500,uh,B,sd,u-10-2
sw3773B-ms98-a-0009,36.897500,37.017500,we,I,sd,u-10-2
sw3773B-ms98-a-0009,37.017500,37.137500,were,I,sd,u-10-2
sw3773B-ms98-a-0009,37.137500,37.317500,here,I,sd,u-10-2
sw3773B-ms98-a-0009,37.317500,37.447500,for,I,sd,u-10-2
sw3773B-ms98-a-0009,37.447500,37.487500,a,I,sd,u-10-2
sw3773B-ms98-a-0009,37.487500,37.647500,few,I,sd,u-10-2
sw3773B-ms98-a-0009,37.647500,37.837500,years,I,sd,u-10-2
sw3773B-ms98-a-0009,37.837500,37.947500,then,B,sd,u-10-3
sw3773B-ms98-a-0009,37.947500,38.197500,we,I,sd,u-10-3
sw3773B-ms98-a-0009,38.197500,38.386625,uh,I,sd,u-10-3
sw3773B-ms98-a-0009,38.503375,38.727500,have,I,sd,u-10-3
sw3773B-ms98-a-0009,38.727500,38.967500,come,I,sd,u-10-3
sw3773B-ms98-a-0009,38.967500,39.187500,back,I,sd,u-10-3
sw3773B-ms98-a-0009,39.187500,39.437500,just,I,sd,u-10-3
sw3773B-ms98-a-0009,39.437500,39.647500,this,I,sd,u-10-3
sw3773B-ms98-a-0009,39.647500,39.953375,summer,I,sd,u-10-3
sw3773B-ms98-a-0009,40.435500,40.567500,right,B,sd,u-10-4
sw3773B-ms98-a-0009,40.567500,40.707500,now,I,sd,u-10-4
sw3773B-ms98-a-0009,40.707500,40.877500,we're,I,sd,u-10-4
sw3773B-ms98-a-0009,40.877500,41.187500,looking,I,sd,u-10-4
sw3773B-ms98-a-0009,41.187500,41.452500,for,I,sd,u-10-4
sw3773B-ms98-a-0009,41.607750,42.054250,housing,I,sd,u-10-4
sw3773B-ms98-a-0010,42.674250,42.884250,uh,I,sd,u-10-4
sw3773B-ms98-a-0010,42.884250,43.234250,somewhere,I,sd,u-10-4
sw3773B-ms98-a-0010,43.234250,43.424250,down,I,sd,u-10-4
sw3773B-ms98-a-0010,43.424250,43.494250,in,I,sd,u-10-4
sw3773B-ms98-a-0010,43.494250,43.574250,the,I,sd,u-10-4
sw3773B-ms98-a-0010,43.574250,44.364250,Duncanville,I,sd,u-10-4
