sw3776B-ms98-a-0003,4.475625,4.715250,oh,B,bh,u-2-1
sw3776B-ms98-a-0003,4.715250,5.136500,really,B,+,u-4-1
sw3776B-ms98-a-0003,5.392625,5.661500,i,B,sd,u-6-1
sw3776B-ms98-a-0003,5.808375,6.112375,i've,I,sd,u-6-1
sw3776B-ms98-a-0003,6.112375,6.355750,spent,I,sd,u-6-1
sw3776B-ms98-a-0003,6.355750,6.545750,three,I,sd,u-6-1
sw3776B-ms98-a-0003,6.545750,6.874750,years,I,sd,u-6-1
sw3776B-ms98-a-0003,7.044250,7.185750,um,O,,
sw3776B-ms98-a-0003,7.185750,7.525750,teaching,B,sd,u-6-2
sw3776B-ms98-a-0003,7.525750,7.645750,in,I,sd,u-6-2
sw3776B-ms98-a-0003,7.645750,7.955750,public,I,sd,u-6-2
sw3776B-ms98-a-0003,7.955750,8.295750,schools,I,sd,u-6-2
sw3776B-ms98-a-0003,8.295750,8.415750,and,I,sd,u-6-2
sw3776B-ms98-a-0003,8.415750,8.905750,elementary,I,sd,u-6-2
sw3776B-ms98-a-0003,8.905750,9.345750,school,I,sd,u-6-2
sw3776B-ms98-a-0004,10.436625,10.836625,uh-huh,B,ny,u-8-1
sw3776B-ms98-a-0005,12.090250,12.170250,i,B,sd,u-10-1
sw3776B-ms98-a-0005,12.170250,12.460250,taught,I,sd,u-10-1
sw3776B-ms98-a-0005,12.460250,12.560250,in,I,sd,u-10-1
sw3776B-ms98-a-0005,12.560250,13.098250,Utah,I,sd,u-10-1
sw3776B-ms98-a-0005,13.502250,13.893750,and,B,qy,u-10-2
sw3776B-ms98-a-0005,13.893750,14.047375,uh,I,qy,u-10-2
sw3776B-ms98-a-0006,14.968500,15.144375,did,B,+,u-12-1
sw3776B-ms98-a-0006,15.144375,15.234375,you,I,+,u-12-1
sw3776B-ms98-a-0006,15.234375,15.454375,teach,B,+,u-14-1
sw3776B-ms98-a-0006,15.454375,15.544375,in,I,+,u-14-1
sw3776B-ms98-a-0006,15.544375,16.064375,California,I,+,u-14-1
sw3776B-ms98-a-0007,16.813625,17.194500,uh-huh,B,b,u-16-1
sw3776B-ms98-a-0008,18.509125,18.739125,you,B,sv,u-18-1
sw3776B-ms98-a-0008,18.739125,18.969125,sound,I,sv,u-18-1
sw3776B-ms98-a-0008,18.969125,19.179125,pretty,I,sv,u-18-1
sw3776B-ms98-a-0008,19.179125,19.489125,young,I,sv,u-18-1
sw3776B-ms98-a-0008,19.489125,19.579125,for,I,sv,u-18-1
sw3776B-ms98-a-0008,19.579125,19.609125,a,I,sv,u-18-1
sw3776B-ms98-a-0008,19.609125,20.189125,university,I,sv,u-18-1
sw3776B-ms98-a-0008,20.189125,20.829125,professor,I,sv,u-18-1
sw3776B-ms98-a-0008,20.829125,21.279125,[laughter],O,,
sw3776B-ms98-a-0010,34.986125,35.346125,uh-huh,B,b,u-20-1
sw3776B-ms98-a-0012,51.804500,52.116625,um-hum,B,b,u-22-1
sw3776B-ms98-a-0014,54.828500,54.958500,well,B,ad,u-24-1
sw3776B-ms98-a-0014,54.958500,55.068500,you,I,ad,u-24-1
sw3776B-ms98-a-0014,55.068500,55.279250,can,I,ad,u-24-1
sw3776B-ms98-a-0014,55.501250,55.628500,you,I,ad,u-24-1
sw3776B-ms98-a-0014,55.628500,55.748500,can,I,ad,u-24-1
