sw3908A-ms98-a-0001,0.250000,0.610000,Allen,B,o,u-1-1
sw3908A-ms98-a-0002,1.356250,1.951750,uh,B,sd^t,u-1-2
sw3908A-ms98-a-0002,2.788375,2.926500,the,I,sd^t,u-1-2
sw3908A-ms98-a-0002,2.926500,3.436500,question,I,sd^t,u-1-2
sw3908A-ms98-a-0002,3.436500,3.546500,is,I,sd^t,u-1-2
sw3908A-ms98-a-0002,3.546500,4.026500,concerning,I,sd^t,u-1-2
sw3908A-ms98-a-0002,4.026500,4.186500,the,I,sd^t,u-1-2
sw3908A-ms98-a-0002,4.186500,4.676500,changes,I,sd^t,u-1-2
sw3908A-ms98-a-0002,4.676500,4.776500,in,I,sd^t,u-1-2
sw3908A-ms98-a-0002,4.776500,4.866500,the,I,sd^t,u-1-2
sw3908A-ms98-a-0002,4.866500,5.246500,roles,I,sd^t,u-1-2
sw3908A-ms98-a-0002,5.246500,5.326500,of,I,sd^t,u-1-2
sw3908A-ms98-a-0002,5.326500,5.826500,American,I,sd^t,u-1-2
sw3908A-ms98-a-0002,5.826500,6.126500,women,I,sd^t,u-1-2
sw3908A-ms98-a-0002,6.796500,6.896500,in,I,sd^t,u-1-2
sw3908A-ms98-a-0002,6.896500,6.966500,the,I,sd^t,u-1-2
sw3908A-ms98-a-0002,6.966500,7.506500,past,I,sd^t,u-1-2
sw3908A-ms98-a-0002,7.506500,7.846500,several,I,sd^t,u-1-2
sw3908A-ms98-a-0002,7.846500,8.566500,generations,I,sd^t,u-1-2
sw3908A-ms98-a-0002,8.566500,8.736500,and,I,sd^t,u-1-2
sw3908A-ms98-a-0002,8.736500,8.796500,you,I,sd^t,u-1-2
sw3908A-ms98-a-0002,8.796500,8.926500,know,I,sd^t,u-1-2
sw3908A-ms98-a-0002,8.926500,9.016500,the,I,sd^t,u-1-2
sw3908A-ms98-a-0002,9.016500,9.176500,in,I,sd^t,u-1-2
sw3908A-ms98-a-0002,9.176500,9.296500,their,I,sd^t,u-1-2
sw3908A-ms98-a-0002,9.296500,9.419625,in,I,sd^t,u-1-2
sw3908A-ms98-a-0002,9.419625,9.616500,the,I,sd^t,u-1-2
sw3908A-ms98-a-0002,9.616500,10.016500,society,I,sd^t,u-1-2
sw3908A-ms98-a-0002,10.016500,10.126500,we,I,sd^t,u-1-2
sw3908A-ms98-a-0002,10.126500,10.288875,live,I,sd^t,u-1-2
sw3908A-ms98-a-0002,10.288875,10.496000,in,I,sd^t,u-1-2
sw3908A-ms98-a-0002,11.035625,11.201375,what,B,qw,u-1-3
sw3908A-ms98-a-0002,11.201375,11.266500,do,I,qw,u-1-3
sw3908A-ms98-a-0002,11.266500,11.366500,you,I,qw,u-1-3
sw3908A-ms98-a-0002,11.366500,11.646500,think,I,qw,u-1-3
sw3908A-ms98-a-0002,11.646500,11.796500,has,I,qw,u-1-3
sw3908A-ms98-a-0002,11.796500,12.216500,occurred,I,qw,u-1-3
sw3908A-ms98-a-0002,12.216500,12.516500,there,I,qw,u-1-3
sw3908A-ms98-a-0004,25.279375,25.775500,um-hum,B,b,u-3-1
sw3908A-ms98-a-0004,26.854500,27.181000,but,B,qh,u-3-2
sw3908A-ms98-a-0004,27.181000,27.261000,uh,I,qh,u-3-2
sw3908A-ms98-a-0004,27.261000,27.591000,are,I,qh,u-3-2
sw3908A-ms98-a-0004,27.591000,27.811000,are,I,qh,u-3-2
sw3908A-ms98-a-0004,27.811000,28.181000,they,I,qh,u-3-2
sw3908A-ms98-a-0004,28.711000,29.021000,being,I,qh,u-3-2
sw3908A-ms98-a-0004,29.021000,29.381000,given,I,qh,u-3-2
sw3908A-ms98-a-0004,29.381000,29.514250,the,I,qh,u-3-2
sw3908A-ms98-a-0004,29.514250,30.088125,full,I,qh,u-3-2
sw3908A-ms98-a-0004,30.365000,30.726500,uh,I,qh,u-3-2
sw3908A-ms98-a-0004,30.726500,31.091000,honor,I,qh,u-3-2
sw3908A-ms98-a-0004,31.091000,31.371000,for,I,qh,u-3-2
sw3908A-ms98-a-0004,31.371000,31.686250,the,I,qh,u-3-2
sw3908A-ms98-a-0004,31.983750,32.221000,work,I,qh,u-3-2
sw3908A-ms98-a-0004,32.221000,32.351000,they're,I,qh,u-3-2
sw3908A-ms98-a-0004,32.351000,32.831000,doing,I,qh,u-3-2
sw3908A-ms98-a-0004,32.831000,33.241000,and,I,qh,u-3-2
sw3908A-ms98-a-0004,33.241000,33.391000,for,I,qh,u-3-2
sw3908A-ms98-a-0004,33.391000,33.717000,the,I,qh,u-3-2
sw3908A-ms98-a-0004,34.289500,34.982250,um,I,qh,u-3-2
sw3908A-ms98-a-0005,36.115000,36.226125,oh,I,qh,u-3-2
sw3908A-ms98-a-0005,36.226125,36.338625,my,I,qh,u-3-2
sw3908A-ms98-a-0005,36.428625,36.688625,gosh,I,qh,u-3-2
sw3908A-ms98-a-0005,36.688625,36.908625,can't,I,qh,u-3-2
sw3908A-ms98-a-0005,36.908625,37.068625,think,I,qh,u-3-2
sw3908A-ms98-a-0005,37.068625,37.128625,of,I,qh,u-3-2
sw3908A-ms98-a-0005,37.128625,37.188625,the,I,qh,u-3-2
sw3908A-ms98-a-0005,37.188625,37.598625,word,I,qh,u-3-2
sw3908A-ms98-a-0005,37.598625,37.788625,but,I,qh,u-3-2
sw3908A-ms98-a-0005,37.788625,37.918625,for,I,qh,u-3-2
sw3908A-ms98-a-0005,37.918625,38.179625,the,I,qh,u-3-2
sw3908A-ms98-a-0005,38.631625,38.898625,what,I,qh,u-3-2
sw3908A-ms98-a-0005,38.898625,39.008625,they,I,qh,u-3-2
sw3908A-ms98-a-0005,39.008625,39.198625,have,I,qh,u-3-2
sw3908A-ms98-a-0005,39.198625,39.288625,to,I,qh,u-3-2
sw3908A-ms98-a-0005,39.288625,39.868625,accept,I,qh,u-3-2
sw3908A-ms98-a-0005,39.868625,39.958625,well,I,qh,u-3-2
sw3908A-ms98-a-0005,39.958625,40.368625,that's,I,qh,u-3-2
sw3908A-ms98-a-0005,40.518625,40.678625,that,I,qh,u-3-2
sw3908A-ms98-a-0005,40.678625,41.034625,they're,I,qh,u-3-2
sw3908A-ms98-a-0005,41.516750,42.098625,responsible,I,qh,u-3-2
