sw3911A-ms98-a-0002,0.981250,1.551250,um,B,%,u-1-1
sw3911A-ms98-a-0004,3.510250,3.770250,i,B,na,u-3-1
sw3911A-ms98-a-0004,3.770250,3.963875,have,I,na,u-3-1
sw3911A-ms98-a-0004,3.963875,4.155750,a,I,na,u-3-1
sw3911A-ms98-a-0004,4.155750,4.340250,an,I,na,u-3-1
sw3911A-ms98-a-0004,4.340250,4.670250,older,I,na,u-3-1
sw3911A-ms98-a-0004,4.670250,5.020250,son,I,na,u-3-1
sw3911A-ms98-a-0004,5.020250,5.220250,yeah,B,ny,u-3-2
sw3911A-ms98-a-0004,5.220250,5.330250,he,B,sd^e,u-3-3
sw3911A-ms98-a-0004,5.330250,5.580250,doesn't,I,sd^e,u-3-3
sw3911A-ms98-a-0004,5.580250,5.750250,have,I,sd^e,u-3-3
sw3911A-ms98-a-0004,5.750250,5.900250,any,I,sd^e,u-3-3
sw3911A-ms98-a-0004,5.900250,6.330250,children,I,sd^e,u-3-3
sw3911A-ms98-a-0004,6.330250,6.590250,yet,I,sd^e,u-3-3
sw3911A-ms98-a-0004,6.590250,6.900250,though,I,sd^e,u-3-3
sw3911A-ms98-a-0005,7.712250,8.162250,uh,B,sd,u-5-1
sw3911A-ms98-a-0005,8.162250,8.332250,he's,I,sd,u-5-1
sw3911A-ms98-a-0005,8.332250,8.652250,thirty,I,sd,u-5-1
sw3911A-ms98-a-0005,8.652250,9.042250,seven,I,sd,u-5-1
sw3911A-ms98-a-0005,9.042250,9.172250,and,B,sd,u-5-2
sw3911A-ms98-a-0005,9.172250,9.312250,i,I,sd,u-5-2
sw3911A-ms98-a-0005,9.312250,9.492250,don't,I,sd,u-5-2
sw3911A-ms98-a-0005,9.492250,9.612250,know,I,sd,u-5-2
sw3911A-ms98-a-0005,9.612250,9.712250,if,I,sd,u-5-2
sw3911A-ms98-a-0005,9.712250,9.872250,he's,I,sd,u-5-2
sw3911A-ms98-a-0005,9.872250,10.172250,ever,I,sd,u-5-2
sw3911A-ms98-a-0005,10.172250,10.332250,going,I,sd,u-5-2
sw3911A-ms98-a-0005,10.332250,10.422250,to,I,sd,u-5-2
sw3911A-ms98-a-0005,10.422250,10.672250,have,I,sd,u-5-2
sw3911A-ms98-a-0005,10.672250,10.902250,any,I,sd,u-5-2
sw3911A-ms98-a-0005,10.902250,10.992250,or,I,sd,u-5-2
sw3911A-ms98-a-0005,10.992250,11.339250,not,I,sd,u-5-2
sw3911A-ms98-a-0005,11.844000,11.982250,but,B,sd,u-5-3
sw3911A-ms98-a-0005,11.982250,12.112250,i,I,sd,u-5-3
sw3911A-ms98-a-0005,12.112250,12.372250,do,I,sd,u-5-3
sw3911A-ms98-a-0005,12.372250,12.622250,have,I,sd,u-5-3
