sw4002A-ms98-a-0002,0.890000,1.269625,[laughter-okay],O,,
sw4002A-ms98-a-0005,4.457875,4.957500,uh,B,ny,u-4-1
sw4002A-ms98-a-0005,5.265625,5.640875,well,I,ny,u-4-1
sw4002A-ms98-a-0005,5.640875,6.010875,yeah,I,ny,u-4-1
sw4002A-ms98-a-0005,6.010875,6.220875,for,B,sd^e,u-4-2
sw4002A-ms98-a-0005,6.220875,6.320875,the,I,sd^e,u-4-2
sw4002A-ms98-a-0005,6.320875,6.720875,last,I,sd^e,u-4-2
sw4002A-ms98-a-0005,6.720875,6.970875,uh,I,sd^e,u-4-2
sw4002A-ms98-a-0005,6.970875,7.290875,couple,I,sd^e,u-4-2
sw4002A-ms98-a-0005,7.290875,7.370875,of,I,sd^e,u-4-2
sw4002A-ms98-a-0005,7.370875,7.851000,months,I,sd^e,u-4-2
sw4002A-ms98-a-0007,9.514125,9.856875,yeah,B,b,u-6-1
sw4002A-ms98-a-0009,13.797375,14.242625,well,B,^h,u-8-1
sw4002A-ms98-a-0009,14.607250,14.736375,it's,I,^h,u-8-1
sw4002A-ms98-a-0009,14.736375,15.036375,kind,I,^h,u-8-1
sw4002A-ms98-a-0009,15.036375,15.096375,of,I,^h,u-8-1
sw4002A-ms98-a-0009,15.096375,15.316375,hard,I,^h,u-8-1
sw4002A-ms98-a-0009,15.316375,15.406375,to,I,^h,u-8-1
sw4002A-ms98-a-0009,15.406375,15.883000,say,I,^h,u-8-1
sw4002A-ms98-a-0009,15.992250,16.399125,uh,B,sd,u-8-2
sw4002A-ms98-a-0009,16.628875,16.895375,because_1,I,sd,u-8-2
sw4002A-ms98-a-0009,17.155250,17.286375,i,I,sd,u-8-2
sw4002A-ms98-a-0009,17.286375,17.536375,don't,I,sd,u-8-2
sw4002A-ms98-a-0009,17.536375,17.746375,think,I,sd,u-8-2
sw4002A-ms98-a-0009,17.746375,17.846375,we're,I,sd,u-8-2
sw4002A-ms98-a-0009,17.846375,18.016375,going,I,sd,u-8-2
sw4002A-ms98-a-0009,18.016375,18.076375,to,I,sd,u-8-2
sw4002A-ms98-a-0009,18.076375,18.286375,buy,I,sd,u-8-2
sw4002A-ms98-a-0009,18.286375,18.526375,another,I,sd,u-8-2
sw4002A-ms98-a-0009,18.526375,18.856375,car,I,sd,u-8-2
sw4002A-ms98-a-0009,18.856375,19.016375,for,I,sd,u-8-2
sw4002A-ms98-a-0009,19.016375,19.343125,about,I,sd,u-8-2
sw4002A-ms98-a-0009,19.727375,19.936375,three,I,sd,u-8-2
sw4002A-ms98-a-0009,19.936375,20.412250,years,I,sd,u-8-2
sw4002A-ms98-a-0010,21.232500,21.382000,we,B,sd,u-8-3
sw4002A-ms98-a-0010,21.382000,21.574000,just,I,sd,u-8-3
sw4002A-ms98-a-0011,22.374125,22.702250,bought,B,+,u-10-1
sw4002A-ms98-a-0011,23.016750,23.315250,uh,I,+,u-10-1
sw4002A-ms98-a-0011,23.703250,23.831875,a,I,+,u-10-1
sw4002A-ms98-a-0011,23.831875,24.373000,car,I,+,u-10-1
sw4002A-ms98-a-0011,24.719500,25.081875,uh,I,+,u-10-1
sw4002A-ms98-a-0011,25.081875,25.481875,last,I,+,u-10-1
sw4002A-ms98-a-0011,25.481875,25.813500,year,I,+,u-10-1
sw4002A-ms98-a-0011,25.964125,26.171875,and,I,+,u-10-1
