sw4036B-ms98-a-0003,11.309000,11.905750,definitely,B,aa,u-2-1
sw4036B-ms98-a-0005,33.160000,33.740750,um-hum,B,b,u-4-1
sw4036B-ms98-a-0007,36.112625,36.578250,uh,B,na,u-6-1
sw4036B-ms98-a-0007,36.578250,36.648250,i,I,na,u-6-1
sw4036B-ms98-a-0007,36.648250,36.985125,have,I,na,u-6-1
sw4036B-ms98-a-0007,37.115375,37.754375,twice,I,na,u-6-1
sw4036B-ms98-a-0008,38.418375,38.530000,it,B,sv,u-8-1
sw4036B-ms98-a-0008,38.530000,38.883375,was,I,sv,u-8-1
sw4036B-ms98-a-0008,39.273375,39.420000,pretty,I,sv,u-8-1
sw4036B-ms98-a-0008,39.420000,39.680000,wild,I,sv,u-8-1
sw4036B-ms98-a-0008,39.680000,40.425750,experience,I,sv,u-8-1
sw4036B-ms98-a-0010,42.645500,42.913250,they,B,sd,u-10-1
sw4036B-ms98-a-0010,42.913250,43.250875,were,I,sd,u-10-1
sw4036B-ms98-a-0010,43.985375,44.308000,just,I,sd,u-10-1
sw4036B-ms98-a-0010,44.439750,44.595500,you,I,sd,u-10-1
sw4036B-ms98-a-0010,44.595500,44.912125,know,I,sd,u-10-1
sw4036B-ms98-a-0010,45.111750,45.465500,small,I,sd,u-10-1
sw4036B-ms98-a-0010,45.465500,45.695500,town,I,sd,u-10-1
sw4036B-ms98-a-0010,45.695500,46.085500,cases,I,sd,u-10-1
sw4036B-ms98-a-0010,46.085500,46.408500,where,I,sd,u-10-1
sw4036B-ms98-a-0010,47.052500,47.305500,uh,I,sd,u-10-1
sw4036B-ms98-a-0010,47.305500,47.985500,trailers,I,sd,u-10-1
sw4036B-ms98-a-0010,47.985500,48.271125,and,I,sd,u-10-1
sw4036B-ms98-a-0010,48.847375,49.305500,banks,I,sd,u-10-1
sw4036B-ms98-a-0010,49.305500,49.435500,were,I,sd,u-10-1
sw4036B-ms98-a-0010,49.435500,50.076250,involved,I,sd,u-10-1
sw4036B-ms98-a-0010,50.399625,50.445500,you,I,sd,u-10-1
sw4036B-ms98-a-0010,50.445500,50.674250,know,I,sd,u-10-1
sw4036B-ms98-a-0012,54.447000,54.607625,they,B,sd,u-12-1
sw4036B-ms98-a-0012,54.607625,54.757625,were,I,sd,u-12-1
sw4036B-ms98-a-0012,54.757625,55.172500,civil,I,sd,u-12-1
sw4036B-ms98-a-0012,55.620750,55.769750,they,B,sd,u-12-2
sw4036B-ms98-a-0012,55.769750,56.169000,weren't,I,sd,u-12-2
sw4036B-ms98-a-0012,56.365375,56.437625,they,B,+,u-14-1
sw4036B-ms98-a-0012,56.437625,56.637625,weren't,I,+,u-14-1
sw4036B-ms98-a-0012,56.637625,56.747625,any,I,+,u-14-1
sw4036B-ms98-a-0012,56.747625,57.134875,criminal,I,+,u-14-1
sw4036B-ms98-a-0014,62.976750,63.166750,uh,B,sd,u-16-1
sw4036B-ms98-a-0014,63.166750,63.316750,the,I,sd,u-16-1
sw4036B-ms98-a-0014,63.316750,63.676750,jury,I,sd,u-16-1
sw4036B-ms98-a-0014,63.676750,63.806750,it,I,sd,u-16-1
sw4036B-ms98-a-0014,63.806750,64.016750,was,I,sd,u-16-1
sw4036B-ms98-a-0014,64.016750,64.216750,uh,I,sd,u-16-1
sw4036B-ms98-a-0014,64.216750,64.316750,let,I,sd,u-16-1
sw4036B-ms98-a-0014,65.096750,65.206750,me,I,sd,u-16-1
sw4036B-ms98-a-0014,65.206750,65.346750,see,I,sd,u-16-1
sw4036B-ms98-a-0014,65.346750,65.396750,i,I,sd,u-16-1
sw4036B-ms98-a-0014,65.396750,65.616750,think,I,sd,u-16-1
sw4036B-ms98-a-0014,65.616750,65.716750,it,I,sd,u-16-1
sw4036B-ms98-a-0014,65.716750,65.876750,was,I,sd,u-16-1
sw4036B-ms98-a-0014,65.956750,66.246750,ten,I,sd,u-16-1
sw4036B-ms98-a-0014,66.246750,66.366750,to,I,sd,u-16-1
sw4036B-ms98-a-0014,66.366750,66.786750,one,I,sd,u-16-1
sw4036B-ms98-a-0014,67.526750,67.676750,on,I,sd,u-16-1
sw4036B-ms98-a-0014,67.676750,67.736750,the,I,sd,u-16-1
sw4036B-ms98-a-0014,67.736750,68.106750,jury,I,sd,u-16-1
sw4036B-ms98-a-0014,68.456750,68.626750,because_1,I,sd,u-16-1
sw4036B-ms98-a-0014,68.626750,68.716750,they,I,sd,u-16-1
sw4036B-ms98-a-0014,68.716750,68.876750,only,I,sd,u-16-1
sw4036B-ms98-a-0014,68.876750,68.996750,had,I,sd,u-16-1
sw4036B-ms98-a-0014,68.996750,69.056750,to,I,sd,u-16-1
sw4036B-ms98-a-0014,69.056750,69.236750,have,I,sd,u-16-1
sw4036B-ms98-a-0014,69.236750,69.496750,eleven,I,sd,u-16-1
sw4036B-ms98-a-0014,69.496750,69.836750,people,I,sd,u-16-1
sw4036B-ms98-a-0015,70.944250,71.205000,so,B,%,u-18-1
sw4036B-ms98-a-0015,71.205000,71.289875,it,I,%,u-18-1
sw4036B-ms98-a-0015,71.289875,71.477250,was,I,%,u-18-1
sw4036B-ms98-a-0015,71.477250,71.827625,they,B,%,u-18-2
sw4036B-ms98-a-0015,71.827625,72.206625,and,B,sd,u-18-3
sw4036B-ms98-a-0015,72.568250,72.999375,uh,I,sd,u-18-3
sw4036B-ms98-a-0015,72.999375,73.129375,the,I,sd,u-18-3
sw4036B-ms98-a-0015,73.129375,73.499375,one,I,sd,u-18-3
sw4036B-ms98-a-0015,73.499375,73.859375,changed,I,sd,u-18-3
sw4036B-ms98-a-0015,73.859375,74.089375,his,I,sd,u-18-3
sw4036B-ms98-a-0015,74.089375,74.537125,vote,I,sd,u-18-3
sw4036B-ms98-a-0016,75.621000,75.781000,at,I,sd,u-18-3
sw4036B-ms98-a-0016,75.781000,75.861000,the,I,sd,u-18-3
