sw4074A-ms98-a-0002,0.078125,0.657250,Dave,B,o,u-1-1
sw4074A-ms98-a-0002,0.657250,0.778875,what,B,qw,u-1-2
sw4074A-ms98-a-0002,0.778875,0.958125,kind,I,qw,u-1-2
sw4074A-ms98-a-0002,0.958125,1.145750,of,I,qw,u-1-2
sw4074A-ms98-a-0002,1.145750,1.488500,pets,I,qw,u-1-2
sw4074A-ms98-a-0002,1.488500,1.568125,do,I,qw,u-1-2
sw4074A-ms98-a-0002,1.568125,1.678125,you,I,qw,u-1-2
sw4074A-ms98-a-0002,1.678125,2.085875,have,I,qw,u-1-2
sw4074A-ms98-a-0004,5.230000,5.540000,one,B,b^m,u-3-1
sw4074A-ms98-a-0004,5.540000,6.000000,rotten,I,b^m,u-3-1
sw4074A-ms98-a-0004,6.000000,6.621500,cat,I,b^m,u-3-1
sw4074A-ms98-a-0006,9.785625,9.925750,i,B,sd,u-5-1
sw4074A-ms98-a-0006,9.925750,10.131000,heard,I,sd,u-5-1
sw4074A-ms98-a-0006,10.131000,10.239875,a,I,sd,u-5-1
sw4074A-ms98-a-0006,10.239875,10.625625,laugh,I,sd,u-5-1
sw4074A-ms98-a-0006,10.625625,10.705625,in,I,sd,u-5-1
sw4074A-ms98-a-0006,10.705625,10.785625,the,I,sd,u-5-1
sw4074A-ms98-a-0006,10.785625,11.647000,background,I,sd,u-5-1
sw4074A-ms98-a-0008,13.646500,14.496750,[laughter],O,,
sw4074A-ms98-a-0010,15.972875,16.052875,oh,O,,
sw4074A-ms98-a-0010,16.052875,16.112875,you,B,qy,u-7-1
sw4074A-ms98-a-0010,16.112875,16.232875,don't,I,qy,u-7-1
sw4074A-ms98-a-0010,16.232875,16.382875,like,I,qy,u-7-1
sw4074A-ms98-a-0010,16.382875,17.004750,cats,I,qy,u-7-1
sw4074A-ms98-a-0012,21.105750,21.286375,oh,B,b,u-9-1
sw4074A-ms98-a-0012,21.286375,21.782250,yeah,I,b,u-9-1
sw4074A-ms98-a-0014,27.353625,27.748875,that,O,,
sw4074A-ms98-a-0014,27.748875,28.049500,said,O,,
sw4074A-ms98-a-0014,28.049500,28.169500,what,O,,
sw4074A-ms98-a-0014,28.169500,28.369500,does,O,,
sw4074A-ms98-a-0014,28.369500,28.489500,how,B,qw,u-11-2
sw4074A-ms98-a-0014,28.489500,28.599500,does,I,qw,u-11-2
sw4074A-ms98-a-0014,28.599500,28.729500,he,I,qw,u-11-2
sw4074A-ms98-a-0014,28.729500,29.019500,treat,I,qw,u-11-2
sw4074A-ms98-a-0014,29.019500,29.129500,the,I,qw,u-11-2
sw4074A-ms98-a-0014,29.129500,29.269500,other,I,qw,u-11-2
sw4074A-ms98-a-0014,29.269500,29.699500,people,I,qw,u-11-2
sw4074A-ms98-a-0016,32.908375,33.458375,wow,B,ba,u-13-1
sw4074A-ms98-a-0018,48.462375,49.593625,[laughter],O,,
sw4074A-ms98-a-0018,49.593625,49.693625,did,B,qy,u-15-1
sw4074A-ms98-a-0018,49.693625,49.843625,he,I,qy,u-15-1
sw4074A-ms98-a-0018,49.843625,50.153625,raise,I,qy,u-15-1
sw4074A-ms98-a-0018,50.153625,50.323625,him,I,qy,u-15-1
sw4074A-ms98-a-0018,50.323625,50.433625,or,I,qy,u-15-1
sw4074A-ms98-a-0018,50.433625,50.843625,something,I,qy,u-15-1
sw4074A-ms98-a-0020,59.596000,60.529125,[laughter],O,,
sw4074A-ms98-a-0022,64.103625,64.678625,uh-huh,B,b,u-19-1
sw4074A-ms98-a-0024,68.969125,69.229125,huh,B,ba,u-21-1
sw4074A-ms98-a-0024,69.229125,69.439125,that's,I,ba,u-21-1
sw4074A-ms98-a-0024,69.439125,70.015625,interesting,I,ba,u-21-1
sw4074A-ms98-a-0026,71.721375,72.125875,huh,B,sd,u-23-1
sw4074A-ms98-a-0026,72.125875,72.265875,we,I,sd,u-23-1
sw4074A-ms98-a-0026,72.265875,72.415875,have,I,sd,u-23-1
sw4074A-ms98-a-0026,72.415875,72.834250,a,I,sd,u-23-1
sw4074A-ms98-a-0026,73.192125,73.370000,a,I,sd,u-23-1
sw4074A-ms98-a-0026,73.370000,74.208625,mutt,I,sd,u-23-1
sw4074A-ms98-a-0026,74.540125,74.724125,well,B,sd,u-25-1
sw4074A-ms98-a-0026,74.724125,74.936000,we,I,sd,u-25-1
sw4074A-ms98-a-0026,75.233500,75.415875,we,I,sd,u-25-1
sw4074A-ms98-a-0026,75.415875,75.685875,named,I,sd,u-25-1
sw4074A-ms98-a-0026,75.685875,75.815875,it,I,sd,u-25-1
sw4074A-ms98-a-0026,75.815875,76.145875,Hooper,I,sd,u-25-1
sw4074A-ms98-a-0026,76.145875,76.425875,because,I,sd,u-25-1
sw4074A-ms98-a-0026,76.425875,76.635875,that's,I,sd,u-25-1
sw4074A-ms98-a-0026,76.635875,76.765875,where,I,sd,u-25-1
sw4074A-ms98-a-0026,76.765875,76.885875,we,I,sd,u-25-1
sw4074A-ms98-a-0026,76.885875,77.075875,got,I,sd,u-25-1
sw4074A-ms98-a-0026,77.075875,77.155875,it,I,sd,u-25-1
sw4074A-ms98-a-0026,77.155875,77.600875,from,I,sd,u-25-1
sw4074A-ms98-a-0026,78.094500,79.115875,[laughter],O,,
sw4074A-ms98-a-0026,79.115875,79.545875,uh,B,sd,u-27-1
sw4074A-ms98-a-0026,79.545875,79.755875,some,I,sd,u-27-1
sw4074A-ms98-a-0026,79.755875,80.156500,lady,I,sd,u-27-1
sw4074A-ms98-a-0027,80.886375,81.276375,she,I,sd,u-27-1
sw4074A-ms98-a-0027,81.276375,81.589375,uh,I,sd,u-27-1
sw4074A-ms98-a-0027,81.751375,81.796375,a,B,sd,u-27-2
sw4074A-ms98-a-0027,81.796375,81.966375,lot,I,sd,u-27-2
sw4074A-ms98-a-0027,81.966375,82.032000,of,I,sd,u-27-2
