sw4101A-ms98-a-0003,6.467000,6.707000,um-hum,B,o,u-1-1
sw4101A-ms98-a-0005,22.967125,23.230500,well,B,sd,u-3-1
sw4101A-ms98-a-0005,23.430125,23.717875,here,I,sd,u-3-1
sw4101A-ms98-a-0005,23.717875,23.817875,in,I,sd,u-3-1
sw4101A-ms98-a-0005,23.817875,24.827875,Saskatoon,I,sd,u-3-1
sw4101A-ms98-a-0005,24.827875,25.277875,um,I,sd,u-3-1
sw4101A-ms98-a-0005,25.997875,26.287875,much,I,sd,u-3-1
sw4101A-ms98-a-0005,26.287875,26.377875,the,I,sd,u-3-1
sw4101A-ms98-a-0005,26.377875,26.657875,same,I,sd,u-3-1
sw4101A-ms98-a-0005,26.657875,26.917875,thing,I,sd,u-3-1
sw4101A-ms98-a-0005,26.917875,27.067875,there,B,sd,u-3-2
sw4101A-ms98-a-0005,27.067875,27.277875,is,I,sd,u-3-2
sw4101A-ms98-a-0005,27.277875,27.542625,no,I,sd,u-3-2
sw4101A-ms98-a-0005,27.542625,28.017250,curb,I,sd,u-3-2
sw4101A-ms98-a-0005,28.017250,28.247875,pick,I,sd,u-3-2
sw4101A-ms98-a-0005,28.247875,28.567875,up,I,sd,u-3-2
sw4101A-ms98-a-0005,28.567875,29.027875,of,I,sd,u-3-2
sw4101A-ms98-a-0005,29.027875,29.297875,uh,I,sd,u-3-2
sw4101A-ms98-a-0006,30.711000,30.921875,any,I,sd,u-3-2
sw4101A-ms98-a-0006,30.921875,31.011875,of,I,sd,u-3-2
sw4101A-ms98-a-0006,31.011875,31.111875,the,I,sd,u-3-2
sw4101A-ms98-a-0006,31.111875,31.607500,recycled,I,sd,u-3-2
sw4101A-ms98-a-0006,31.607500,32.157375,products,I,sd,u-3-2
sw4101A-ms98-a-0006,32.157375,32.361875,uh,B,sd,u-3-3
sw4101A-ms98-a-0006,32.361875,32.511875,we're,I,sd,u-3-3
sw4101A-ms98-a-0006,32.511875,32.571875,in,I,sd,u-3-3
sw4101A-ms98-a-0006,32.571875,32.621875,a,I,sd,u-3-3
