sw4157B-ms98-a-0003,2.822500,3.142500,um,B,^h,u-2-1
sw4157B-ms98-a-0003,3.142500,3.393250,i,B,sd,u-4-1
sw4157B-ms98-a-0003,3.393250,3.735750,li[ved]-,I,sd,u-4-1
sw4157B-ms98-a-0003,3.735750,3.832500,i,I,sd,u-4-1
sw4157B-ms98-a-0003,3.832500,4.052500,lived,I,sd,u-4-1
sw4157B-ms98-a-0003,4.052500,4.162500,in,I,sd,u-4-1
sw4157B-ms98-a-0003,4.162500,4.562500,Sweden,I,sd,u-4-1
sw4157B-ms98-a-0003,4.562500,4.682500,for,I,sd,u-4-1
sw4157B-ms98-a-0003,4.682500,4.902500,two,I,sd,u-4-1
sw4157B-ms98-a-0003,4.902500,5.363625,years,I,sd,u-4-1
sw4157B-ms98-a-0003,5.744125,5.882500,and,B,sd,u-6-1
sw4157B-ms98-a-0003,5.882500,6.002500,in,I,sd,u-6-1
sw4157B-ms98-a-0003,6.002500,6.472500,Sweden,I,sd,u-6-1
sw4157B-ms98-a-0003,6.472500,6.602500,they,I,sd,u-6-1
sw4157B-ms98-a-0003,6.602500,6.862500,have,I,sd,u-6-1
sw4157B-ms98-a-0003,6.862500,7.532500,socialized,I,sd,u-6-1
sw4157B-ms98-a-0003,7.532500,7.942500,medicine,I,sd,u-6-1
sw4157B-ms98-a-0003,7.942500,8.173125,and,B,sd,u-6-2
sw4157B-ms98-a-0003,8.738000,8.992500,so,I,sd,u-6-2
sw4157B-ms98-a-0003,8.992500,9.062500,i,I,sd,u-6-2
sw4157B-ms98-a-0003,9.062500,9.312500,saw,I,sd,u-6-2
sw4157B-ms98-a-0003,9.312500,9.542500,some,I,sd,u-6-2
sw4157B-ms98-a-0003,9.542500,9.632500,of,I,sd,u-6-2
sw4157B-ms98-a-0003,9.632500,9.702500,the,I,sd,u-6-2
sw4157B-ms98-a-0003,9.702500,10.020500,good,I,sd,u-6-2
sw4157B-ms98-a-0003,10.197500,10.909000,and,B,sd,u-6-3
sw4157B-ms98-a-0003,10.909000,11.352500,also,I,sd,u-6-3
sw4157B-ms98-a-0003,11.352500,11.422500,i,I,sd,u-6-3
sw4157B-ms98-a-0003,11.422500,11.632500,saw,I,sd,u-6-3
sw4157B-ms98-a-0003,11.632500,11.852500,some,I,sd,u-6-3
sw4157B-ms98-a-0003,11.852500,11.922500,of,I,sd,u-6-3
sw4157B-ms98-a-0003,11.922500,12.002500,the,I,sd,u-6-3
sw4157B-ms98-a-0003,12.002500,12.332500,bad,I,sd,u-6-3
sw4157B-ms98-a-0003,12.332500,12.432500,that,I,sd,u-6-3
sw4157B-ms98-a-0003,12.432500,12.832500,results,I,sd,u-6-3
sw4157B-ms98-a-0003,12.832500,12.952500,from,I,sd,u-6-3
sw4157B-ms98-a-0003,12.952500,13.172500,such,I,sd,u-6-3
sw4157B-ms98-a-0003,13.172500,13.212500,a,I,sd,u-6-3
sw4157B-ms98-a-0003,13.212500,13.800000,program,I,sd,u-6-3
sw4157B-ms98-a-0004,14.438500,14.668500,uh,B,sv,u-8-1
sw4157B-ms98-a-0004,14.668500,14.958500,some,I,sv,u-8-1
sw4157B-ms98-a-0004,14.958500,15.068500,of,I,sv,u-8-1
sw4157B-ms98-a-0004,15.068500,15.301625,the,I,sv,u-8-1
sw4157B-ms98-a-0004,15.301625,15.598500,some,I,sv,u-8-1
sw4157B-ms98-a-0004,15.598500,15.658500,of,I,sv,u-8-1
sw4157B-ms98-a-0004,15.658500,15.718500,the,I,sv,u-8-1
sw4157B-ms98-a-0004,15.718500,16.018500,good,I,sv,u-8-1
sw4157B-ms98-a-0004,16.018500,16.618500,obviously,I,sv,u-8-1
sw4157B-ms98-a-0004,16.618500,16.859125,that,I,sv,u-8-1
sw4157B-ms98-a-0004,16.859125,17.278500,nobody,I,sv,u-8-1
sw4157B-ms98-a-0004,17.278500,17.458500,has,I,sv,u-8-1
sw4157B-ms98-a-0004,17.458500,17.568500,to,I,sv,u-8-1
sw4157B-ms98-a-0004,17.568500,17.798500,worry,I,sv,u-8-1
sw4157B-ms98-a-0004,17.798500,18.080000,about,I,sv,u-8-1
sw4157B-ms98-a-0004,18.080000,18.318500,health,I,sv,u-8-1
sw4157B-ms98-a-0004,18.318500,18.719625,care,I,sv,u-8-1
sw4157B-ms98-a-0005,19.331125,19.501125,so,B,sv,u-10-1
