sw4346B-ms98-a-0002,1.302125,1.522125,okay,B,b^m,u-2-1
sw4346B-ms98-a-0002,1.522125,1.662125,you,B,ad,u-2-2
sw4346B-ms98-a-0002,1.662125,1.792125,go,I,ad,u-2-2
sw4346B-ms98-a-0002,1.792125,2.170625,first,I,ad,u-2-2
sw4346B-ms98-a-0004,7.303625,7.533625,um-hum,B,b,u-4-1
sw4346B-ms98-a-0006,14.246000,14.516000,um-hum,B,b,u-6-1
sw4346B-ms98-a-0008,32.690375,33.494375,[laughter],O,,
sw4346B-ms98-a-0010,54.458000,54.748375,um-hum,O,,
sw4346B-ms98-a-0011,56.118625,56.437125,um-hum,B,b,u-10-1
sw4346B-ms98-a-0013,64.602125,64.962125,well,B,b,u-12-1
sw4346B-ms98-a-0013,64.962125,65.172125,yeah,I,b,u-12-1
sw4346B-ms98-a-0013,65.172125,65.375250,it,B,sd,u-12-2
sw4346B-ms98-a-0013,65.375250,65.864875,it's,I,sd,u-12-2
sw4346B-ms98-a-0013,65.864875,66.286125,it's,I,sd,u-12-2
sw4346B-ms98-a-0013,66.655250,66.812125,pretty,I,sd,u-12-2
sw4346B-ms98-a-0013,66.812125,66.962125,much,I,sd,u-12-2
sw4346B-ms98-a-0013,66.962125,67.072125,what,I,sd,u-12-2
sw4346B-ms98-a-0013,67.072125,67.162125,i,I,sd,u-12-2
sw4346B-ms98-a-0013,67.162125,67.536500,was,I,sd,u-12-2
sw4346B-ms98-a-0013,67.736125,67.942125,[vocalized-noise],I,sd,u-12-2
sw4346B-ms98-a-0013,67.942125,68.192125,going,I,sd,u-12-2
sw4346B-ms98-a-0013,68.192125,68.262125,to,I,sd,u-12-2
sw4346B-ms98-a-0013,68.262125,68.382125,say,I,sd,u-12-2
sw4346B-ms98-a-0013,68.382125,68.612125,is,B,sd,u-12-3
sw4346B-ms98-a-0013,68.612125,68.782125,there's,I,sd,u-12-3
sw4346B-ms98-a-0013,68.782125,68.832125,a,I,sd,u-12-3
sw4346B-ms98-a-0013,68.832125,69.032125,lot,I,sd,u-12-3
sw4346B-ms98-a-0013,69.032125,69.172125,of,I,sd,u-12-3
sw4346B-ms98-a-0013,69.172125,69.722125,disparity,I,sd,u-12-3
sw4346B-ms98-a-0013,69.722125,70.192125,between,I,sd,u-12-3
sw4346B-ms98-a-0013,70.192125,70.492125,different,I,sd,u-12-3
sw4346B-ms98-a-0013,70.492125,71.072125,neighborhoods,I,sd,u-12-3
sw4346B-ms98-a-0013,71.072125,71.172125,and,I,sd,u-12-3
sw4346B-ms98-a-0013,71.172125,71.302125,what,I,sd,u-12-3
sw4346B-ms98-a-0013,71.302125,71.522125,sort,I,sd,u-12-3
sw4346B-ms98-a-0013,71.522125,71.582125,of,I,sd,u-12-3
sw4346B-ms98-a-0013,71.582125,72.022125,schools,I,sd,u-12-3
sw4346B-ms98-a-0013,72.022125,72.214625,go,I,sd,u-12-3
sw4346B-ms98-a-0013,72.214625,72.403750,in,I,sd,u-12-3
sw4346B-ms98-a-0014,73.048625,73.448625,um,B,sd,u-14-1
sw4346B-ms98-a-0014,73.448625,73.528625,i,I,sd,u-14-1
sw4346B-ms98-a-0014,73.528625,73.738625,grew,I,sd,u-14-1
sw4346B-ms98-a-0014,73.738625,73.888625,up,I,sd,u-14-1
sw4346B-ms98-a-0014,73.888625,73.998625,in,I,sd,u-14-1
sw4346B-ms98-a-0014,73.998625,74.148625,New,I,sd,u-14-1
sw4346B-ms98-a-0014,74.148625,74.558625,York,I,sd,u-14-1
sw4346B-ms98-a-0014,74.558625,75.282500,and,B,%,u-14-2
sw4346B-ms98-a-0014,75.403000,75.714750,um,B,+,u-16-1
sw4346B-ms98-a-0014,75.963250,76.200625,the,I,+,u-16-1
sw4346B-ms98-a-0014,76.200625,76.807125,place,I,+,u-16-1
sw4346B-ms98-a-0014,76.807125,77.008625,or,B,sd,u-16-2
sw4346B-ms98-a-0014,77.008625,77.168625,not,I,sd,u-16-2
sw4346B-ms98-a-0014,77.168625,77.248625,New,I,sd,u-16-2
sw4346B-ms98-a-0014,77.248625,77.418625,York,I,sd,u-16-2
sw4346B-ms98-a-0014,77.418625,77.598625,City,I,sd,u-16-2
sw4346B-ms98-a-0014,77.598625,77.998625,upstate,I,sd,u-16-2
sw4346B-ms98-a-0014,78.218625,78.298625,New,I,sd,u-16-2
sw4346B-ms98-a-0014,78.298625,78.598625,York,I,sd,u-16-2
sw4346B-ms98-a-0015,79.230625,79.401000,and,B,sd,u-18-1
sw4346B-ms98-a-0015,79.401000,79.548625,i,I,sd,u-18-1
sw4346B-ms98-a-0015,79.548625,79.800625,went,I,sd,u-18-1
sw4346B-ms98-a-0015,79.800625,80.232375,to,I,sd,u-18-1
sw4346B-ms98-a-0015,80.232375,80.698250,uh,I,sd,u-18-1
sw4346B-ms98-a-0015,80.931750,81.077250,the,I,sd,u-18-1
sw4346B-ms98-a-0015,81.077250,81.360625,City,I,sd,u-18-1
sw4346B-ms98-a-0015,81.360625,81.450625,of,I,sd,u-18-1
sw4346B-ms98-a-0015,81.450625,81.983375,Rochester,I,sd,u-18-1
sw4346B-ms98-a-0015,82.115125,82.420625,School,I,sd,u-18-1
sw4346B-ms98-a-0015,82.420625,82.951875,District,I,sd,u-18-1
sw4346B-ms98-a-0015,83.366125,83.860625,and,B,sd,u-20-1
sw4346B-ms98-a-0015,83.860625,84.170625,s[o]-,I,sd,u-20-1
sw4346B-ms98-a-0015,84.170625,84.230625,a,I,sd,u-20-1
sw4346B-ms98-a-0015,84.230625,84.390625,lot,I,sd,u-20-1
sw4346B-ms98-a-0015,84.390625,84.450625,of,I,sd,u-20-1
sw4346B-ms98-a-0015,84.450625,84.560625,my,I,sd,u-20-1
sw4346B-ms98-a-0015,84.560625,85.010625,friends,I,sd,u-20-1
sw4346B-ms98-a-0015,85.010625,85.190625,were,I,sd,u-20-1
sw4346B-ms98-a-0015,85.190625,85.430625,in,I,sd,u-20-1
sw4346B-ms98-a-0015,85.430625,85.560625,one,I,sd,u-20-1
sw4346B-ms98-a-0015,85.560625,85.620625,of,I,sd,u-20-1
sw4346B-ms98-a-0015,85.620625,85.720625,the,I,sd,u-20-1
sw4346B-ms98-a-0015,85.720625,86.190625,neighboring,I,sd,u-20-1
sw4346B-ms98-a-0015,86.290625,86.848250,suburbs,I,sd,u-20-1
sw4346B-ms98-a-0016,87.581500,88.070000,and,B,sd,u-20-2
sw4346B-ms98-a-0016,88.386375,88.651500,it,I,sd,u-20-2
sw4346B-ms98-a-0016,88.651500,89.005625,wasn't,I,sd,u-20-2
sw4346B-ms98-a-0016,89.604500,89.801500,we,I,sd,u-20-2
sw4346B-ms98-a-0016,89.801500,90.071500,weren't,I,sd,u-20-2
sw4346B-ms98-a-0016,90.071500,90.221500,too,I,sd,u-20-2
sw4346B-ms98-a-0016,90.221500,90.491500,far,I,sd,u-20-2
sw4346B-ms98-a-0016,90.491500,90.871500,removed,I,sd,u-20-2
sw4346B-ms98-a-0016,90.871500,91.585250,geographically,I,sd,u-20-2
sw4346B-ms98-a-0016,91.585250,91.792375,from,I,sd,u-20-2
sw4346B-ms98-a-0016,91.792375,92.041500,each,I,sd,u-20-2
sw4346B-ms98-a-0016,92.041500,92.271500,other,I,sd,u-20-2
sw4346B-ms98-a-0016,92.361500,92.601500,but,B,sv,u-20-3
sw4346B-ms98-a-0017,93.652000,93.828875,the,I,sv,u-20-3
sw4346B-ms98-a-0017,93.828875,94.225625,difference,I,sv,u-20-3
sw4346B-ms98-a-0017,94.225625,94.345625,in,I,sv,u-20-3
