sw4379B-ms98-a-0002,0.500375,0.852000,uh-huh,B,ny,u-2-1
sw4379B-ms98-a-0002,1.551875,1.681000,do,B,%,u-2-2
sw4379B-ms98-a-0002,1.681000,1.885625,you,I,%,u-2-2
sw4379B-ms98-a-0004,6.805875,6.958250,we,B,sd,u-4-1
sw4379B-ms98-a-0004,6.958250,7.198250,have,I,sd,u-4-1
sw4379B-ms98-a-0004,7.198250,7.288250,a,I,sd,u-4-1
sw4379B-ms98-a-0004,7.288250,7.608250,very,I,sd,u-4-1
sw4379B-ms98-a-0004,7.608250,8.145250,detailed,I,sd,u-4-1
sw4379B-ms98-a-0004,8.182875,8.598250,budget,I,sd,u-4-1
sw4379B-ms98-a-0004,8.598250,8.908250,because,I,sd,u-4-1
sw4379B-ms98-a-0004,8.908250,9.058250,my,I,sd,u-4-1
sw4379B-ms98-a-0004,9.058250,9.508250,husband,I,sd,u-4-1
sw4379B-ms98-a-0004,9.508250,9.628250,is,I,sd,u-4-1
sw4379B-ms98-a-0004,9.628250,9.698250,a,I,sd,u-4-1
sw4379B-ms98-a-0004,9.698250,10.207875,finance,I,sd,u-4-1
sw4379B-ms98-a-0004,10.695625,11.168250,major,I,sd,u-4-1
sw4379B-ms98-a-0005,12.112750,12.551875,and,B,sd,u-6-1
sw4379B-ms98-a-0005,12.939875,13.173500,we,I,sd,u-6-1
sw4379B-ms98-a-0005,13.173500,13.686875,have,I,sd,u-6-1
sw4379B-ms98-a-0006,14.844750,14.917375,you,I,sd,u-6-1
sw4379B-ms98-a-0006,14.917375,15.133625,know,I,sd,u-6-1
sw4379B-ms98-a-0006,15.457375,15.547375,we,I,sd,u-6-1
sw4379B-ms98-a-0006,15.547375,15.795500,have,I,sd,u-6-1
sw4379B-ms98-a-0006,15.877375,16.227375,money,I,sd,u-6-1
sw4379B-ms98-a-0006,16.227375,16.377375,that,I,sd,u-6-1
sw4379B-ms98-a-0006,16.377375,16.667375,we,I,sd,u-6-1
sw4379B-ms98-a-0006,16.667375,16.967375,take,I,sd,u-6-1
sw4379B-ms98-a-0006,16.967375,17.207375,out,I,sd,u-6-1
sw4379B-ms98-a-0006,17.207375,17.417375,each,I,sd,u-6-1
sw4379B-ms98-a-0006,17.417375,17.697375,month,I,sd,u-6-1
sw4379B-ms98-a-0006,17.697375,17.837375,that,I,sd,u-6-1
sw4379B-ms98-a-0006,17.837375,18.165750,we,I,sd,u-6-1
sw4379B-ms98-a-0006,18.655375,19.057375,um,I,sd,u-6-1
sw4379B-ms98-a-0006,19.447375,19.527375,you,I,sd,u-6-1
sw4379B-ms98-a-0006,19.527375,19.607375,know,I,sd,u-6-1
sw4379B-ms98-a-0006,19.607375,19.757375,for,I,sd,u-6-1
sw4379B-ms98-a-0006,19.757375,20.257375,food,I,sd,u-6-1
sw4379B-ms98-a-0006,20.257375,20.447375,and,I,sd,u-6-1
sw4379B-ms98-a-0006,20.447375,20.767375,and,I,sd,u-6-1
sw4379B-ms98-a-0006,20.767375,21.107375,for,I,sd,u-6-1
sw4379B-ms98-a-0007,21.667875,22.026625,for,I,sd,u-6-1
sw4379B-ms98-a-0007,22.089750,22.569500,gas,I,sd,u-6-1
sw4379B-ms98-a-0007,22.622250,22.797875,and,I,sd,u-6-1
sw4379B-ms98-a-0007,22.797875,23.007875,things,I,sd,u-6-1
sw4379B-ms98-a-0007,23.007875,23.197875,like,I,sd,u-6-1
sw4379B-ms98-a-0007,23.197875,23.317875,that,I,sd,u-6-1
sw4379B-ms98-a-0007,23.317875,23.407875,and,B,sd,u-6-2
sw4379B-ms98-a-0007,23.407875,23.497875,then,I,sd,u-6-2
sw4379B-ms98-a-0007,23.497875,23.607875,we,I,sd,u-6-2
sw4379B-ms98-a-0007,23.607875,23.807875,put,I,sd,u-6-2
sw4379B-ms98-a-0007,23.807875,24.229000,aside,I,sd,u-6-2
sw4379B-ms98-a-0007,24.302375,24.447875,so,I,sd,u-6-2
sw4379B-ms98-a-0007,24.447875,24.707875,much,I,sd,u-6-2
sw4379B-ms98-a-0007,24.707875,24.957875,money,I,sd,u-6-2
sw4379B-ms98-a-0007,24.957875,25.197875,each,I,sd,u-6-2
sw4379B-ms98-a-0007,25.197875,25.417250,month,I,sd,u-6-2
sw4379B-ms98-a-0007,25.458625,25.557875,for,I,sd,u-6-2
sw4379B-ms98-a-0007,25.557875,26.117875,birthdays,I,sd,u-6-2
sw4379B-ms98-a-0007,26.117875,26.304000,and,I,sd,u-6-2
