sw4443A-ms98-a-0001,0.071750,0.328000,play,B,qy,u-1-1
sw4443A-ms98-a-0003,3.755000,3.927750,oh,B,ny@,u-3-1
sw4443A-ms98-a-0003,3.927750,4.122625,yeah,I,ny@,u-3-1
sw4443A-ms98-a-0003,4.287375,4.486500,well,B,na,u-3-2
sw4443A-ms98-a-0003,4.486500,4.606500,i'm,I,na,u-3-2
sw4443A-ms98-a-0003,4.606500,4.878625,into,I,na,u-3-2
sw4443A-ms98-a-0003,4.878625,5.005875,it,I,na,u-3-2
sw4443A-ms98-a-0003,5.200500,5.490500,uh,I,na,u-3-2
sw4443A-ms98-a-0005,8.689625,8.827125,is,B,qy,u-5-1
sw4443A-ms98-a-0005,8.827125,9.280750,anybody,I,qy,u-5-1
sw4443A-ms98-a-0005,9.495375,9.927125,[laughter],O,,
sw4443A-ms98-a-0006,10.895125,11.238250,[laughter],O,,
sw4443A-ms98-a-0008,14.627500,14.898000,really,B,bh,u-9-1
sw4443A-ms98-a-0010,20.096250,20.263000,oh,B,ba,u-11-1
sw4443A-ms98-a-0010,20.263000,20.516125,wow,I,ba,u-11-1
sw4443A-ms98-a-0012,29.033250,29.300000,right,B,b,u-13-1
sw4443A-ms98-a-0014,35.201875,35.685500,super,B,ba,u-15-1
sw4443A-ms98-a-0014,36.087250,36.157750,yeah,B,aa,u-15-2
sw4443A-ms98-a-0014,36.157750,36.340125,that's,B,sd,u-15-3
sw4443A-ms98-a-0014,36.340125,36.467750,kind,I,sd,u-15-3
sw4443A-ms98-a-0014,36.467750,36.527750,of,I,sd,u-15-3
sw4443A-ms98-a-0014,36.527750,36.587750,the,I,sd,u-15-3
sw4443A-ms98-a-0014,36.587750,36.757750,way,I,sd,u-15-3
sw4443A-ms98-a-0014,36.757750,36.797750,i,I,sd,u-15-3
sw4443A-ms98-a-0014,36.797750,36.987750,did,I,sd,u-15-3
sw4443A-ms98-a-0014,36.987750,37.127750,it,I,sd,u-15-3
sw4443A-ms98-a-0014,37.127750,37.327750,too,I,sd,u-15-3
sw4443A-ms98-a-0014,37.327750,37.757750,actually,I,sd,u-15-3
sw4443A-ms98-a-0014,37.757750,37.921625,i,B,sd,u-15-4
sw4443A-ms98-a-0014,38.132500,38.285125,i,I,sd,u-15-4
sw4443A-ms98-a-0014,38.285125,38.727750,played,I,sd,u-15-4
sw4443A-ms98-a-0014,38.727750,38.886000,uh,I,sd,u-15-4
sw4443A-ms98-a-0014,38.942500,39.127750,just,I,sd,u-15-4
sw4443A-ms98-a-0014,39.127750,39.187750,a,I,sd,u-15-4
sw4443A-ms98-a-0014,39.187750,39.527750,tiny,I,sd,u-15-4
sw4443A-ms98-a-0014,39.527750,39.727750,bit,I,sd,u-15-4
sw4443A-ms98-a-0014,39.727750,39.847750,when,I,sd,u-15-4
sw4443A-ms98-a-0014,39.847750,39.907750,i,I,sd,u-15-4
sw4443A-ms98-a-0014,39.907750,40.117750,was,I,sd,u-15-4
sw4443A-ms98-a-0014,40.117750,40.337750,real,I,sd,u-15-4
sw4443A-ms98-a-0014,40.337750,40.680000,young,I,sd,u-15-4
sw4443A-ms98-a-0014,41.079250,41.207750,and,B,sd,u-15-5
sw4443A-ms98-a-0014,41.207750,41.507750,then,I,sd,u-15-5
sw4443A-ms98-a-0014,41.507750,41.727750,uh,I,sd,u-15-5
sw4443A-ms98-a-0014,41.727750,41.819250,i,I,sd,u-15-5
sw4443A-ms98-a-0014,41.819250,41.878625,w[ent]-,I,sd,u-15-5
sw4443A-ms98-a-0014,42.123375,42.207750,i,I,sd,u-15-5
sw4443A-ms98-a-0014,42.207750,42.437750,got,I,sd,u-15-5
sw4443A-ms98-a-0014,42.437750,42.547750,on,I,sd,u-15-5
sw4443A-ms98-a-0014,42.547750,42.677750,to,I,sd,u-15-5
sw4443A-ms98-a-0014,42.677750,42.727750,a,I,sd,u-15-5
sw4443A-ms98-a-0014,42.727750,43.027750,team,I,sd,u-15-5
sw4443A-ms98-a-0014,43.027750,43.127750,in,I,sd,u-15-5
sw4443A-ms98-a-0014,43.127750,43.327750,high,I,sd,u-15-5
sw4443A-ms98-a-0014,43.327750,43.697750,school,I,sd,u-15-5
sw4443A-ms98-a-0014,43.697750,43.837750,but,I,sd,u-15-5
sw4443A-ms98-a-0014,43.837750,44.127750,wasn't,I,sd,u-15-5
sw4443A-ms98-a-0014,44.127750,44.347750,very,I,sd,u-15-5
sw4443A-ms98-a-0014,44.347750,44.667750,good,I,sd,u-15-5
sw4443A-ms98-a-0014,44.667750,45.068000,still,I,sd,u-15-5
sw4443A-ms98-a-0015,45.823500,46.173875,but,B,+,u-17-1
sw4443A-ms98-a-0015,46.472875,46.694875,and,I,+,u-17-1
sw4443A-ms98-a-0015,46.694875,46.844875,then,I,+,u-17-1
sw4443A-ms98-a-0015,46.844875,47.104875,quit,I,+,u-17-1
sw4443A-ms98-a-0015,47.104875,47.264875,for,I,+,u-17-1
sw4443A-ms98-a-0015,47.264875,47.624875,awhile,I,+,u-17-1
sw4443A-ms98-a-0015,47.624875,47.744875,and,B,sd,u-17-2
sw4443A-ms98-a-0015,47.744875,48.184875,recently,I,sd,u-17-2
sw4443A-ms98-a-0015,48.184875,48.274875,i,I,sd,u-17-2
sw4443A-ms98-a-0015,48.274875,48.544875,picked,I,sd,u-17-2
sw4443A-ms98-a-0015,48.544875,48.634875,it,I,sd,u-17-2
sw4443A-ms98-a-0015,48.634875,48.856000,up,I,sd,u-17-2
sw4443A-ms98-a-0015,49.104625,49.294875,like,I,sd,u-17-2
sw4443A-ms98-a-0015,49.294875,49.354875,you,I,sd,u-17-2
