sw4619B-ms98-a-0002,0.232375,0.333750,bye,B,t3,u-1-1
sw4619B-ms98-a-0004,2.221500,2.585750,so,B,qy^d,u-1-2
sw4619B-ms98-a-0004,2.585750,3.385375,we're,I,qy^d,u-1-2
sw4619B-ms98-a-0004,3.692250,4.124375,um,I,qy^d,u-1-2
sw4619B-ms98-a-0004,4.459625,4.535750,our,I,qy^d,u-1-2
sw4619B-ms98-a-0004,4.535750,5.075750,discussion's,I,qy^d,u-1-2
sw4619B-ms98-a-0004,5.075750,5.385875,about,I,qy^d,u-1-2
sw4619B-ms98-a-0004,5.555375,5.880375,uh,I,qy^d,u-1-2
sw4619B-ms98-a-0004,6.419000,6.605750,the,I,qy^d,u-1-2
sw4619B-ms98-a-0004,6.605750,6.865750,care,I,qy^d,u-1-2
sw4619B-ms98-a-0004,6.865750,6.945750,of,I,qy^d,u-1-2
sw4619B-ms98-a-0004,6.945750,7.005750,the,I,qy^d,u-1-2
sw4619B-ms98-a-0004,7.005750,7.502125,elderly,I,qy^d,u-1-2
sw4619B-ms98-a-0006,25.569500,26.061500,um,B,sd,u-5-1
sw4619B-ms98-a-0006,26.175000,26.401000,well,I,sd,u-5-1
sw4619B-ms98-a-0006,26.401000,26.577875,i,I,sd,u-5-1
sw4619B-ms98-a-0006,27.011125,27.349500,actually,I,sd,u-5-1
sw4619B-ms98-a-0006,27.349500,27.509750,my,I,sd,u-5-1
sw4619B-ms98-a-0006,27.509750,27.811000,dad's,I,sd,u-5-1
sw4619B-ms98-a-0006,28.027000,28.139500,my,I,sd,u-5-1
sw4619B-ms98-a-0006,28.139500,28.429500,dad's,I,sd,u-5-1
sw4619B-ms98-a-0006,28.429500,28.759500,almost,I,sd,u-5-1
sw4619B-ms98-a-0006,28.759500,29.256250,ninety,I,sd,u-5-1
sw4619B-ms98-a-0006,29.437000,29.679500,and,B,sd,u-5-2
sw4619B-ms98-a-0006,29.679500,29.819500,he,B,+,u-7-1
sw4619B-ms98-a-0006,29.819500,30.109500,lives,I,+,u-7-1
sw4619B-ms98-a-0006,30.109500,30.219500,by,I,+,u-7-1
sw4619B-ms98-a-0006,30.219500,30.669500,himself,I,+,u-7-1
sw4619B-ms98-a-0006,30.669500,30.769500,and,B,sd,u-7-2
sw4619B-ms98-a-0006,30.769500,30.899500,he's,I,sd,u-7-2
sw4619B-ms98-a-0006,30.899500,30.979500,in,I,sd,u-7-2
sw4619B-ms98-a-0006,30.979500,31.209500,good,I,sd,u-7-2
sw4619B-ms98-a-0006,31.209500,31.489500,shape,I,sd,u-7-2
sw4619B-ms98-a-0006,31.849500,32.138000,um,B,sd,u-9-1
sw4619B-ms98-a-0007,32.838750,33.057625,but,I,sd,u-9-1
sw4619B-ms98-a-0007,33.366750,33.827000,um,I,sd,u-9-1
sw4619B-ms98-a-0007,33.827000,34.047000,some,I,sd,u-9-1
sw4619B-ms98-a-0007,34.047000,34.307000,friends,I,sd,u-9-1
sw4619B-ms98-a-0007,34.307000,34.377000,of,I,sd,u-9-1
sw4619B-ms98-a-0007,34.377000,34.757000,mine,I,sd,u-9-1
sw4619B-ms98-a-0007,34.757000,35.407000,have,I,sd,u-9-1
sw4619B-ms98-a-0007,35.407000,35.768500,um,I,sd,u-9-1
sw4619B-ms98-a-0007,35.979500,36.167000,gone,I,sd,u-9-1
sw4619B-ms98-a-0007,36.167000,36.377000,through,I,sd,u-9-1
sw4619B-ms98-a-0007,36.377000,36.673625,this,I,sd,u-9-1
sw4619B-ms98-a-0007,37.031500,37.097000,i,B,sv,u-9-2
sw4619B-ms98-a-0007,37.097000,37.257000,think,I,sv,u-9-2
sw4619B-ms98-a-0007,37.257000,37.327000,i'd,I,sv,u-9-2
