sw4642B-ms98-a-0003,4.812250,6.083375,[laughter],O,,
sw4642B-ms98-a-0005,33.545000,33.944750,um-hum,B,b,u-4-1
sw4642B-ms98-a-0007,40.688750,41.058750,yeah,B,b,u-6-1
sw4642B-ms98-a-0008,42.183250,42.303250,so,B,qy,u-8-1
sw4642B-ms98-a-0008,42.303250,42.463250,do,I,qy,u-8-1
sw4642B-ms98-a-0008,42.463250,42.533250,you,I,qy,u-8-1
sw4642B-ms98-a-0008,42.533250,42.703250,have,I,qy,u-8-1
sw4642B-ms98-a-0008,42.703250,42.773250,a,I,qy,u-8-1
sw4642B-ms98-a-0008,42.773250,43.217750,car,I,qy,u-8-1
sw4642B-ms98-a-0009,44.752375,44.837875,do,B,qy^r,u-10-1
sw4642B-ms98-a-0009,44.837875,44.987875,you,I,qy^r,u-10-1
sw4642B-ms98-a-0009,44.987875,45.157875,have,I,qy^r,u-10-1
sw4642B-ms98-a-0009,45.157875,45.207875,a,I,qy^r,u-10-1
sw4642B-ms98-a-0009,45.207875,45.656875,car,I,qy^r,u-10-1
sw4642B-ms98-a-0011,50.113750,50.487875,um-hum,B,b,u-12-1
sw4642B-ms98-a-0013,62.755250,63.217750,um-hum,B,b,u-14-1
sw4642B-ms98-a-0015,73.738125,74.017625,yeah,B,b,u-16-1
sw4642B-ms98-a-0015,74.017625,74.147625,we,B,sd,u-16-2
sw4642B-ms98-a-0015,74.147625,74.287625,used,I,sd,u-16-2
sw4642B-ms98-a-0015,74.287625,74.367625,to,I,sd,u-16-2
sw4642B-ms98-a-0015,74.367625,74.497625,have,I,sd,u-16-2
sw4642B-ms98-a-0015,74.497625,74.527625,a,I,sd,u-16-2
sw4642B-ms98-a-0015,74.527625,74.777625,Honda,I,sd,u-16-2
sw4642B-ms98-a-0015,74.777625,75.127625,Accord,I,sd,u-16-2
sw4642B-ms98-a-0015,75.127625,75.237625,and,B,sv,u-16-3
sw4642B-ms98-a-0015,75.237625,75.357625,they're,I,sv,u-16-3
sw4642B-ms98-a-0015,75.357625,75.744625,good,I,sv,u-16-3
sw4642B-ms98-a-0016,76.769375,76.906250,they're,B,sv,u-16-4
sw4642B-ms98-a-0016,76.906250,77.126250,really,I,sv,u-16-4
sw4642B-ms98-a-0016,77.126250,77.276250,good,I,sv,u-16-4
sw4642B-ms98-a-0016,77.276250,78.007625,cars,I,sv,u-16-4
sw4642B-ms98-a-0016,78.188375,78.376250,every,B,sd,u-16-5
sw4642B-ms98-a-0016,78.376250,78.616250,time,I,sd,u-16-5
sw4642B-ms98-a-0016,78.616250,78.736250,i,I,sd,u-16-5
sw4642B-ms98-a-0016,78.736250,78.936250,get,I,sd,u-16-5
sw4642B-ms98-a-0016,78.936250,79.256250,taken,I,sd,u-16-5
sw4642B-ms98-a-0016,79.256250,79.396250,to,I,sd,u-16-5
sw4642B-ms98-a-0016,79.396250,79.486250,an,I,sd,u-16-5
sw4642B-ms98-a-0016,79.486250,79.736250,auto,I,sd,u-16-5
sw4642B-ms98-a-0016,79.736250,80.026250,repair,I,sd,u-16-5
sw4642B-ms98-a-0016,80.026250,80.567750,place,I,sd,u-16-5
sw4642B-ms98-a-0016,80.736250,80.846250,you,I,sd,u-16-5
sw4642B-ms98-a-0016,80.846250,80.946250,know,I,sd,u-16-5
sw4642B-ms98-a-0016,80.946250,81.076250,every,I,sd,u-16-5
sw4642B-ms98-a-0016,81.076250,81.236250,time,I,sd,u-16-5
sw4642B-ms98-a-0016,81.236250,81.326250,i,I,sd,u-16-5
sw4642B-ms98-a-0016,81.326250,81.866250,go,I,sd,u-16-5
sw4642B-ms98-a-0016,81.866250,81.966250,i,I,sd,u-16-5
sw4642B-ms98-a-0016,81.966250,82.176250,get,I,sd,u-16-5
sw4642B-ms98-a-0016,82.176250,82.663375,taken,I,sd,u-16-5
sw4642B-ms98-a-0016,83.179375,83.571000,bad,B,%,u-16-6
sw4642B-ms98-a-0016,83.936375,84.076250,you,B,+,u-18-1
sw4642B-ms98-a-0016,84.076250,84.406250,know,I,+,u-18-1
sw4642B-ms98-a-0016,84.896250,85.196250,woman,B,sv,u-18-2
sw4642B-ms98-a-0016,85.196250,85.416250,goes,I,sv,u-18-2
sw4642B-ms98-a-0016,85.416250,85.476250,in,I,sv,u-18-2
sw4642B-ms98-a-0016,85.476250,86.076250,and,B,sv(^q),u-18-3
sw4642B-ms98-a-0016,86.076250,86.226250,they,I,sv(^q),u-18-3
sw4642B-ms98-a-0016,86.226250,86.506250,go,I,sv(^q),u-18-3
sw4642B-ms98-a-0016,86.506250,86.786250,all,I,sv(^q),u-18-3
sw4642B-ms98-a-0016,86.786250,87.136250,right,I,sv(^q),u-18-3
sw4642B-ms98-a-0016,87.136250,87.266250,we,I,sv(^q),u-18-3
