sw4675B-ms98-a-0002,0.276625,0.436625,all,B,o,u-1-1
sw4675B-ms98-a-0002,0.436625,0.756625,righty,O,,
sw4675B-ms98-a-0004,3.261625,3.501375,yeah,B,ny,u-3-1
sw4675B-ms98-a-0004,3.501375,3.591375,i,B,sd^e,u-3-2
sw4675B-ms98-a-0004,3.591375,3.821375,sure,I,sd^e,u-3-2
sw4675B-ms98-a-0004,3.821375,4.131375,do,I,sd^e,u-3-2
sw4675B-ms98-a-0004,4.131375,4.669250,um,B,sd,u-3-3
sw4675B-ms98-a-0004,5.381125,5.491375,i,I,sd,u-3-3
sw4675B-ms98-a-0004,5.491375,5.801375,have,I,sd,u-3-3
sw4675B-ms98-a-0004,6.061375,6.231375,it's,I,sd,u-3-3
sw4675B-ms98-a-0004,6.231375,6.421375,pretty,I,sd,u-3-3
sw4675B-ms98-a-0004,6.421375,6.611375,much,I,sd,u-3-3
sw4675B-ms98-a-0004,6.611375,6.681375,a,I,sd,u-3-3
sw4675B-ms98-a-0004,6.681375,7.051375,ledger,I,sd,u-3-3
sw4675B-ms98-a-0004,7.051375,7.481375,sheet,I,sd,u-3-3
sw4675B-ms98-a-0004,7.481375,7.651375,and,B,sd,u-3-4
sw4675B-ms98-a-0004,7.651375,7.781375,i,I,sd,u-3-4
sw4675B-ms98-a-0004,7.781375,8.001375,just,I,sd,u-3-4
sw4675B-ms98-a-0004,8.001375,8.261375,write,I,sd,u-3-4
sw4675B-ms98-a-0004,8.261375,8.711375,down,I,sd,u-3-4
sw4675B-ms98-a-0005,9.668125,9.951500,[vocalized-noise],I,sd,u-3-4
sw4675B-ms98-a-0005,9.951500,10.181500,all,I,sd,u-3-4
sw4675B-ms98-a-0005,10.181500,10.321500,my,I,sd,u-3-4
sw4675B-ms98-a-0005,10.321500,10.761500,bills,I,sd,u-3-4
sw4675B-ms98-a-0005,10.921500,11.111500,how,I,sd,u-3-4
sw4675B-ms98-a-0005,11.111500,11.301500,much,I,sd,u-3-4
sw4675B-ms98-a-0005,11.301500,11.401500,i'm,I,sd,u-3-4
sw4675B-ms98-a-0005,11.401500,11.521500,going,I,sd,u-3-4
sw4675B-ms98-a-0005,11.521500,11.581500,to,I,sd,u-3-4
sw4675B-ms98-a-0005,11.581500,11.731500,have,I,sd,u-3-4
sw4675B-ms98-a-0005,11.731500,11.841500,to,I,sd,u-3-4
sw4675B-ms98-a-0005,11.841500,12.121500,pay,I,sd,u-3-4
sw4675B-ms98-a-0005,12.121500,12.241500,and,B,sd,u-3-5
sw4675B-ms98-a-0005,12.241500,12.321500,i,I,sd,u-3-5
sw4675B-ms98-a-0005,12.321500,12.501500,do,I,sd,u-3-5
sw4675B-ms98-a-0005,12.501500,12.651500,it,I,sd,u-3-5
sw4675B-ms98-a-0005,12.651500,12.781500,per,I,sd,u-3-5
sw4675B-ms98-a-0005,12.781500,13.521500,paycheck,I,sd,u-3-5
sw4675B-ms98-a-0005,13.521500,13.641500,for,I,sd,u-3-5
sw4675B-ms98-a-0005,13.641500,14.024125,me,I,sd,u-3-5
sw4675B-ms98-a-0005,14.506125,14.641500,which,B,+,u-5-1
sw4675B-ms98-a-0005,14.641500,14.781500,is,I,+,u-5-1
sw4675B-ms98-a-0005,14.781500,15.071500,every,I,+,u-5-1
sw4675B-ms98-a-0005,15.071500,15.261500,other,I,+,u-5-1
sw4675B-ms98-a-0005,15.261500,15.742000,week,I,+,u-5-1
sw4675B-ms98-a-0005,16.393625,16.700000,uh,B,sd,u-7-1
sw4675B-ms98-a-0005,16.700000,16.782875,i,I,sd,u-7-1
sw4675B-ms98-a-0005,16.782875,16.931500,mean,I,sd,u-7-1
sw4675B-ms98-a-0005,16.931500,16.991500,i,I,sd,u-7-1
