sw4770B-ms98-a-0002,57.586250,58.206250,Thomas,B,qy^d,u-2-1
sw4770B-ms98-a-0003,59.532875,59.812875,uh-huh,B,b,u-4-1
sw4770B-ms98-a-0005,101.618375,101.908375,doesn't,B,qy,u-8-1
sw4770B-ms98-a-0005,101.908375,102.528375,Wisconsin,I,qy,u-8-1
sw4770B-ms98-a-0005,102.528375,102.895750,have,I,qy,u-8-1
sw4770B-ms98-a-0005,102.895750,103.167000,a,I,qy,u-8-1
sw4770B-ms98-a-0005,103.167000,103.418375,uh,I,qy,u-8-1
sw4770B-ms98-a-0005,103.418375,103.898375,state,I,qy,u-8-1
sw4770B-ms98-a-0005,103.898375,104.178375,uh,I,qy,u-8-1
sw4770B-ms98-a-0005,104.178375,104.648375,Medicare,I,qy,u-8-1
sw4770B-ms98-a-0005,104.648375,105.158375,program,I,qy,u-8-1
sw4770B-ms98-a-0005,105.638375,105.818375,or,I,qy,u-8-1
sw4770B-ms98-a-0005,105.818375,106.038375,health,I,qy,u-8-1
sw4770B-ms98-a-0005,106.038375,106.525750,program,I,qy,u-8-1
sw4770B-ms98-a-0007,168.129875,168.399500,right,B,b,u-10-1
sw4770B-ms98-a-0008,169.274000,169.518500,well,B,sv,u-10-2
sw4770B-ms98-a-0008,169.518500,169.762125,i-,I,sv,u-10-2
sw4770B-ms98-a-0008,170.182750,170.365875,i,I,sv,u-10-2
sw4770B-ms98-a-0008,170.365875,170.634000,think,I,sv,u-10-2
sw4770B-ms98-a-0008,170.634000,170.854000,the,I,sv,u-10-2
sw4770B-ms98-a-0008,170.854000,171.034000,one,I,sv,u-10-2
sw4770B-ms98-a-0008,171.034000,171.194000,of,I,sv,u-10-2
sw4770B-ms98-a-0008,171.194000,171.504000,the,I,sv,u-10-2
sw4770B-ms98-a-0008,171.504000,171.854000,biggest,I,sv,u-10-2
sw4770B-ms98-a-0008,171.854000,172.374000,problems,I,sv,u-10-2
sw4770B-ms98-a-0008,172.374000,172.624000,that,I,sv,u-10-2
sw4770B-ms98-a-0008,172.624000,172.804000,uh,I,sv,u-10-2
sw4770B-ms98-a-0008,172.804000,172.904000,we,I,sv,u-10-2
sw4770B-ms98-a-0008,172.904000,173.084000,see,I,sv,u-10-2
sw4770B-ms98-a-0008,173.084000,173.184000,in,I,sv,u-10-2
sw4770B-ms98-a-0008,173.184000,173.500625,government,I,sv,u-10-2
sw4770B-ms98-a-0008,173.500625,174.095750,today,I,sv,u-10-2
sw4770B-ms98-a-0008,174.095750,174.464000,is,I,sv,u-10-2
sw4770B-ms98-a-0008,174.464000,174.544000,a,I,sv,u-10-2
sw4770B-ms98-a-0008,174.544000,175.084000,reflection,I,sv,u-10-2
sw4770B-ms98-a-0008,175.084000,175.154000,of,I,sv,u-10-2
sw4770B-ms98-a-0008,175.154000,175.754000,society,I,sv,u-10-2
sw4770B-ms98-a-0008,175.754000,175.814000,in,I,sv,u-10-2
sw4770B-ms98-a-0008,175.814000,175.904000,and,I,sv,u-10-2
sw4770B-ms98-a-0008,175.904000,176.034000,of,I,sv,u-10-2
sw4770B-ms98-a-0008,176.034000,176.621250,itself,I,sv,u-10-2
sw4770B-ms98-a-0009,177.294750,177.494750,and,B,sv,u-12-1
sw4770B-ms98-a-0009,177.494750,177.734750,that,I,sv,u-12-1
sw4770B-ms98-a-0009,177.734750,178.174750,is,I,sv,u-12-1
sw4770B-ms98-a-0009,178.174750,178.531750,uh,I,sv,u-12-1
sw4770B-ms98-a-0009,178.720125,179.166875,uh,I,sv,u-12-1
sw4770B-ms98-a-0009,179.166875,179.404750,we,I,sv,u-12-1
sw4770B-ms98-a-0009,179.404750,179.784750,become,I,sv,u-12-1
sw4770B-ms98-a-0009,179.784750,180.044750,so,I,sv,u-12-1
sw4770B-ms98-a-0009,180.044750,180.314750,debt,I,sv,u-12-1
sw4770B-ms98-a-0009,180.414750,180.944750,ridden,I,sv,u-12-1
sw4770B-ms98-a-0009,180.944750,181.114750,and,I,sv,u-12-1
sw4770B-ms98-a-0009,181.114750,181.434750,credit,I,sv,u-12-1
sw4770B-ms98-a-0009,181.434750,182.058375,oriented,I,sv,u-12-1
sw4770B-ms98-a-0010,182.824750,183.274625,uh,O,,
sw4770B-ms98-a-0010,183.274625,183.771375,instead,B,+,u-14-1
sw4770B-ms98-a-0010,183.771375,184.001375,of,I,+,u-14-1
sw4770B-ms98-a-0010,184.001375,184.271375,uh,I,+,u-14-1
sw4770B-ms98-a-0010,184.271375,184.781375,cash,I,+,u-14-1
sw4770B-ms98-a-0010,184.781375,184.911375,and,I,+,u-14-1
sw4770B-ms98-a-0010,184.911375,185.491375,carry,I,+,u-14-1
sw4770B-ms98-a-0010,185.491375,185.771375,or,I,+,u-14-1
sw4770B-ms98-a-0010,185.771375,186.071375,debt,I,+,u-14-1
sw4770B-ms98-a-0010,186.071375,186.660625,free,I,+,u-14-1
sw4770B-ms98-a-0010,187.361375,187.531375,and,B,sv,u-16-1
sw4770B-ms98-a-0010,187.531375,188.151375,therefore,I,sv,u-16-1
sw4770B-ms98-a-0010,188.151375,188.571375,uh,I,sv,u-16-1
sw4770B-ms98-a-0010,188.571375,188.861375,that,I,sv,u-16-1
sw4770B-ms98-a-0010,188.861375,189.101375,puts,I,sv,u-16-1
sw4770B-ms98-a-0010,189.101375,189.181375,a,I,sv,u-16-1
sw4770B-ms98-a-0010,189.181375,189.401375,lot,I,sv,u-16-1
sw4770B-ms98-a-0010,189.401375,189.501375,of,I,sv,u-16-1
sw4770B-ms98-a-0010,189.501375,189.851375,undue,I,sv,u-16-1
sw4770B-ms98-a-0010,189.851375,190.471375,pressure,I,sv,u-16-1
sw4770B-ms98-a-0010,190.471375,190.601375,on,I,sv,u-16-1
sw4770B-ms98-a-0010,190.601375,191.491375,municipalities,I,sv,u-16-1
sw4770B-ms98-a-0010,191.491375,191.911375,state,I,sv,u-16-1
sw4770B-ms98-a-0010,191.911375,192.151375,and,I,sv,u-16-1
sw4770B-ms98-a-0010,192.151375,192.421375,federal,I,sv,u-16-1
sw4770B-ms98-a-0010,192.421375,193.041375,governments,I,sv,u-16-1
sw4770B-ms98-a-0012,194.562875,194.737000,[vocalized-noise],O,,
sw4770B-ms98-a-0014,213.803875,214.031625,right,B,b,u-20-1
sw4770B-ms98-a-0016,235.303500,235.453500,well,B,%,u-22-1
sw4770B-ms98-a-0016,235.453500,235.583500,what,I,%,u-22-1
sw4770B-ms98-a-0016,235.583500,235.721750,is,I,%,u-22-1
sw4770B-ms98-a-0016,235.721750,236.203875,see,B,sv,u-22-2
sw4770B-ms98-a-0016,236.203875,236.483500,the,I,sv,u-22-2
sw4770B-ms98-a-0016,236.483500,236.793500,thing,I,sv,u-22-2
sw4770B-ms98-a-0016,236.793500,236.983500,is,I,sv,u-22-2
sw4770B-ms98-a-0016,236.983500,237.083500,is,I,sv,u-22-2
sw4770B-ms98-a-0016,237.083500,237.383500,when,I,sv,u-22-2
sw4770B-ms98-a-0016,237.383500,237.433500,a,I,sv,u-22-2
sw4770B-ms98-a-0016,237.433500,237.563500,lot,I,sv,u-22-2
sw4770B-ms98-a-0016,237.563500,237.633500,of,I,sv,u-22-2
sw4770B-ms98-a-0016,237.633500,237.913500,things,I,sv,u-22-2
sw4770B-ms98-a-0016,237.913500,238.263500,become,I,sv,u-22-2
sw4770B-ms98-a-0016,238.263500,238.863500,acceptable,I,sv,u-22-2
sw4770B-ms98-a-0016,238.863500,239.630625,practice,I,sv,u-22-2
sw4770B-ms98-a-0016,239.630625,239.962125,uh,B,+,u-24-1
sw4770B-ms98-a-0016,239.962125,240.143500,it's,I,+,u-24-1
sw4770B-ms98-a-0016,240.143500,240.453500,hard,I,+,u-24-1
sw4770B-ms98-a-0016,240.453500,240.613500,to,I,+,u-24-1
sw4770B-ms98-a-0016,240.613500,241.343500,discern,I,+,u-24-1
sw4770B-ms98-a-0016,241.343500,241.413500,the,I,+,u-24-1
sw4770B-ms98-a-0016,241.413500,241.803500,bor[der]-,I,+,u-24-1
sw4770B-ms98-a-0016,241.803500,241.973500,what,I,+,u-24-1
sw4770B-ms98-a-0016,241.973500,242.123500,has,I,+,u-24-1
sw4770B-ms98-a-0016,242.123500,242.413500,become,I,+,u-24-1
sw4770B-ms98-a-0016,242.413500,242.763500,muddy,I,+,u-24-1
sw4770B-ms98-a-0016,242.763500,242.933500,as,I,+,u-24-1
sw4770B-ms98-a-0016,242.933500,243.093500,to,I,+,u-24-1
sw4770B-ms98-a-0016,243.093500,243.313500,what,I,+,u-24-1
sw4770B-ms98-a-0016,243.313500,243.592625,is,I,+,u-24-1
sw4770B-ms98-a-0016,244.330875,244.823500,ethical,I,+,u-24-1
sw4770B-ms98-a-0016,244.823500,244.943500,and,I,+,u-24-1
sw4770B-ms98-a-0016,244.943500,245.063500,what,I,+,u-24-1
sw4770B-ms98-a-0016,245.063500,245.193500,is,I,+,u-24-1
sw4770B-ms98-a-0016,245.193500,245.403500,not,I,+,u-24-1
sw4770B-ms98-a-0016,245.403500,245.822250,ethical,I,+,u-24-1
sw4770B-ms98-a-0016,246.003000,246.243500,and,B,sv,u-24-2
sw4770B-ms98-a-0016,246.243500,246.553500,then,I,sv,u-24-2
sw4770B-ms98-a-0016,246.553500,247.013500,someone,B,+,u-26-1
sw4770B-ms98-a-0016,247.013500,247.323500,blows,I,+,u-26-1
sw4770B-ms98-a-0016,247.323500,247.403500,the,I,+,u-26-1
