sw4771B-ms98-a-0003,27.344750,27.624750,right,B,b,u-2-1
sw4771B-ms98-a-0005,33.311250,33.431250,well,B,aa,u-4-1
sw4771B-ms98-a-0005,33.431250,33.601250,tha[t's]-,I,aa,u-4-1
sw4771B-ms98-a-0005,33.601250,33.701250,tha[t's]-,I,aa,u-4-1
sw4771B-ms98-a-0005,33.701250,33.941250,that's,I,aa,u-4-1
sw4771B-ms98-a-0005,33.941250,34.151250,true,I,aa,u-4-1
sw4771B-ms98-a-0005,34.151250,34.401250,actually,B,sd,u-4-2
sw4771B-ms98-a-0005,34.401250,34.571250,down,I,sd,u-4-2
sw4771B-ms98-a-0005,34.571250,34.791250,here,I,sd,u-4-2
sw4771B-ms98-a-0005,34.791250,34.901250,we,I,sd,u-4-2
sw4771B-ms98-a-0005,34.901250,35.041250,don't,I,sd,u-4-2
sw4771B-ms98-a-0005,35.041250,35.171250,have,I,sd,u-4-2
sw4771B-ms98-a-0005,35.171250,35.231250,a,I,sd,u-4-2
sw4771B-ms98-a-0005,35.231250,35.391250,big,I,sd,u-4-2
sw4771B-ms98-a-0005,35.391250,35.791250,problem,I,sd,u-4-2
sw4771B-ms98-a-0005,35.791250,36.071250,with,I,sd,u-4-2
sw4771B-ms98-a-0005,36.071250,36.315750,uh,I,sd,u-4-2
sw4771B-ms98-a-0005,36.828000,37.141250,with,I,sd,u-4-2
sw4771B-ms98-a-0005,37.141250,37.251250,air,I,sd,u-4-2
sw4771B-ms98-a-0005,37.251250,37.631250,pollution,I,sd,u-4-2
sw4771B-ms98-a-0005,38.001250,38.271250,mainly,B,sv,u-4-3
sw4771B-ms98-a-0005,38.271250,38.511250,because,I,sv,u-4-3
sw4771B-ms98-a-0005,38.511250,38.571250,we,I,sv,u-4-3
sw4771B-ms98-a-0005,38.571250,38.691250,don't,I,sv,u-4-3
sw4771B-ms98-a-0005,38.691250,38.781250,have,I,sv,u-4-3
sw4771B-ms98-a-0005,38.781250,39.051250,anybody,I,sv,u-4-3
sw4771B-ms98-a-0005,39.051250,39.141250,to,I,sv,u-4-3
