sw4785A-ms98-a-0002,1.028125,1.394875,yeah,B,ny,u-2-1
sw4785A-ms98-a-0003,1.682625,2.135000,[laughter],O,,
sw4785A-ms98-a-0004,2.916875,3.006875,the,O,,
sw4785A-ms98-a-0004,3.006875,3.246875,hat,O,,
sw4785A-ms98-a-0005,4.899750,5.396375,well,B,sd,u-4-1
sw4785A-ms98-a-0005,5.513125,5.719125,uh,I,sd,u-4-1
sw4785A-ms98-a-0005,5.719125,6.049750,twenty,I,sd,u-4-1
sw4785A-ms98-a-0005,6.049750,6.389750,seven,I,sd,u-4-1
sw4785A-ms98-a-0005,6.389750,6.649750,up,I,sd,u-4-1
sw4785A-ms98-a-0006,7.935000,8.095000,and,B,sd,u-6-1
sw4785A-ms98-a-0006,8.095000,8.175000,we,I,sd,u-6-1
sw4785A-ms98-a-0006,8.175000,8.375000,had,I,sd,u-6-1
sw4785A-ms98-a-0006,8.375000,8.885000,five,I,sd,u-6-1
sw4785A-ms98-a-0008,10.593500,10.799875,oh,B,ny,u-8-1
sw4785A-ms98-a-0008,10.799875,11.170250,yeah,I,ny,u-8-1
sw4785A-ms98-a-0010,12.417750,12.675500,and,B,qo,u-10-1
sw4785A-ms98-a-0010,12.675500,12.803000,how,I,qo,u-10-1
sw4785A-ms98-a-0010,12.803000,12.983000,about,I,qo,u-10-1
sw4785A-ms98-a-0010,12.983000,13.473000,yourself,I,qo,u-10-1
sw4785A-ms98-a-0012,15.580125,16.131625,oh,B,bk,u-12-1
sw4785A-ms98-a-0012,16.410375,16.770125,well,B,%,u-12-2
sw4785A-ms98-a-0014,22.794375,23.248750,yeah,B,aa,u-14-1
sw4785A-ms98-a-0014,23.421500,23.814375,well,B,sd,u-14-2
sw4785A-ms98-a-0015,25.170125,25.410125,when,I,sd,u-14-2
sw4785A-ms98-a-0015,25.410125,25.640125,mine,I,sd,u-14-2
sw4785A-ms98-a-0015,25.640125,25.800125,were,I,sd,u-14-2
sw4785A-ms98-a-0015,25.800125,26.150125,growing,I,sd,u-14-2
sw4785A-ms98-a-0015,26.150125,26.310125,up,I,sd,u-14-2
sw4785A-ms98-a-0015,26.310125,26.400125,i,I,sd,u-14-2
sw4785A-ms98-a-0015,26.400125,26.660125,did,I,sd,u-14-2
sw4785A-ms98-a-0015,26.660125,26.890125,some,I,sd,u-14-2
sw4785A-ms98-a-0015,26.890125,27.434750,traveling,I,sd,u-14-2
sw4785A-ms98-a-0015,27.826500,28.050125,and,I,sd,u-14-2
sw4785A-ms98-a-0015,28.390125,28.550125,but,I,sd,u-14-2
sw4785A-ms98-a-0015,28.550125,28.840125,not,I,sd,u-14-2
sw4785A-ms98-a-0015,28.990125,29.190125,that,I,sd,u-14-2
sw4785A-ms98-a-0015,29.190125,29.992375,extensively,I,sd,u-14-2
sw4785A-ms98-a-0016,31.471375,31.641375,but,B,sd,u-14-3
sw4785A-ms98-a-0016,31.641375,31.801375,i,I,sd,u-14-3
sw4785A-ms98-a-0016,31.801375,32.161375,always,I,sd,u-14-3
sw4785A-ms98-a-0016,32.161375,32.311375,uh,I,sd,u-14-3
sw4785A-ms98-a-0016,32.311375,32.591375,just,I,sd,u-14-3
sw4785A-ms98-a-0016,32.591375,32.741375,made,I,sd,u-14-3
sw4785A-ms98-a-0016,32.741375,32.891375,it,I,sd,u-14-3
sw4785A-ms98-a-0016,32.891375,32.968000,a,I,sd,u-14-3
sw4785A-ms98-a-0016,32.968000,33.304625,point,I,sd,u-14-3
sw4785A-ms98-a-0016,33.304625,33.582000,to,I,sd,u-14-3
sw4785A-ms98-a-0016,33.582000,33.731375,you,I,sd,u-14-3
sw4785A-ms98-a-0016,33.731375,33.861375,know,I,sd,u-14-3
sw4785A-ms98-a-0016,34.179500,34.353125,try,I,sd,u-14-3
sw4785A-ms98-a-0016,34.353125,34.431375,to,I,sd,u-14-3
sw4785A-ms98-a-0016,34.431375,34.691375,spend,I,sd,u-14-3
sw4785A-ms98-a-0016,34.691375,34.941375,about,I,sd,u-14-3
sw4785A-ms98-a-0016,34.941375,35.121375,ten,I,sd,u-14-3
sw4785A-ms98-a-0016,35.121375,35.481375,minutes,I,sd,u-14-3
sw4785A-ms98-a-0016,35.481375,35.690500,with,I,sd,u-14-3
sw4785A-ms98-a-0016,35.829875,36.041375,each,I,sd,u-14-3
sw4785A-ms98-a-0016,36.041375,36.213125,one,I,sd,u-14-3
sw4785A-ms98-a-0016,36.213125,36.362125,of,I,sd,u-14-3
sw4785A-ms98-a-0016,36.362125,36.521375,them,I,sd,u-14-3
sw4785A-ms98-a-0017,37.523250,37.683250,so,B,sd,u-16-1
sw4785A-ms98-a-0017,37.683250,37.753250,it,I,sd,u-16-1
sw4785A-ms98-a-0017,37.753250,37.893250,was,I,sd,u-16-1
sw4785A-ms98-a-0017,37.893250,38.023250,an,I,sd,u-16-1
sw4785A-ms98-a-0017,38.023250,38.407125,hour,I,sd,u-16-1
sw4785A-ms98-a-0017,38.616625,38.773250,you,I,sd,u-16-1
sw4785A-ms98-a-0017,38.773250,38.973625,know,I,sd,u-16-1
sw4785A-ms98-a-0018,39.833500,40.025000,but,B,sd,u-18-1
sw4785A-ms98-a-0018,40.425750,40.685250,whether,I,sd,u-18-1
sw4785A-ms98-a-0018,40.685250,40.765250,it,I,sd,u-18-1
sw4785A-ms98-a-0018,40.765250,40.985250,was,I,sd,u-18-1
sw4785A-ms98-a-0018,40.985250,41.275250,going,I,sd,u-18-1
sw4785A-ms98-a-0018,41.275250,41.535250,back,I,sd,u-18-1
sw4785A-ms98-a-0018,41.535250,41.655250,and,I,sd,u-18-1
sw4785A-ms98-a-0018,41.655250,41.965250,laying,I,sd,u-18-1
sw4785A-ms98-a-0018,41.965250,42.115250,in,I,sd,u-18-1
